"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup","prey1catchRateMean","prey1catchRateICinf","prey1catchRateICsup","prey2catchRateMean","prey2catchRateICinf","prey2catchRateICsup"
0,50,250000,250000,250000,250000,250000,250000,0,0,0,4000,4000,4000,0,0,0,0,0,0,300,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,50,250000,250000,250000,67590.36,67304.8,67862.18,0,0,0,2791.22,2783.74,2798,0,0,0,646.4,640.96,651.18,201.18,198.9,203.34,0,0,0,-0.302195,-0.304235,-0.300305,-0.3294,-0.336666666666667,-0.322733333333333,0,0,0,0.0173864912682868,0.0172277201071878,0.0175618012795799
20,50,250000,250000,250000,117930.48,117439.84,118452.14,0,0,0,2620.36,2607.56,2631.72,0,0,0,324.88,319.54,330.12,146.8,144.3,148.94,0,0,0,-0.0612413723622778,-0.0639487935051006,-0.0584292200714986,-0.270398481055096,-0.279189679851064,-0.262029067604619,0,0,0,0.0122777268584598,0.0121094990586181,0.0124682796142289
30,50,250000,250000,250000,124480.88,123863.96,125118.58,0,0,0,2934.16,2915.04,2952.7,0,0,0,229.28,223.42,235.18,111.02,108.78,113.26,0,0,0,0.119721727976573,0.114683612660137,0.124697551004256,-0.243616333821701,-0.252658361911012,-0.234174792324726,0,0,0,0.00911178101297473,0.0089472154972517,0.00927673638569139
40,50,250000,250000,250000,108371.26,107405.58,109284.4,0,0,0,3384.12,3359.16,3410.92,0,0,0,186.8,182.58,191.22,99.26,96.92,101.72,0,0,0,0.153330459013563,0.149133569322777,0.157183467568476,-0.106089854550869,-0.118711145273069,-0.0937544910218736,0,0,0,0.00656230026369323,0.0064337860777174,0.00669399089997424
50,50,250000,250000,250000,87874.98,86557.88,89039.04,0,0,0,3800.5,3773.36,3831.44,0,0,0,190.96,185.84,196.18,90.72,88.22,93.14,0,0,0,0.123094245483877,0.119419995331943,0.126617936465921,-0.0840070590947731,-0.101871102502117,-0.0666538452553393,0,0,0,0.0058003909420736,0.00567187819406459,0.00592564554001778
60,50,250000,250000,250000,70032.98,68706.44,71319.1,0,0,0,4214.6,4183.24,4244.58,0,0,0,190.18,184.98,195.12,90.16,87.86,92.3,0,0,0,0.109061358649963,0.105344595285615,0.112720662492334,-0.00386946718331997,-0.01987931798544,0.0139271622538544,0,0,0,0.00512817385534172,0.00502646117512847,0.00522257423835727
70,50,250000,250000,250000,54244.76,53020.7,55458.66,0,0,0,4594.6,4563.12,4627.82,0,0,0,196.92,191.18,202.94,92.78,90.32,95,0,0,0,0.090268160972562,0.0867308361262742,0.0940423053450257,0.0312234939000874,0.0130429222569624,0.049492252136577,0,0,0,0.00477850792056643,0.00466826339711515,0.00487686268596655
80,50,250000,250000,250000,41262.2,40100.52,42349.08,0,0,0,4893.62,4864.32,4920.36,0,0,0,221.56,215.26,227.86,97.46,95.2,99.5,0,0,0,0.065359309508414,0.0608886621568732,0.0696626130781064,0.0527744259791412,0.0380829909310232,0.0683697417252256,0,0,0,0.00493533496430903,0.00484268774165861,0.00503244989858267
90,50,250000,250000,250000,31952.78,31135.24,32745,0,0,0,5102.38,5082.2,5124.08,0,0,0,226.64,221.2,232.06,111.56,108.88,114.28,0,0,0,0.04284361137053,0.0387167430089148,0.0467730631488921,0.14618149362681,0.126761420223181,0.16672713773929,0,0,0,0.00473220616214709,0.00463289610401776,0.00482112034497197
