"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup","prey1catchRateMean","prey1catchRateICinf","prey1catchRateICsup","prey2catchRateMean","prey2catchRateICinf","prey2catchRateICsup"
0,50,250000,250000,250000,250000,250000,250000,0,0,0,4000,4000,4000,0,0,0,0,0,0,300,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,50,250000,250000,250000,67616.58,67380.8,67851.64,0,0,0,2789.38,2779.6,2799.4,0,0,0,646.46,640.86,651.88,201.34,199.06,203.64,0,0,0,-0.302655,-0.30514,-0.30011,-0.328866666666667,-0.336733333333333,-0.322466666666667,0,0,0,0.0173947766667851,0.0172345730476553,0.0175475892007806
20,50,250000,250000,250000,118276.2,117723.68,118865.44,0,0,0,2605.22,2589.7,2620.54,0,0,0,331.44,326.34,336.72,148.88,146.34,151.16,0,0,0,-0.0660800058024785,-0.0696184448331451,-0.0627637788600226,-0.260392443315269,-0.26950546307907,-0.250636258073503,0,0,0,0.0125496146476847,0.0123705311424022,0.0127247647571096
30,50,250000,250000,250000,125100.98,124304.54,125904.04,0,0,0,2926.26,2905.74,2946.04,0,0,0,230.86,225.4,236.12,113.5,110.88,115.94,0,0,0,0.123201705060171,0.119304272173813,0.126835650612679,-0.237734014019809,-0.248776195000624,-0.22687901691605,0,0,0,0.00923579488310532,0.00905678779650193,0.00940222654627696
40,50,250000,250000,250000,108964.6,107945.46,110101.12,0,0,0,3356.02,3329,3381.86,0,0,0,191.68,186.22,197.08,101.84,99.26,104.44,0,0,0,0.146860518724457,0.142825726642552,0.150707169993549,-0.101994166154854,-0.117727614230181,-0.0876413073460493,0,0,0,0.0067588283930213,0.00661612077288453,0.00688769383358765
50,50,250000,250000,250000,88978.6,87738.52,90244.06,0,0,0,3773.04,3741.2,3803.12,0,0,0,192.46,186.64,198.98,90.66,87.92,93.38,0,0,0,0.12432735452223,0.119525349718981,0.129408189616075,-0.109587401108919,-0.124796751875073,-0.0938246758879519,0,0,0,0.00589455395991953,0.00576170103952393,0.00601130306557465
60,50,250000,250000,250000,71103.24,69736.82,72368.46,0,0,0,4193.38,4156.84,4228.98,0,0,0,190.02,183.4,196.98,91.62,88.7,94.52,0,0,0,0.111542841607964,0.107498638122711,0.11609868531707,0.0110529016969339,-0.00313117451174882,0.0253641819864452,0,0,0,0.00516659427872526,0.00506552607055885,0.00528830997246275
70,50,250000,250000,250000,54683.52,53146.26,56083.36,0,0,0,4594.76,4554.62,4630.82,0,0,0,204.18,197.5,211.22,94.44,90.94,97.74,0,0,0,0.0958249066723341,0.0924060902316994,0.0993922373818268,0.0330924609395082,0.0126738740382481,0.0550167631371755,0,0,0,0.00499219876047644,0.00487922124177226,0.00509774591910802
80,50,250000,250000,250000,40952.04,39648.06,42266.78,0,0,0,4893.34,4863.52,4925.58,0,0,0,223.02,216.16,229.86,98.84,95.9,101.94,0,0,0,0.0652235405486365,0.0615398274238505,0.0691323808402208,0.0501571541154973,0.0327087405929912,0.0674517644756607,0,0,0,0.00497303051266119,0.00485814924020563,0.00507176819443599
90,50,250000,250000,250000,31962.8,31007.64,32949.14,0,0,0,5090.34,5060.3,5118.06,0,0,0,229.92,222.6,237.36,111.8,108.54,115.28,0,0,0,0.0404145337007488,0.0367789921119688,0.0438028536695884,0.132909277708712,0.115079543406104,0.149637604668336,0,0,0,0.00480760273981917,0.00469672832690279,0.00491021634009879
