"prey1cullQuota","predcullQuota","replicatesNb","prey1extFreq","prey2extFreq","pred1extFreq","prey1densAfterMean","prey1densAfterMax","prey1densAfterMin","prey2densAfterMean","prey2densAfterMax","prey2densAfterMin","predatorDensMean","predatorDensMax","predatorDensMin","prey1growthAfterMean","prey1growthAfterMax","prey1growthAfterMin","prey2growthAfterMean","prey2growthAfterMax","prey2growthAfterMin","predatorGrowthMean","predatorGrowthMax","predatorGrowthMin","prey1catchesMean","prey1catchesMax","prey1catchesMin","prey2catchesMean","prey2catchesMax","prey2catchesMin","prey1catchRateMean","prey1catchRateMax","prey1catchRateMin","prey2catchRateMean","prey2catchRateMax","prey2catchRateMin"
0,0,50,0,0.9,0,4282.49215686275,4324.96,4231.22,6.1443137254902,23.06,1.1,496.782352941176,503.9,489.46,1.38574916274956e-05,0.00450546145989056,-0.00611884812815651,0.02478732018004,0.137139086731172,-0.107568625564917,0.000689985452361268,0.00903440883359262,-0.00778216330954619,1025.11490196078,1040.88,1008.92,1.51607843137255,5.28,0.14,0.0266652063489444,0.0271226633124361,0.0261211050558782,0.0105926668848606,0.0213817822941053,0.000900313165653345
0,0.05,50,0,0.18,0,4767.53098039216,4840.94,4621.9,137.884705882353,236.86,45.5,436.075294117647,468.12,416.28,4.08453868452458e-05,0.0140810889693039,-0.0112462946604513,-0.0228622435203949,0.054651412214709,-0.0871871542160279,0.00377185691790509,0.0166323942578849,-0.0181941775459849,964.707843137255,1008.24,935.12,22.2313725490196,54.78,5,0.0222985784109869,0.02401872181417,0.0213987038880133,0.0210619690439702,0.0248262554671731,0.0144855619987556
0,0.1,50,0,0,0,5015.99725490196,5059.48,4950.14,516.538039215686,595.82,477.14,395.442745098039,408.22,387.84,6.84837178596105e-05,0.00692600917710621,-0.00416886919506336,-0.00232146816988213,0.00990348594106548,-0.0148428132357722,0.000678990072669496,0.0104729908756164,-0.0104906365593859,888.643137254902,909.74,873.34,93.1337254901961,109.46,81.58,0.0191918896651451,0.0199482125995521,0.018783755969701,0.0194063906985111,0.020780541002053,0.0184884707312468
0,0.15,50,0,0,0,4919.24392156863,5254.8,4154,1735.20549019608,2256.5,1340.74,426.543529411765,513.14,332.36,0.00501908872993608,0.038421195149926,-0.0117363876660046,0.00196087920742656,0.0473130541729362,-0.0365770758806406,-0.00138431484089343,0.0414213128040063,-0.0693193324151109,857.694117647059,988.74,701.6,311.945882352941,433.26,208.34,0.0192613910623792,0.0233996793578242,0.0145665969285582,0.0194148476020514,0.0233841095063404,0.0146340577374895
0,0.2,50,0,0,0,5027.02784313726,5163.38,4859.68,3251.5768627451,4059.88,2814.62,478.402745098039,535.82,431.9,-0.000313795489756074,0.0110889338195121,-0.00860638730362939,-0.00438417760832006,0.0165340175940549,-0.0291148411248679,0.00114276648304643,0.0355308254070955,-0.0240036188188792,884.774509803922,972.76,820.12,579.119215686275,704.1,483.4,0.0190994972035603,0.0216715654555759,0.0171188402637476,0.0192790700531271,0.0219902172207272,0.0173588192793539
0,0.25,50,0,0,0.02,5673.53333333333,5708.22,5631.52,5418.24941176471,5470.22,5362.92,86.7901960784314,112.82,61.46,9.0577350377943e-05,0.00923559465484505,-0.00542181712980965,-0.000302015997235008,0.00320933233241001,-0.00425855071586039,0.0277888714145608,0.127174522035985,-0.0341821931394201,154.776862745098,200.94,110.52,146.713333333333,194,102.88,0.00280964904869334,0.00370033686137414,0.0019824544277891,0.00282125787016823,0.00379969801565532,0.00193627486114055
0.05,0,50,0,0,0,3999.24705882353,4157.36,3838.62,558.356078431373,691.32,400.22,380.038431372549,413.1,344.54,0.00158094079470174,0.0196686621432408,-0.0160969336667387,-0.0117932403980749,0.0192350157096951,-0.0527753347399447,0.0134206110717352,0.0442963633599972,-0.0192246012919079,717.822745098039,764.52,668.8,72.1650980392157,119.74,40.2,0.0202341214838225,0.0219306945204008,0.0184274929458371,0.0201293483622148,0.0231760007557107,0.0178701475004418
0.05,0.05,50,0,0,0,4288.71058823529,4560.16,3964.04,573.236078431373,780.84,403.26,375.901960784314,433.98,330.18,-0.000809571242107152,0.0229943630267575,-0.0192840824995982,-0.00364675295169119,0.0307870373576413,-0.0328041517014051,0.00309519179470168,0.037700608441657,-0.0438398118659086,752.525882352941,838.26,686.56,98.9301960784314,150.48,61.5,0.019284965061979,0.0224853788415495,0.0170432827048549,0.0195087798785555,0.0226817790419695,0.0169352408596252
0.05,0.1,50,0,0,0,4200.77568627451,4579.44,3602.2,1694.67058823529,2125.14,1231.74,404.637254901961,507.46,319.94,-0.00264354004446975,0.0445483176805054,-0.030552556755562,-0.00222584042567088,0.0414791779009001,-0.0460612657813604,0.0104032315756174,0.055895772503276,-0.0621953413896339,721.367058823529,861.14,598.64,289.985882352941,411.74,191.82,0.0192615995945105,0.0247694619533519,0.015289699104946,0.0194335798596586,0.0250306824013118,0.0153228117419547
0.05,0.15,50,0,0,0,4209.28156862745,4862.7,3305.12,2899.71647058824,3834.64,1921.24,400.767843137255,579.62,267,0.00719560538396035,0.0613166473222582,-0.0355070118440005,0.0129584060946635,0.0763298735425329,-0.0628926629941487,0.00992406376532123,0.0821881979413092,-0.0867880675952693,649.44,886.72,463.76,461.392941176471,727.32,267.22,0.0174999085585312,0.0264081624357611,0.0117201692145233,0.0175816859791965,0.0262774437239876,0.0116707345625481
0.05,0.2,50,0,0,0,4567.38352941176,4926.54,4434.26,3869.58588235294,4681.96,3586.08,439.613333333333,463.32,356.96,-0.00168999256688036,0.00789097774597053,-0.0119641572855322,-0.00435287530715039,0.00852537872864242,-0.018306976924336,0.00736889072606864,0.0519433305865519,-0.0124436345148147,731.493725490196,770.04,578.16,619.092156862745,660.02,542.28,0.0173357234638826,0.0188632977717084,0.0126355875525394,0.01740531643511,0.0187617445366139,0.0126047143375843
0.05,0.25,50,0,0,0,5440.09294117647,5470.84,5412.28,5500.13215686275,5524.58,5472.4,41.3129411764706,56.08,31.24,3.24507601174164e-05,0.00572248808852957,-0.00572249377599234,-7.54621789419948e-05,0.00430946927694567,-0.00389659277198979,0.0377316979105776,0.147165990953045,-0.0518265851405979,71.3964705882353,96.44,53.58,72.1952941176471,97.1,54.52,0.00133494066009159,0.0018161380829441,0.000995103182807083,0.0013399908232076,0.00182282725084467,0.00100391866606983
0.1,0,50,0,0,0.12,3138.23960784314,3742.04,2657.88,2465.03568627451,3229.52,1765.74,294.016862745098,378.86,190.38,0.00541470490360191,0.0399221276425255,-0.0413961659548521,0.0172869043038673,0.0650004030725356,-0.0313133048706789,0.0346880524163541,0.150660944048842,-0.0545882195541159,375.092941176471,490.32,235.12,246.823921568627,323.54,158.14,0.0150098398459858,0.0197084723374765,0.0093315670483613,0.0150111823481279,0.0199355313513302,0.00935856022350644
0.1,0.05,50,0,0,0,3245.99725490196,4481.64,1515.46,3310.32156862745,4532.64,1445.1,318.678431372549,611.48,98.52,-0.000879584231480346,0.131542001825461,-0.122018971012415,0.00359632731567812,0.139147934636769,-0.111370042995253,0.0572450256705176,0.215183666003278,-0.217716396444107,379.869803921569,710.12,124.7,367.06431372549,700.06,101.26,0.0148522387453918,0.0306164220387607,0.00479160475698686,0.0148813575864496,0.0306485360910691,0.00469043996032771
