"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup","prey1catchRateMean","prey1catchRateICinf","prey1catchRateICsup","prey2catchRateMean","prey2catchRateICinf","prey2catchRateICsup"
0,50,250000,250000,250000,250000,250000,250000,0,0,0,4000,4000,4000,0,0,0,0,0,0,300,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,50,250000,250000,250000,67665.06,67415.92,67921.26,0,0,0,2789.3,2781.56,2797.56,0,0,0,646.88,640.86,652.28,201.84,199.54,204.06,0,0,0,-0.302675,-0.304735,-0.30075,-0.3272,-0.334333333333333,-0.3192,0,0,0,0.0174052323895959,0.0172290765829854,0.0175893746769744
20,50,250000,250000,250000,118059.62,117550.56,118506.74,0,0,0,2610.3,2596.96,2623.46,0,0,0,328.66,322.6,334.12,148.72,146.28,151.24,0,0,0,-0.0642344291341632,-0.0671724772568767,-0.0612236956780097,-0.263288701269871,-0.271719614175823,-0.254893298728124,0,0,0,0.0124375133102782,0.0122548005347619,0.0126175910693154
30,50,250000,250000,250000,124777.16,124066.82,125469.12,0,0,0,2939.68,2920.16,2957.94,0,0,0,229.68,225.34,234.06,112.14,109.9,114.24,0,0,0,0.126181156564578,0.122497382687214,0.129737858363229,-0.245621682811039,-0.255950295716665,-0.235767929268757,0,0,0,0.00916621109661243,0.00901584396968775,0.00930899152608308
40,50,250000,250000,250000,108299.16,107389.18,109207.92,0,0,0,3362.3,3336.06,3386.9,0,0,0,189.56,185.04,194.16,100.1,97.92,102.42,0,0,0,0.143777637007113,0.138857449832765,0.14822349641843,-0.106456517329885,-0.122189565531933,-0.0909462413092719,0,0,0,0.00664732656159147,0.00652529320978752,0.00677600102579501
50,50,250000,250000,250000,88973.54,87859.64,90082.1,0,0,0,3775.46,3748.46,3802.78,0,0,0,191.44,186.96,195.8,90.98,88.84,93.18,0,0,0,0.122987511331015,0.118666726069476,0.126935701265038,-0.0896655247372341,-0.10616586973724,-0.0732782144892946,0,0,0,0.00585037459954144,0.00573693379152823,0.00596250870187943
60,50,250000,250000,250000,71268.38,70127.84,72378.04,0,0,0,4183.2,4154.26,4211.46,0,0,0,190.3,185.18,195.28,91.08,88.64,93.4,0,0,0,0.108076937348192,0.104973018005643,0.111091944155276,0.00296195940661141,-0.0143900044640256,0.0196369890968626,0,0,0,0.00516297020586859,0.0050569185426585,0.0052586847589874
70,50,250000,250000,250000,55282.04,54212.82,56338.54,0,0,0,4582.94,4552.24,4613.02,0,0,0,204.34,197.74,210.58,94.5,92.32,96.62,0,0,0,0.0957397998542402,0.0920016018930417,0.0995702475384169,0.0394311599486453,0.0224449957545671,0.0561128479687745,0,0,0,0.0049960094774458,0.00489951229427743,0.00509786746179107
80,50,250000,250000,250000,41537.22,40596.6,42516.9,0,0,0,4872.46,4845.28,4897.06,0,0,0,224.76,218.38,231.8,99.12,96.86,101.54,0,0,0,0.0633612642398326,0.0587387501445466,0.0674122649792815,0.0509086886885826,0.0343480312352256,0.0678211798103538,0,0,0,0.00501947616684939,0.00491101711718158,0.00512046938214424
90,50,250000,250000,250000,32537.2,31781.58,33267.38,0,0,0,5083.8,5059.82,5107.74,0,0,0,227.06,221.04,233.18,112.52,109.52,115.44,0,0,0,0.0434917940135822,0.0394307857988325,0.0476677960839228,0.134931180863744,0.120374736291723,0.14892142314231,0,0,0,0.00476221150554276,0.00466549043684413,0.00485911649664931
