"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,68750,62500,0,100,0,0,0,0,0,0
1,10,68750,59903,0,126,0,0,0,0,26,0
1,20,68750,59336,0,194,0,0,0,0,53.968253968254,0
1,30,68750,57668,0,314,0,0,0,0,61.8556701030928,0
1,40,68750,54604,0,487,0,0,0,0,55.0955414012739,0
1,50,68750,50442,0,737,0,0,0,0,51.3347022587269,0
1,60,68750,44109,0,1122,0,0,0,0,52.2388059701493,0
1,70,68750,34520,0,1807,0,0,0,0,61.0516934046346,0
1,80,68750,19079,0,2669,0,0,0,0,47.7033757609297,0
1,90,68750,6217,0,3649,0,0,0,0,36.7178718621206,0
1,100,68750,1519,0,3990,0,0,0,0,9.34502603453001,0
1,110,68750,621,0,3974,0,0,0,0,-0.401002506265664,0
1,120,68750,395,0,3974,0,0,0,0,0,0
1,130,68750,406,0,3858,0,0,0,0,-2.91897332662305,0
1,140,68750,460,0,3902,0,0,0,0,1.14048729911871,0
1,150,68750,469,0,3881,0,0,0,0,-0.538185545873911,0
1,160,68750,424,0,3987,0,0,0,0,2.73125483122906,0
1,170,68750,380,0,3825,0,0,0,0,-4.06320541760722,0
1,180,68750,478,0,3931,0,0,0,0,2.77124183006536,0
1,190,68750,601,0,3916,0,0,0,0,-0.381582294581531,0
1,200,68750,257,0,3872,0,0,0,0,-1.12359550561798,0
1,210,68750,591,0,3596,0,34,97,0,-7.12809917355372,0
1,220,68750,1330,0,3595,0,36,124,0,-0.0278086763070078,27.8350515463918
1,230,68750,1208,0,3492,0,54,145,0,-2.86509040333797,16.9354838709677
1,240,68750,1820,0,3521,0,45,168,0,0.830469644902635,15.8620689655172
1,250,68750,1467,0,3422,0,52,219,0,-2.81170122124396,30.3571428571429
1,260,68750,1972,0,3298,0,67,255,0,-3.62361192285213,16.4383561643836
1,270,68750,3560,0,3158,0,83,286,0,-4.24499696785931,12.156862745098
1,280,68750,4431,0,2946,0,71,313,0,-6.71310956301457,9.44055944055944
1,290,68750,6794,0,2795,0,89,326,0,-5.12559402579769,4.15335463258786
1,300,68750,8896,0,2689,0,87,340,0,-3.79248658318426,4.29447852760736
1,310,68750,11074,0,2507,0,88,319,0,-6.76831535886947,-6.17647058823529
1,320,68750,12820,0,2460,0,76,294,0,-1.87475069804547,-7.83699059561128
1,330,68750,13260,0,2514,0,75,266,0,2.19512195121951,-9.52380952380952
1,340,68750,12581,0,2586,0,65,260,0,2.86396181384248,-2.25563909774436
1,350,68750,11135,0,2658,0,63,240,0,2.78422273781903,-7.69230769230769
1,360,68750,9460,0,2788,0,62,252,0,4.89089541008277,5
1,370,68750,8156,0,2805,0,75,250,0,0.609756097560976,-0.793650793650794
1,380,68750,7844,0,2900,0,65,255,0,3.38680926916221,2
1,390,68750,6825,0,2980,0,69,276,0,2.75862068965517,8.23529411764706
1,400,68750,6347,0,2958,0,80,290,0,-0.738255033557047,5.07246376811594
1,410,68750,6545,0,2838,0,72,310,0,-4.05679513184584,6.89655172413793
1,420,68750,7797,0,2738,0,77,310,0,-3.52360817477097,0
1,430,68750,9429,0,2637,0,89,304,0,-3.68882395909423,-1.93548387096774
1,440,68750,10875,0,2624,0,74,304,0,-0.492984452028821,0
1,450,68750,10822,0,2623,0,72,288,0,-0.038109756097561,-5.26315789473684
1,460,68750,11051,0,2600,0,78,273,0,-0.876858558902021,-5.20833333333333
1,470,68750,10502,0,2647,0,68,274,0,1.80769230769231,0.366300366300366
1,480,68750,10251,0,2743,0,75,280,0,3.62674726105025,2.18978102189781
1,490,68750,8873,0,2757,0,86,280,0,0.510390083849799,0
1,500,68750,8794,0,2765,0,91,284,0,0.290170475154153,1.42857142857143
1,510,68750,8026,0,2796,0,75,259,0,1.12115732368897,-8.80281690140845
1,520,68750,7994,0,2858,0,63,289,0,2.21745350500715,11.5830115830116
1,530,68750,7958,0,2739,0,72,305,0,-4.16375087473758,5.5363321799308
1,540,68750,10097,0,2650,0,83,301,0,-3.24936108068638,-1.31147540983607
1,550,68750,10593,0,2565,0,68,284,0,-3.20754716981132,-5.64784053156146
1,560,68750,10998,0,2708,0,62,278,0,5.57504873294347,-2.11267605633803
1,570,68750,8916,0,2701,0,74,272,0,-0.258493353028065,-2.15827338129496
1,580,68750,9706,0,2768,0,64,270,0,2.48056275453536,-0.735294117647059
1,590,68750,8383,0,2838,0,85,252,0,2.52890173410405,-6.66666666666667
1,600,68750,7032,0,2910,0,62,260,0,2.5369978858351,3.17460317460317
1,610,68750,6977,0,2900,0,64,276,0,-0.343642611683849,6.15384615384615
1,620,68750,7308,0,2834,0,81,285,0,-2.27586206896552,3.26086956521739
1,630,68750,7581,0,2783,0,77,305,0,-1.79957657021877,7.01754385964912
1,640,68750,8718,0,2687,0,78,320,0,-3.4495149119655,4.91803278688525
1,650,68750,9467,0,2666,0,87,313,0,-0.781540751767771,-2.1875
1,660,68750,10137,0,2597,0,70,313,0,-2.58814703675919,0
1,670,68750,11149,0,2555,0,83,304,0,-1.61725067385445,-2.87539936102236
1,680,68750,11921,0,2476,0,69,280,0,-3.09197651663405,-7.89473684210526
1,690,68750,12458,0,2552,0,66,267,0,3.06946688206785,-4.64285714285714
1,700,68750,11214,0,2662,0,68,265,0,4.31034482758621,-0.749063670411985
1,710,68750,9991,0,2717,0,81,253,0,2.06611570247934,-4.52830188679245
1,720,68750,9159,0,2873,0,70,263,0,5.74162679425837,3.95256916996047
1,730,68750,6773,0,2868,0,69,262,0,-0.174034110685694,-0.380228136882129
1,740,68750,7595,0,2792,0,80,281,0,-2.64993026499303,7.25190839694656
1,750,68750,8192,0,2886,0,72,277,0,3.36676217765043,-1.42348754448399
1,760,68750,6729,0,2856,0,73,273,0,-1.03950103950104,-1.44404332129964
1,770,68750,6884,0,2907,0,75,290,0,1.78571428571429,6.22710622710623
1,780,68750,7280,0,2864,0,80,284,0,-1.47918816649467,-2.06896551724138
1,790,68750,7893,0,2816,0,78,305,0,-1.67597765363128,7.3943661971831
1,800,68750,8278,0,2704,0,84,306,0,-3.97727272727273,0.327868852459016
1,810,68750,9658,0,2694,0,74,279,0,-0.369822485207101,-8.82352941176471
1,820,68750,9401,0,2747,0,77,275,0,1.96733481811433,-1.4336917562724
1,830,68750,8730,0,2685,0,74,269,0,-2.25700764470331,-2.18181818181818
1,840,68750,9983,0,2751,0,65,269,0,2.45810055865922,0
1,850,68750,9459,0,2797,0,76,271,0,1.67211922937114,0.743494423791822
1,860,68750,7364,0,2813,0,77,277,0,0.572041473006793,2.2140221402214
1,870,68750,8769,0,2826,0,79,294,0,0.462140063988624,6.13718411552347
1,880,68750,7401,0,2859,0,67,278,0,1.16772823779193,-5.4421768707483
1,890,68750,7422,0,2796,0,79,285,0,-2.20356768100735,2.51798561151079
1,900,68750,8589,0,2723,0,72,305,0,-2.61087267525036,7.01754385964912
1,910,68750,9605,0,2700,0,90,303,0,-0.844656628718325,-0.655737704918033
1,920,68750,9451,0,2630,0,79,297,0,-2.59259259259259,-1.98019801980198
1,930,68750,11607,0,2584,0,78,295,0,-1.74904942965779,-0.673400673400673
1,940,68750,11122,0,2587,0,74,288,0,0.11609907120743,-2.3728813559322
1,950,68750,11376,0,2592,0,72,275,0,0.193274062620796,-4.51388888888889
1,960,68750,10957,0,2702,0,66,268,0,4.24382716049383,-2.54545454545455
1,970,68750,9424,0,2687,0,76,260,0,-0.555144337527757,-2.98507462686567
1,980,68750,9346,0,2815,0,73,265,0,4.76367696315594,1.92307692307692
1,990,68750,7883,0,2810,0,92,276,0,-0.177619893428064,4.15094339622642
1,1000,68750,8341,0,2763,0,85,284,0,-1.67259786476868,2.89855072463768
1,1010,66572,8648,90,2771,3,78,274,0,0.289540354686935,-3.52112676056338
1,1020,66918,8429,121,2839,2,87,286,34.4444444444444,2.45398773006135,4.37956204379562
1,1030,66161,7857,156,2802,5,88,314,28.9256198347107,-1.3032758013385,9.79020979020979
1,1040,65288,8510,196,2687,6,92,325,25.6410256410256,-4.10421127765882,3.5031847133758
1,1050,64632,9577,263,2635,6,90,338,34.1836734693878,-1.9352437662821,4
1,1060,63194,10991,354,2496,12,82,319,34.6007604562738,-5.27514231499051,-5.62130177514793
1,1070,61309,12718,411,2450,14,85,336,16.1016949152542,-1.84294871794872,5.32915360501567
1,1080,60360,13421,504,2473,10,80,344,22.6277372262774,0.938775510204082,2.38095238095238
1,1090,58774,13073,555,2472,13,90,338,10.1190476190476,-0.0404367165386171,-1.74418604651163
1,1100,57426,13569,665,2413,21,70,349,19.8198198198198,-2.38673139158576,3.25443786982249
1,1110,55159,14516,791,2367,21,66,380,18.9473684210526,-1.90634065478657,8.88252148997135
1,1120,52550,15465,915,2212,27,81,384,15.6763590391909,-6.54837346852556,1.05263157894737
1,1130,50616,18801,1023,2096,28,73,404,11.8032786885246,-5.24412296564195,5.20833333333333
1,1140,48074,20924,1212,1910,29,70,420,18.475073313783,-8.87404580152672,3.96039603960396
1,1150,44146,24499,1349,1733,41,65,421,11.3036303630363,-9.26701570680628,0.238095238095238
