"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,3,68750,68750,68750,62500,62500,62500,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,68750,68750,68750,59934.3333333333,59903,59964,0,0,0,123.333333333333,118,126,0,0,0,0,0,0,0,0,0,0,0,0,23.3333333333333,18,26,0,0,0
20,3,68750,68750,68750,59363.3333333333,59283,59471,0,0,0,193,184,201,0,0,0,0,0,0,0,0,0,0,0,0,56.474755627298,53.968253968254,59.5238095238095,0,0,0
30,3,68750,68750,68750,57747.3333333333,57668,57883,0,0,0,305,296,314,0,0,0,0,0,0,0,0,0,0,0,0,58.1555096176075,51.7412935323383,61.8556701030928,0,0,0
40,3,68750,68750,68750,54882.3333333333,54604,55106,0,0,0,476,459,487,0,0,0,0,0,0,0,0,0,0,0,0,56.0652986180291,55.0675675675676,58.0327868852459,0,0,0
50,3,68750,68750,68750,50649.6666666667,50442,51046,0,0,0,734,719,746,0,0,0,0,0,0,0,0,0,0,0,0,54.250455555128,51.3347022587269,56.6448801742919,0,0,0
60,3,68750,68750,68750,44127.6666666667,43872,44402,0,0,0,1111.66666666667,1095,1122,0,0,0,0,0,0,0,0,0,0,0,0,51.4665372255384,49.8659517426273,52.2948539638387,0,0,0
70,3,68750,68750,68750,34805.6666666667,34520,34950,0,0,0,1764.66666666667,1733,1807,0,0,0,0,0,0,0,0,0,0,0,0,58.734610778349,56.8872987477639,60.1227423306392,0,0,0
80,3,68750,68750,68750,19817.6666666667,19079,20370,0,0,0,2662.33333333333,2634,2684,0,0,0,0,0,0,0,0,0,0,0,0,50.9052693274861,47.7033757609297,53.0216647662486,0,0,0
90,3,68750,68750,68750,6879.66666666667,6217,7311,0,0,0,3601,3528,3649,0,0,0,0,0,0,0,0,0,0,0,0,35.2518388974547,33.9407744874715,36.7178718621206,0,0,0
100,3,68750,68750,68750,1333.33333333333,1022,1519,0,0,0,4001.33333333333,3972,4042,0,0,0,0,0,0,0,0,0,0,0,0,11.1521274295811,9.34502603453001,14.5691609977324,0,0,0
110,3,68750,68750,68750,549.333333333333,438,621,0,0,0,4010.33333333333,3974,4056,0,0,0,0,0,0,0,0,0,0,0,0,0.225157151901216,-0.401002506265664,0.730110775427996,0,0,0
120,3,68750,68750,68750,410.666666666667,353,484,0,0,0,3906,3843,3974,0,0,0,0,0,0,0,0,0,0,0,0,-2.58361814871726,-4.3341112453642,0,0,0,0
130,3,68750,68750,68750,459.333333333333,406,515,0,0,0,3856.66666666667,3851,3861,0,0,0,0,0,0,0,0,0,0,0,0,-1.24410396230111,-2.91897332662305,0.468384074941452,0,0,0
140,3,68750,68750,68750,458,375,539,0,0,0,3893.33333333333,3865,3913,0,0,0,0,0,0,0,0,0,0,0,0,0.951352946236488,0.103600103600104,1.60997143599065,0,0,0
150,3,68750,68750,68750,510,375,686,0,0,0,3894.66666666667,3881,3916,0,0,0,0,0,0,0,0,0,0,0,0,0.038965636300558,-0.664451827242525,1.31953428201811,0,0,0
160,3,68750,68750,68750,528.666666666667,424,659,0,0,0,3892.66666666667,3812,3987,0,0,0,0,0,0,0,0,0,0,0,0,-0.0434435388349916,-2.65577119509704,2.73125483122906,0,0,0
170,3,68750,68750,68750,477,380,612,0,0,0,3886,3825,3918.66666666667,0,0,0,0,0,0,0,0,0,0,0,0,-0.119354496390793,-4.06320541760722,2.57082896117524,0,0,0
180,3,68750,68750,68750,440.333333333333,369,478,0,0,0,3879,3840,3931,0,0,0,0,0,0,0,0,0,0,0,0,-0.156601874132367,-2.11572775936783,2.77124183006536,0,0,0
190,3,68750,68750,68750,561.333333333333,510,601,0,0,0,3890,3851,3916,0,0,0,0,0,0,0,0,0,0,0,0,0.287312533696712,-0.381582294581531,0.957061562338334,0,0,0
200,3,68750,68750,68750,488,257,634,0,0,0,3888.33333333333,3872,3906,0,0,0,0,0,0,0,0,0,0,0,0,-0.0373031435624349,-1.12359550561798,0.934822124123604,0,0,0
210,3,68750,68750,68750,699.333333333333,591,842,0,0,0,3588.66666666667,3583,3596,0,0,0,39.3333333333333,34,48,98.3333333333333,95,103,0,0,0,-7.7051542948374,-8.26932923707117,-7.12809917355372,0,0,0
220,3,68750,68750,68750,1346.66666666667,1100,1610,0,0,0,3575.66666666667,3560,3595,0,0,0,41,36,51,121.333333333333,114,126,0,0,0,-0.36263520143367,-0.641920178621267,-0.0278086763070078,23.3883828779235,20,27.8350515463918
230,3,68750,68750,68750,1442.66666666667,1208,1567,0,0,0,3490.66666666667,3461,3519,0,0,0,41.6666666666667,34,54,148.666666666667,145,151,0,0,0,-2.37658395924226,-2.86509040333797,-1.48376259798432,22.7852336935529,16.9354838709677,31.5789473684211
240,3,68750,68750,68750,1967.33333333333,1644,2438,0,0,0,3461.66666666667,3401,3521,0,0,0,48.6666666666667,45,55,177.666666666667,168,189,0,0,0,-0.831498180721088,-1.73360300491188,0.830469644902635,19.4536550709193,15.8620689655172,25.1655629139073
250,3,68750,68750,68750,1953,1467,2282,0,0,0,3356.33333333333,3287,3422,0,0,0,55,52,57,217.666666666667,209,225,0,0,0,-3.03317586407705,-5.08229858504187,-1.20552778594531,22.718253968254,18.75,30.3571428571429
260,3,68750,68750,68750,2748.33333333333,1972,3330,0,0,0,3236.66666666667,3195,3298,0,0,0,74.6666666666667,67,84,252.666666666667,249,255,0,0,0,-3.55948969339879,-4.25595238095238,-2.79890477639185,16.2120411031731,10.6666666666667,21.5311004784689
270,3,68750,68750,68750,3954.33333333333,3560,4176,0,0,0,3105.33333333333,3045,3158,0,0,0,78.3333333333333,76,83,286.333333333333,284,289,0,0,0,-4.05270111588339,-5.34659620764688,-2.56651017214398,13.3308717345838,12.156862745098,14.0562248995984
280,3,68750,68750,68750,5221.33333333333,4431,5713,0,0,0,2930.33333333333,2906,2946,0,0,0,87.3333333333333,71,100,319,313,326,0,0,0,-5.61458678631703,-6.71310956301457,-3.48111658456486,11.4050528641883,9.44055944055944,12.80276816609
290,3,68750,68750,68750,7247,6794,7778,0,0,0,2756,2715,2795,0,0,0,83,72,89,337.333333333333,326,346,0,0,0,-5.9522532515483,-6.5726083964212,-5.12559402579769,5.73552098381731,4.15335463258786,6.91823899371069
300,3,68750,68750,68750,9525,8896,9887,0,0,0,2587.66666666667,2480,2689,0,0,0,93.6666666666667,87,102,348,340,355,0,0,0,-6.10965881541934,-10.0797679477883,-3.79248658318426,3.18089780683364,2.60115606936416,4.29447852760736
310,3,68750,68750,68750,12233.3333333333,11074,13883,0,0,0,2425,2305,2507,0,0,0,90.3333333333333,81,102,325,314,342,0,0,0,-6.29162754109206,-7.05645161290323,-5.05011565150347,-6.57716567396966,-9.7583540458437,-2.00573065902579
320,3,68750,68750,68750,14385.3333333333,12820,16214,0,0,0,2371,2292,2460,0,0,0,74.6666666666667,65,83,289.333333333333,270,304,0,0,0,-2.12933411800235,-6.94275274056029,2.4295010845987,-10.9869468534085,-14.0127388535032,-7.83699059561128
330,3,68750,68750,68750,14523,13260,16056,0,0,0,2431.66666666667,2307,2514,0,0,0,65,58,75,258.666666666667,238,272,0,0,0,2.54522659817762,0.654450261780105,4.78610758153325,-10.6339923883784,-11.8518518518519,-9.52380952380952
340,3,68750,68750,68750,13512.6666666667,12581,15375,0,0,0,2605,2482,2747,0,0,0,60,56,65,242.666666666667,231.333333333333,260,0,0,0,7.16144411656221,2.86396181384248,11.034761519806,-6.10902255639098,-11.0294117647059,-2.25563909774436
350,3,68750,68750,68750,10446.6666666667,8135,12070,0,0,0,2743.33333333333,2658,2871,0,0,0,64,59,70,226,219,240,0,0,0,5.37392247966346,2.78422273781903,8.82352941176471,-6.76459501881867,-9.50413223140496,-3.09734513274336
360,3,68750,68750,68750,8066.33333333333,6453,9460,0,0,0,2928.66666666667,2788,3092,0,0,0,64.3333333333333,62,66,232.666666666667,217,252,0,0,0,6.72611443027435,4.89089541008277,7.69766631835597,2.88432267884323,0.91324200913242,5
370,3,68750,68750,68750,6027.66666666667,4280,8156,0,0,0,2956.33333333333,2805,3036,0,0,0,72,67,75,247,234,257,0,0,0,0.998947070399752,-1.8111254851229,4.19821059876118,6.42250827488186,-0.793650793650794,12.2270742358079
380,3,68750,68750,68750,6138,4744,7844,0,0,0,3010.66666666667,2900,3129,0,0,0,70.6666666666667,65,76,264,240,297,0,0,0,1.87846258467603,-1.08695652173913,3.38680926916221,6.70943496624429,2,15.5642023346303
390,3,68750,68750,68750,5795.33333333333,4329,6825,0,0,0,3004.66666666667,2849,3185,0,0,0,73,67,83,287.666666666667,270,317,0,0,0,-0.19329175543015,-5.12820512820513,2.75862068965517,9.15643361721793,6.73400673400673,12.5
400,3,68750,68750,68750,6255.33333333333,4366,8053,0,0,0,2887,2650,3053,0,0,0,81,75,88,306.333333333333,290,328,0,0,0,-3.95586300667796,-6.98490698490698,-0.738255033557047,6.67465893177959,3.47003154574133,9.34514224369298
