"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,3,62500,62500,62500,62500,62500,62500,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,62500,62500,62500,59996,59992,60000,0,0,0,84,82,87,0,0,0,0,0,0,0,0,0,0,0,0,-16,-18,-13,0,0,0
20,3,62500,62500,62500,60399.6666666667,60335,60488,0,0,0,91,88,97,0,0,0,0,0,0,0,0,0,0,0,0,8.44465611253538,1.14942528735632,16.8674698795181,0,0,0
30,3,62500,62500,62500,60233,60111,60299,0,0,0,113.333333333333,110,118,0,0,0,0,0,0,0,0,0,0,0,0,24.8516088722274,15.4639175257732,31.0606060606061,0,0,0
40,3,62500,62500,62500,59673.3333333333,59605,59724,0,0,0,143.333333333333,133,149,0,0,0,0,0,0,0,0,0,0,0,0,26.7697556680608,12.7118644067797,35.4545454545455,0,0,0
50,3,62500,62500,62500,58876,58746,59133,0,0,0,176,170,182,0,0,0,0,0,0,0,0,0,0,0,0,23.1325865907286,14.0939597315436,32.3308270676692,0,0,0
60,3,62500,62500,62500,58073,58011,58134,0,0,0,203,182,218,0,0,0,0,0,0,0,0,0,0,0,0,15.4931832873009,3.40909090909091,28.2352941176471,0,0,0
70,3,62500,62500,62500,57476.3333333333,57133,57954,0,0,0,250.333333333333,241,261,0,0,0,0,0,0,0,0,0,0,0,0,23.7603696802151,19.1387559808612,32.4175824175824,0,0,0
80,3,62500,62500,62500,56228.3333333333,56073,56432,0,0,0,306,299.666666666667,316,0,0,0,0,0,0,0,0,0,0,0,0,22.3341275309342,16.8582375478927,26.9076305220884,0,0,0
90,3,62500,62500,62500,54891.3333333333,54610,55141,0,0,0,366.666666666667,356,383,0,0,0,0,0,0,0,0,0,0,0,0,19.8095024161981,18.3606557377049,21.2025316455696,0,0,0
100,3,62500,62500,62500,53327.3333333333,53073,53484.6666666667,0,0,0,436,416,459,0,0,0,0,0,0,0,0,0,0,0,0,18.8806243195911,16.8539325842697,19.9445983379501,0,0,0
110,3,62500,62500,62500,51455,50890,51914,0,0,0,540,525,564,0,0,0,0,0,0,0,0,0,0,0,0,23.9223869755557,21.2471131639723,27.6442307692308,0,0,0
120,3,62500,62500,62500,49107,48525,49460,0,0,0,658.666666666667,653,670,0,0,0,0,0,0,0,0,0,0,0,0,22.1249024512638,15.7801418439716,27.6190476190476,0,0,0
130,3,62500,62500,62500,46044.3333333333,46009,46064,0,0,0,795.333333333333,768,818,0,0,0,0,0,0,0,0,0,0,0,0,20.7606683275811,17.6110260336907,25.2679938744257,0,0,0
