"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,3,75000,75000,75000,62500,62500,62500,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,75000,75000,75000,59968.6666666667,59933,60011,0,0,0,117.333333333333,113,125,0,0,0,0,0,0,0,0,0,0,0,0,17.3333333333333,13,25,0,0,0
20,3,75000,75000,75000,59587.3333333333,59382,59757,0,0,0,183.333333333333,180,189,0,0,0,0,0,0,0,0,0,0,0,0,56.6554882782177,44,65.7894736842105,0,0,0
30,3,75000,75000,75000,57848,57668,57968,0,0,0,289.666666666667,270,318,0,0,0,0,0,0,0,0,0,0,0,0,58.1717286873825,48.6772486772487,76.6666666666667,0,0,0
40,3,75000,75000,75000,55288.3333333333,54543,55755,0,0,0,457.333333333333,431,480,0,0,0,0,0,0,0,0,0,0,0,0,58.209988452608,50.9433962264151,64.0569395017794,0,0,0
50,3,75000,75000,75000,50964.3333333333,50318,51740,0,0,0,717.333333333333,663,758,0,0,0,0,0,0,0,0,0,0,0,0,56.7711008830574,53.8283062645012,58.5683297180043,0,0,0
60,3,75000,75000,75000,44637,43527,45996,0,0,0,1113.66666666667,1032,1185,0,0,0,0,0,0,0,0,0,0,0,0,55.2501774424611,53.7619699042408,56.3324538258575,0,0,0
70,3,75000,75000,75000,34672.6666666667,32909,36755,0,0,0,1741,1625,1852,0,0,0,0,0,0,0,0,0,0,0,0,56.3620794777053,55.3380782918149,57.4612403100775,0,0,0
80,3,75000,75000,75000,20365,18425,22489,0,0,0,2630.66666666667,2455,2764,0,0,0,0,0,0,0,0,0,0,0,0,51.1379223524132,49.244060475162,53.0927835051546,0,0,0
90,3,75000,75000,75000,6663.33333333333,5861,7936,0,0,0,3632.33333333333,3506,3738,0,0,0,0,0,0,0,0,0,0,0,0,38.2374335178855,35.2387843704776,42.8105906313646,0,0,0
100,3,75000,75000,75000,1276,1235,1325,0,0,0,4009.33333333333,3982,4053,0,0,0,0,0,0,0,0,0,0,0,0,10.4766504975151,6.82182985553772,15.6018254420993,0,0,0
110,3,75000,75000,75000,423.666666666667,173,619,0,0,0,3971.66666666667,3910,4035,0,0,0,0,0,0,0,0,0,0,0,0,-0.942753366271066,-1.80813661476645,-0.444115470022206,0,0,0
120,3,75000,75000,75000,510.666666666667,395,636,0,0,0,3846,3823,3858,0,0,0,0,0,0,0,0,0,0,0,0,-3.14829553415193,-4.38661710037175,-1.35549872122762,0,0,0
130,3,75000,75000,75000,514,420,680,0,0,0,3909,3899,3920,0,0,0,0,0,0,0,0,0,0,0,0,1.64075746283995,1.06272680145153,2.53727439183887,0,0,0
140,3,75000,75000,75000,534,372,677,0,0,0,3882.33333333333,3861,3899,0,0,0,0,0,0,0,0,0,0,0,0,-0.682560807611571,-0.974608874070274,-0.535714285714286,0,0,0
150,3,75000,75000,75000,434.666666666667,338,594,0,0,0,3921.33333333333,3845,3967,0,0,0,0,0,0,0,0,0,0,0,0,1.01089101427353,-1.38497050525776,2.74540274540275,0,0,0
160,3,75000,75000,75000,447,414,502,0,0,0,3877.66666666667,3871,3886,0,0,0,0,0,0,0,0,0,0,0,0,-1.09224057865204,-2.419964708848,1.06631989596879,0,0,0
170,3,75000,75000,75000,512,428,676,0,0,0,3894,3849,3956,0,0,0,0,0,0,0,0,0,0,0,0,0.419914139333738,-0.696594427244582,1.8013381369017,0,0,0
180,3,75000,75000,75000,501,484,533,0,0,0,3884.66666666667,3810,3983,0,0,0,0,0,0,0,0,0,0,0,0,-0.21604404651093,-2.40141557128413,3.48142374642764,0,0,0
190,3,75000,75000,75000,496,338,755,0,0,0,3922,3886,3985,0,0,0,0,0,0,0,0,0,0,0,0,1.00240803389948,-2.43535023851368,3.21160321160321,0,0,0
200,3,75000,75000,75000,475.333333333333,446,507,0,0,0,3841.66666666667,3811,3889,0,0,0,0,0,0,0,0,0,0,0,0,-2.03303508470383,-4.01505646173149,-0.154043645699615,0,0,0
210,3,75000,75000,75000,648.666666666667,544,754,0,0,0,3601.66666666667,3547,3654,0,0,0,43.3333333333333,36,50,105.666666666667,104,109,0,0,0,-6.23866317907485,-7.32836204679866,-4.11965363421674,0,0,0
220,3,75000,75000,75000,1338.66666666667,1219,1576,0,0,0,3550.33333333333,3516,3573,0,0,0,43.6666666666667,40,47,122.333333333333,116,131,0,0,0,-1.41869952905316,-2.21674876847291,-0.873978009585565,15.7021877205363,11.5384615384615,20.1834862385321
230,3,75000,75000,75000,1578.33333333333,1142,1823,0,0,0,3513.66666666667,3480,3560,0,0,0,40,35,44,145,133,156,0,0,0,-1.02131790965491,-2.60285474391268,1.2514220705347,18.4686028487029,14.6551724137931,21.6666666666667
240,3,75000,75000,75000,1790.33333333333,1397,2324,0,0,0,3445.33333333333,3371,3555,0,0,0,54,41,67,178.333333333333,154,196,0,0,0,-1.92384517506354,-4.04673036168372,2.1551724137931,22.7142760307865,15.7894736842105,26.7123287671233
250,3,75000,75000,75000,2217,1609,2762,0,0,0,3388.66666666667,3313,3449,0,0,0,59.3333333333333,49,76,211.333333333333,189,223,0,0,0,-1.62607555676655,-2.9817158931083,-0.175953079178886,18.8342609771181,13.7755102040816,22.7272727272727
260,3,75000,75000,75000,2564.33333333333,2216,2756,0,0,0,3261.66666666667,3176,3360,0,0,0,62.6666666666667,56,71,245,225,257,0,0,0,-3.73674811188423,-6.69800235017626,-1.93178388167824,16.0860732609611,13.963963963964,19.047619047619
270,3,75000,75000,75000,3687.33333333333,3159,4425,0,0,0,3110.33333333333,3027,3183,0,0,0,75.3333333333333,68,79,287,271,297,0,0,0,-4.63298888562901,-5.26785714285714,-3.93967374576793,17.2729744863055,15.5642023346303,20.4444444444444
280,3,75000,75000,75000,5094.33333333333,4342,5724,0,0,0,2956.33333333333,2912,3009,0,0,0,84.3333333333333,81,90,319.666666666667,318,321,0,0,0,-4.9362590748747,-5.54309516180711,-3.7991410637595,11.5463328591296,8.08080808080808,17.3431734317343
290,3,75000,75000,75000,6789,5830,7352,0,0,0,2826,2809,2854,0,0,0,84.3333333333333,77,90,317,311,327,0,0,0,-4.39994472751612,-5.15121302758391,-3.53708791208791,-0.838556055173497,-2.8125,1.86915887850467
300,3,75000,75000,75000,8440,8195,8758,0,0,0,2687.33333333333,2594,2735,0,0,0,83.6666666666667,78,93,324,313,332,0,0,0,-4.90828412731852,-7.85079928952043,-2.63438946244215,2.23779145221879,0,6.0702875399361
310,3,75000,75000,75000,10476,9481,11338,0,0,0,2559,2477,2607.33333333333,0,0,0,83.3333333333333,67,98,326.666666666667,317,341,0,0,0,-4.77115301209843,-5.67142334431028,-4.13162705667276,0.84271291966039,-3.05810397553517,2.87539936102236
320,3,75000,75000,75000,12601,11705,13557,0,0,0,2436.33333333333,2390,2520,0,0,0,78.6666666666667,71,89,331.333333333333,311,359,0,0,0,-4.77720183286275,-7.29247478665632,-3.14897052886556,1.33565530276455,-1.89274447949527,5.27859237536657
330,3,75000,75000,75000,13866.6666666667,12409,15070,0,0,0,2397.33333333333,2286,2466,0,0,0,76,64,83,297.666666666667,279,308,0,0,0,-1.59509204746847,-4.35146443514644,1.70904543559817,-10.0170242522615,-14.2061281337047,-5.55555555555556
340,3,75000,75000,75000,14094,12841,16450,0,0,0,2404.66666666667,2272,2500,0,0,0,70.6666666666667,60,80,257.333333333333,248,272,0,0,0,0.291118978880381,-0.852965155511279,2.45901639344262,-13.4230166488231,-19.4805194805195,-9.67741935483871
350,3,75000,75000,75000,13164.3333333333,11555,14998,0,0,0,2520.66666666667,2409,2589,0,0,0,63.6666666666667,61,68,233,219,241,0,0,0,4.86194485778993,3.56,6.02992957746479,-9.41644578978545,-11.6935483870968,-5.15873015873016
360,3,75000,75000,75000,10978.6666666667,9980,12315,0,0,0,2772,2709,2874,0,0,0,51.6666666666667,46,56,223.333333333333,199,239,0,0,0,10.037633861135,5.65522620904836,13.4495641344956,-4.2889533084497,-9.1324200913242,0
370,3,75000,75000,75000,7721.33333333333,7060,8467,0,0,0,2920.33333333333,2821,2971,0,0,0,73.6666666666667,68,85,221,187,243,0,0,0,5.38155110880179,3.37508698677801,8.63519941456275,-1.30849203454873,-6.03015075376884,1.67364016736402
380,3,75000,75000,75000,6289,5755,7154,0,0,0,3056.66666666667,2961,3163,0,0,0,66,56,80,226.666666666667,190,252,0,0,0,4.72449821991361,-0.336587007741501,7.97589507266927,2.48463484178371,1.60427807486631,3.7037037037037
390,3,75000,75000,75000,4991,3833,5862,0,0,0,3091.33333333333,2996,3225,0,0,0,64,59,74,246.333333333333,213,263,0,0,0,1.1240023613849,0.229809586342745,1.96016440088524,8.99151473454879,4.36507936507936,12.1052631578947
400,3,75000,75000,75000,4765,3792,5457,0,0,0,3039.33333333333,2949,3122.66666666667,0,0,0,70.6666666666667,68,74,269.666666666667,250.333333333333,292,0,0,0,-1.69350357986019,-3.40648542417294,-0.806201550387597,9.49677787893392,7.60456273764259,11.0266159695817
410,3,75000,75000,75000,5565.66666666667,4119,6625,0,0,0,3015,2895,3229,0,0,0,63,54,74,277.666666666667,267,284,0,0,0,-0.847722595279345,-1.83112919633774,0.937793060331354,3.66982706156916,-2.73972602739726,14.1025641025641
420,3,75000,75000,75000,6105.66666666667,4200,7439,0,0,0,2911.66666666667,2838,3029,0,0,0,81,73,85,312,298,332,0,0,0,-3.32574236495454,-6.1938680706101,-1.81444710715508,12.5882690089591,5.67375886524823,24.3445692883895
430,3,75000,75000,75000,7269.66666666667,6841.66666666667,7832,0,0,0,2807.66666666667,2757,2880,0,0,0,79.3333333333333,66,100,314,295,347,0,0,0,-3.54056145248486,-4.9191152195444,-1.8322762508809,0.516858855345057,-1.96078431372549,4.51807228915663
440,3,75000,75000,75000,8091.33333333333,7255,8550,0,0,0,2749.33333333333,2738,2769,0,0,0,79.3333333333333,78,80,329.666666666667,302,360,0,0,0,-2.03683959824223,-4.93055555555556,0.43525571273123,5.03975968348557,2.3728813559322,9
450,3,75000,75000,75000,9632,9217,9985,0,0,0,2557.33333333333,2443,2669,0,0,0,86.6666666666667,73,100,327,305,349,0,0,0,-6.98297251970434,-10.7742878013148,-2.62677854797519,-0.68739269070395,-3.05555555555556,0.993377483443709
460,3,75000,75000,75000,12065.6666666667,10129,14107,0,0,0,2520,2348,2708,0,0,0,71.6666666666667,67,76,312.666666666667,295,346,0,0,0,-1.53831335017901,-3.88866148178469,1.46122143124766,-4.43753310168795,-9.1743119266055,-0.859598853868195
470,3,75000,75000,75000,12476.6666666667,9511,15923,0,0,0,2573.33333333333,2324,2752,0,0,0,67.3333333333333,61,74,283,250,310,0,0,0,2.06457438910788,-1.0221465076661,5.59105431309904,-9.42114613581905,-15.8249158249158,-2.03389830508475
480,3,75000,75000,75000,11434,8970,15482,0,0,0,2590,2338,2792,0,0,0,71,58,85,265.666666666667,245,297,0,0,0,0.710073873935736,-4.06976744186047,5.59757942511346,-5.39985861517283,-20.9677419354839,2.7681660899654
490,3,75000,75000,75000,10891.3333333333,7906,14278,0,0,0,2630,2530,2747,0,0,0,67.3333333333333,52,75,254.666666666667,219,285,0,0,0,1.85922400352423,-1.61174785100287,8.21214713430282,-4.23062154154592,-10.6122448979592,1.96078431372549
500,3,75000,75000,75000,9848.66666666667,8980,10775,0,0,0,2779,2747,2842,0,0,0,65,60,72,243,207,262,0,0,0,5.73395619327149,3.4583181652712,8.57707509881423,-4.49405037004172,-8.7719298245614,0.769230769230769
510,3,75000,75000,75000,8189.33333333333,7560,9210,0,0,0,2843,2746,3003,0,0,0,64.3333333333333,61,66,245.666666666667,217,275,0,0,0,2.35497162926972,-2.18156228008445,9.31925737167819,1.34117305541136,-5.76923076923077,4.9618320610687
520,3,75000,75000,75000,7365.66666666667,5478,8359,0,0,0,2920.33333333333,2813,3028,0,0,0,72,69,78,248.333333333333,222,266.666666666667,0,0,0,2.78534687713244,0.832500832500833,6.33648943918427,1.14652781933888,0.408163265306122,2.30414746543779
530,3,75000,75000,75000,6689.33333333333,4713,8796,0,0,0,2956.33333333333,2739,3088,0,0,0,69.3333333333333,61,74,253.333333333333,234,272,0,0,0,1.1575855956143,-2.63064344116601,3.20135357666347,2.28412792470202,-1.80505415162455,5.40540540540541
540,3,75000,75000,75000,6235,4063,8485,0,0,0,2947.66666666667,2842,3114,0,0,0,80.6666666666667,76,84,274.666666666667,263,291,0,0,0,-0.171949935750559,-3.63818424566088,3.76049653158087,8.55922303641155,6.2992125984252,12.3931623931624
550,3,75000,75000,75000,6431.33333333333,4645,7710,0,0,0,2887.66666666667,2730,3010,0,0,0,69,53,82,286.333333333333,272,307,0,0,0,-2.01122448942279,-3.94088669950739,1.24696917215102,4.23430028489284,0.740740740740741,6.4638783269962
560,3,75000,75000,75000,7394.66666666667,6266,9382,0,0,0,2773.33333333333,2652,2843,0,0,0,77.6666666666667,67,84.3333333333333,307.333333333333,289,329,0,0,0,-3.91341212948514,-6.14617940199336,-2.73691412931919,7.59093376764387,-0.977198697068404,17.5
