timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,68750,62500,0,100,0,0,0
10,68750,59937,0,124,0,0,0
20,68750,59447,0,193,0,0,0
30,68750,57625,0,309,0,0,0
40,68750,54745,0,478,0,0,0
50,68750,50889,0,713,0,0,0
60,68750,44563,0,1091,0,0,0
70,68750,35197,0,1717,0,0,0
80,68750,20545,0,2644,0,0,0
90,68750,7193,0,3437,0,0,0
100,68750,1593,0,4071,0,0,0
110,68750,292,0,3999,0,0,0
120,68750,382,0,3933,0,0,0
130,68750,390,0,3871,0,0,0
140,68750,414,0,3973,0,0,0
150,68750,392,0,3888,0,0,0
160,68750,555,0,3826,0,0,0
170,68750,535,0,3926,0,0,0
180,68750,404,0,3900,0,0,0
190,68750,534,0,3917,0,0,0
200,68750,737,0,3917,0,0,0
210,68750,719,0,3509,0,43,115
220,68750,1729,0,3484,0,48,132
230,68750,1920,0,3505,0,53,147
240,68750,1870,0,3445,0,48,176
250,68750,2289,0,3313,0,54,206
260,68750,2828,0,3264,0,73,239
270,68750,3414,0,3122,0,77,267
280,68750,4861,0,3024,0,80,302
290,68750,6090,0,2874,0,84,328
300,68750,8034,0,2694,0,96,341
310,68750,10496,0,2527,0,88,336
320,68750,12698,0,2421,0,81,314
330,68750,14378,0,2354,0,75,308
340,68750,15032,0,2341,0,83,264
350,68750,14464,0,2491,0,56,234
360,68750,11535,0,2694,0,52,214
370,68750,8483,0,2908,0,51,210
380,68750,6237,0,3062,0,70,225
390,68750,4427,0,3145,0,67,238
400,68750,4132,0,3095,0,76,282
410,68750,5638,0,2960,0,92,307
420,68750,6321,0,2824,0,81,324
430,68750,7512,0,2756,0,96,345
440,68750,9992,0,2556,0,98,338
450,68750,12052,0,2461,0,74,340
460,68750,13256,0,2401,0,77,293
470,68750,13918,0,2491,0,76,247
480,68750,11951,0,2600,0,62,232
490,68750,10313,0,2758,0,64,249
500,68750,8108,0,2835,0,78,264
510,68750,7586,0,2777,0,74,260
520,68750,8322,0,2886,0,73,274
530,68750,6793,0,2900,0,83,279
540,68750,6755,0,2828,0,86,302
550,68750,8561,0,2773,0,80,308
560,68750,8878,0,2627,0,85,320
570,68750,10524,0,2581,0,72,318
580,68750,10774,0,2513,0,89,281
590,68750,12025,0,2610,0,66,270
600,68750,10010,0,2702,0,71,261
610,68750,8973,0,2850,0,54,250
620,68750,7411,0,2868,0,85,244
630,68750,6786,0,2959,0,67,248
640,68750,6692,0,3030,0,61,269
650,68750,6399,0,2906,0,85,294
660,68750,6795,0,2813,0,74,319
670,68750,8771,0,2715,0,78,313
680,68750,9559,0,2671,0,77,313
690,68750,10458,0,2579,0,92,314
700,68750,10906,0,2510,0,66,292
710,68750,12692,0,2473,0,80,279
720,68750,12741,0,2587,0,68,262
730,68750,10943,0,2610,0,62,257
740,68750,10183,0,2721,0,61,270
750,68750,9443,0,2735,0,78,261
760,68750,9252,0,2779,0,83,270
770,68750,8871,0,2741,0,76,292
780,68750,8809,0,2776,0,85,274
790,68750,8719,0,2740,0,95,279
800,68750,8461,0,2734,0,72,282
810,68750,8992,0,2795,0,73,292
820,68750,8900,0,2712,0,80,288
830,68750,8438,0,2745,0,73,280
840,68750,8595,0,2819,0,60,266
850,68750,8225,0,2801,0,79,277
860,68750,8027,0,2850,0,82,275
870,68750,8008,0,2843,0,70,279
880,68750,7941,0,2847,0,75,290
890,68750,7962,0,2801,0,86,311
900,68750,8619,0,2696,0,84,314
910,68750,10111,0,2539,0,81,307
920,68750,12345,0,2460,0,72,292
930,68750,12851,0,2476,0,71,274
940,68750,12635,0,2500,0,66,250
950,68750,11649,0,2709,0,64,228
960,68750,8662,0,2774,0,67,235
970,68750,8226,0,2917,0,63,242
980,68750,6189,0,3017,0,71,248
990,68750,5033,0,3047,0,77,266
1000,68750,5645,0,2953,0,72,273
1010,68750,6436,0,2871,0,78,292
1020,68750,6951,0,2843,0,88,301
1030,68750,7425,0,2808,0,72,297
1040,68750,7546,0,2844,0,71,295
1050,68750,7654,0,2793,0,68,291
1060,68750,7920,0,2774,0,94,286
1070,68750,8877,0,2764,0,73,295
1080,68750,9211,0,2651,0,79,284
1090,68750,10847,0,2718,0,76,284
1100,68750,9534,0,2683,0,89,283
1110,68750,9560,0,2668,0,84,272
1120,68750,9485,0,2776,0,75,271
1130,68750,8615,0,2807,0,80,264
1140,68750,8479,0,2819,0,59,268
1150,68750,7561,0,2843,0,73,281
1160,68750,7477,0,2778,0,70,282
1170,68750,8532,0,2787,0,83,285
1180,68750,8638,0,2731,0,86,300
1190,68750,9488,0,2673,0,88,297
1200,68750,9642,0,2659,0,84,289
1210,68750,10184,0,2675,0,80,273
1220,68750,9948,0,2721,0,76,279
1230,68750,8755,0,2733,0,70,264
1240,68750,8976,0,2725,0,75,280
1250,68750,8575,0,2757,0,71,270
1260,68750,8831,0,2796,0,78,273
1270,68750,7643,0,2865,0,76,269
1280,68750,7256,0,2816,0,68,274
1290,68750,7512,0,2857,0,74,272
1300,68750,7885,0,2785,0,76,278
1310,68750,8232,0,2793,0,67,288
1320,68750,8630,0,2753,0,76,280
1330,68750,8876,0,2675,0,79,292
1340,68750,9660,0,2735,0,74,288
1350,68750,8979,0,2706,0,69,287
1360,68750,9831,0,2753,0,83,286
1370,68750,8187,0,2767,0,78,270
1380,68750,8092,0,2827,0,70,285
1390,68750,8170,0,2726,0,84,292
1400,68750,9055,0,2739,0,72,293
1410,68750,8742,0,2712,0,80,286
1420,68750,9501,0,2729,0,82,284
1430,68750,8972,0,2673,0,75,282
1440,68750,9461,0,2656,0,74,275
1450,68750,9916,0,2716,0,75,269
1460,68750,9707,0,2787,0,68,268
1470,68750,7841,0,2804,0,77,258
1480,68750,8008,0,2903,0,54,256
1490,68750,7017,0,2870,0,60,249
1500,68750,6923,0,2955,0,81,272
1510,68750,6313,0,2963,0,79,295
