"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,3,68750,68750,68750,62500,62500,62500,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,68750,68750,68750,59942.6666666667,59921,59970,0,0,0,118.666666666667,114,124,0,0,0,0,0,0,0,0,0,0,0,0,18.6666666666667,14,24,0,0,0
20,3,68750,68750,68750,59519.3333333333,59447,59595,0,0,0,190.333333333333,185,193,0,0,0,0,0,0,0,0,0,0,0,0,60.574355973769,55.6451612903226,69.2982456140351,0,0,0
30,3,68750,68750,68750,57778.3333333333,57625,57941,0,0,0,300,294,309,0,0,0,0,0,0,0,0,0,0,0,0,57.6361854082061,53.8860103626943,60.1036269430052,0,0,0
40,3,68750,68750,68750,55019.6666666667,54745,55259,0,0,0,456,444,478,0,0,0,0,0,0,0,0,0,0,0,0,51.9604383219732,50.1683501683502,54.6925566343042,0,0,0
50,3,68750,68750,68750,51145.3333333333,50889,51280,0,0,0,706.666666666667,702,713,0,0,0,0,0,0,0,0,0,0,0,0,55.1153556130384,49.163179916318,58.7837837837838,0,0,0
60,3,68750,68750,68750,44839,44563,45000,0,0,0,1091.66666666667,1074,1110,0,0,0,0,0,0,0,0,0,0,0,0,54.4918371405197,52.3404255319149,58.1196581196581,0,0,0
70,3,68750,68750,68750,35343,34882,35950,0,0,0,1691,1657,1717,0,0,0,0,0,0,0,0,0,0,0,0,54.9082229513795,53.0630630630631,57.3785517873511,0,0,0
80,3,68750,68750,68750,21209.3333333333,20545,21977,0,0,0,2592,2488,2644,0,0,0,0,0,0,0,0,0,0,0,0,53.2537817254054,50.1508750754375,55.62095350206,0,0,0
90,3,68750,68750,68750,7453,6805,8361,0,0,0,3510.33333333333,3437,3572,0,0,0,0,0,0,0,0,0,0,0,0,35.5500856962639,29.9924357034796,39.4057689719529,0,0,0
