"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,75000,62500,0,100,0,0,0,0,0,0
1,10,75000,59962,0,113,0,0,0,0,13,0
1,20,75000,59757,0,181,0,0,0,0,60.1769911504425,0
1,30,75000,57908,0,270,0,0,0,0,49.171270718232,0
1,40,75000,55755,0,431,0,0,0,0,59.6296296296296,0
1,50,75000,51740,0,663,0,0,0,0,53.8283062645012,0
1,60,75000,45996,0,1032,0,0,0,0,55.6561085972851,0
1,70,75000,36755,0,1625,0,0,0,0,57.4612403100775,0
1,80,75000,22489,0,2455,0,0,0,0,51.0769230769231,0
1,90,75000,7936,0,3506,0,0,0,0,42.8105906313646,0
1,100,75000,1268,0,4053,0,0,0,0,15.6018254420993,0
1,110,75000,173,0,4035,0,0,0,0,-0.444115470022206,0
1,120,75000,395,0,3858,0,0,0,0,-4.38661710037175,0
1,130,75000,442,0,3899,0,0,0,0,1.06272680145153,0
1,140,75000,677,0,3861,0,0,0,0,-0.974608874070274,0
1,150,75000,372,0,3967,0,0,0,0,2.74540274540275,0
1,160,75000,414,0,3871,0,0,0,0,-2.419964708848,0
1,170,75000,428,0,3877,0,0,0,0,0.154998708344097,0
1,180,75000,484,0,3810,0,0,0,0,-1.7281403146763,0
1,190,75000,755,0,3895,0,0,0,0,2.23097112860892,0
1,200,75000,446,0,3889,0,0,0,0,-0.154043645699615,0
1,210,75000,648,0,3604,0,50,109,0,-7.32836204679866,0
1,220,75000,1221,0,3562,0,44,131,0,-1.165371809101,20.1834862385321
1,230,75000,1142,0,3501,0,41,156,0,-1.71252105558675,19.0839694656489
1,240,75000,2324,0,3371,0,67,196,0,-3.71322479291631,25.6410256410256
1,250,75000,2762,0,3313,0,76,223,0,-1.72055769801246,13.7755102040816
1,260,75000,2756,0,3249,0,56,257,0,-1.93178388167824,15.2466367713004
1,270,75000,3478,0,3121,0,79,297,0,-3.93967374576793,15.5642023346303
1,280,75000,5217,0,2948,0,82,321,0,-5.54309516180711,8.08080808080808
1,290,75000,7185,0,2815,0,86,327,0,-4.51153324287653,1.86915887850467
1,300,75000,8758,0,2594,0,93,327,0,-7.85079928952043,0
1,310,75000,11338,0,2477,0,67,317,0,-4.51040863531226,-3.05810397553517
1,320,75000,13557,0,2399,0,76,311,0,-3.14897052886556,-1.89274447949527
1,330,75000,14121,0,2440,0,64,279,0,1.70904543559817,-10.2893890675241
1,340,75000,12991,0,2500,0,80,252,0,2.45901639344262,-9.67741935483871
1,350,75000,11555,0,2589,0,61,239,0,3.56,-5.15873015873016
1,360,75000,9980,0,2874,0,46,239,0,11.008111239861,0
1,370,75000,6483,0,2971,0,68,243,0,3.37508698677801,1.67364016736402
1,380,75000,5958,0,2961,0,80,252,0,-0.336587007741501,3.7037037037037
1,390,75000,5862,0,2996,0,59,263,0,1.18203309692671,4.36507936507936
1,400,75000,5457,0,2970,0,68,292,0,-0.867823765020027,11.0266159695817
1,410,75000,5953,0,2921,0,74,284,0,-1.64983164983165,-2.73972602739726
1,420,75000,6678,0,2868,0,85,306,0,-1.81444710715508,7.74647887323944
1,430,75000,7832,0,2757,0,72,300,0,-3.87029288702929,-1.96078431372549
1,440,75000,8469,0,2769,0,80,327,0,0.43525571273123,9
1,450,75000,9217,0,2560,0,87,327,0,-7.54785120982304,0
1,460,75000,11961,0,2504,0,72,297,0,-2.1875,-9.1743119266055
1,470,75000,11996,0,2644,0,74,250,0,5.59105431309904,-15.8249158249158
1,480,75000,9850,0,2792,0,58,255,0,5.59757942511346,2
1,490,75000,7906,0,2747,0,75,260,0,-1.61174785100287,1.96078431372549
1,500,75000,8980,0,2842,0,72,262,0,3.4583181652712,0.769230769230769
1,510,75000,7798,0,2780,0,61,275,0,-2.18156228008445,4.9618320610687
1,520,75000,8260,0,2813,0,78,277,0,1.18705035971223,0.727272727272727
1,530,75000,8796,0,2739,0,61,272,0,-2.63064344116601,-1.80505415162455
1,540,75000,8485,0,2842,0,82,291,0,3.76049653158087,6.98529411764706
1,550,75000,7710,0,2730,0,82,307,0,-3.94088669950739,5.49828178694158
1,560,75000,9382,0,2652,0,79,304,0,-2.85714285714286,-0.977198697068404
1,570,75000,10676,0,2532,0,69,300,0,-4.52488687782805,-1.31578947368421
1,580,75000,12430,0,2499,0,67,265,0,-1.30331753554502,-11.6666666666667
1,590,75000,11930,0,2619,0,74,265,0,4.80192076830732,0
1,600,75000,10089,0,2751,0,56,258,0,5.04009163802978,-2.64150943396226
1,610,75000,8073,0,2838,0,57,267,0,3.16248636859324,3.48837209302326
1,620,75000,7290,0,2828,0,78,277,0,-0.352360817477097,3.74531835205992
1,630,75000,8329,0,2795,0,63,282,0,-1.16690240452617,1.80505415162455
1,640,75000,8048,0,2787,0,88,297,0,-0.286225402504472,5.31914893617021
1,650,75000,8076,0,2743,0,74,283,0,-1.57875852170793,-4.71380471380471
1,660,75000,8675,0,2781,0,63,300,0,1.3853445133066,6.00706713780919
