"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,62500,62500,0,100,0,0,0,0,0,0
1,10,62500,60056,0,83,0,0,0,0,-17,0
1,20,62500,60364,0,88,0,0,0,0,6.02409638554217,0
1,30,62500,60269,0,123,0,0,0,0,39.7727272727273,0
1,40,62500,59435,0,138,0,0,0,0,12.1951219512195,0
1,50,62500,59156,0,159,0,0,0,0,15.2173913043478,0
1,60,62500,58644,0,185,0,0,0,0,16.3522012578616,0
1,70,62500,57833,0,220,0,0,0,0,18.9189189189189,0
1,80,62500,56916,0,273,0,0,0,0,24.0909090909091,0
1,90,62500,55809,0,326,0,0,0,0,19.4139194139194,0
1,100,62500,54323,0,395,0,0,0,0,21.1656441717791,0
1,110,62500,52585,0,460,0,0,0,0,16.4556962025316,0
1,120,62500,51029,0,568,0,0,0,0,23.4782608695652,0
1,130,62500,48303,0,705,0,0,0,0,24.1197183098592,0
1,140,62500,44740,0,841,0,0,0,0,19.290780141844,0
1,150,62500,41574,0,1026,0,0,0,0,21.9976218787158,0
1,160,62500,36644,0,1269,0,0,0,0,23.6842105263158,0
1,170,62500,30908,0,1554,0,0,0,0,22.4586288416076,0
1,180,62500,23869,0,1821,0,0,0,0,17.1814671814672,0
1,190,62500,18738,0,2112,0,0,0,0,15.9802306425041,0
1,200,62500,12950,0,2399,0,0,0,0,13.5890151515152,0
1,210,62500,11171,0,2252,0,27,76,0,-6.12755314714464,0
1,220,62500,12600,0,2235,0,27,68,0,-0.754884547069272,-10.5263157894737
1,230,62500,12589,0,2270,0,16,71,0,1.56599552572707,4.41176470588235
1,240,62500,11740,0,2288,0,21,57,0,0.79295154185022,-19.7183098591549
1,250,62500,11423,0,2372,0,14,53,0,3.67132867132867,-7.01754385964912
1,260,62500,9259,0,2440,0,17,53,0,2.86677908937605,0
1,270,62500,9013,0,2451,0,14,62,0,0.450819672131148,16.9811320754717
1,280,62500,8873,0,2500,0,19,64,0,1.99918400652795,3.2258064516129
1,290,62500,8410,0,2497,0,19,62,0,-0.12,-3.125
1,300,62500,8883,0,2422,0,17,62,0,-3.00360432519023,0
1,310,62500,9262,0,2434,0,16,66,0,0.495458298926507,6.45161290322581
1,320,62500,9611,0,2377,0,17,60,0,-2.341824157765,-9.09090909090909
1,330,62500,10537,0,2360,0,15,63,0,-0.715187210769878,5
1,340,62500,10359,0,2411,0,19,55,0,2.16101694915254,-12.6984126984127
1,350,62500,9840,0,2463,0,17,52,0,2.15678141849855,-5.45454545454545
1,360,62500,8966,0,2441,0,17,57,0,-0.893219650832318,9.61538461538461
1,370,62500,9310,0,2395,0,15,59,0,-1.88447357640311,3.50877192982456
1,380,62500,9434,0,2431,0,12,67,0,1.50313152400835,13.5593220338983
1,390,62500,9989,0,2367,0,18,76,0,-2.63266145619087,13.4328358208955
1,400,62500,11128,0,2357,0,21,72,0,-0.42247570764681,-5.26315789473684
1,410,62500,10862,0,2340,0,23,73,0,-0.72125583368689,1.38888888888889
1,420,62500,10538,0,2328,0,18,64,0,-0.512820512820513,-12.3287671232877
1,430,62500,11220,0,2356,0,15,61,0,1.20274914089347,-4.6875
1,440,62500,10560,0,2391,0,23,54,0,1.48556876061121,-11.4754098360656
1,450,62500,9985,0,2429,0,23,51,0,1.58929318276872,-5.55555555555556
1,460,62500,9120,0,2508,0,12,54,0,3.25236722931247,5.88235294117647
1,470,62500,7784,0,2451,0,19,53,0,-2.27272727272727,-1.85185185185185
1,480,62500,8705,0,2504,0,19,51,0,2.16238270093839,-3.77358490566038
1,490,62500,7944,0,2464,0,13,51,0,-1.59744408945687,0
1,500,62500,8206,0,2458,0,17,53,0,-0.243506493506494,3.92156862745098
1,510,62500,8671,0,2447,0,19,55,0,-0.447518307567128,3.77358490566038
1,520,62500,9373,0,2429,0,17,60,0,-0.735594605639559,9.09090909090909
1,530,62500,9362,0,2465,0,19,60,0,1.48209139563606,0
1,540,62500,8906,0,2453,0,20,63,0,-0.486815415821501,5
1,550,62500,8707,0,2446,0,21,58,0,-0.285364859355891,-7.93650793650794
1,560,62500,8801,0,2449,0,23,63,0,0.122649223221586,8.62068965517241
1,570,62500,9304,0,2417,0,21,64,0,-1.30665577786852,1.58730158730159
1,580,62500,9832,0,2393,0,21,66,0,-0.992966487381051,3.125
1,590,62500,10156,0,2329,0,25,71,0,-2.6744671959883,7.57575757575758
1,600,62500,11373,0,2414,0,19,70,0,3.64963503649635,-1.40845070422535
1,610,62500,9544,0,2382,0,24,65,0,-1.32560066280033,-7.14285714285714
