"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,3,62500,62500,62500,62500,62500,62500,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,62500,62500,62500,60023.3333333333,59980,60070,0,0,0,83,82,85,0,0,0,0,0,0,0,0,0,0,0,0,-17,-18,-15,0,0,0
20,3,62500,62500,62500,60457,60358,60523,0,0,0,90.6666666666667,90,92,0,0,0,0,0,0,0,0,0,0,0,0,9.24916307986609,8.23529411764706,9.75609756097561,0,0,0
30,3,62500,62500,62500,60187.6666666667,60099,60277,0,0,0,112,103,126,0,0,0,0,0,0,0,0,0,0,0,0,23.4299516908212,14.4444444444444,36.9565217391304,0,0,0
40,3,62500,62500,62500,59651.3333333333,59226,59951,0,0,0,136.333333333333,130,144,0,0,0,0,0,0,0,0,0,0,0,0,22.2225102725965,14.2857142857143,26.2135922330097,0,0,0
50,3,62500,62500,62500,59020.6666666667,58755,59220,0,0,0,172.333333333333,158,188,0,0,0,0,0,0,0,0,0,0,0,0,26.2535612535613,21.5384615384615,30.5555555555556,0,0,0
60,3,62500,62500,62500,58178.3333333333,57669,58666,0,0,0,205.666666666667,185,237,0,0,0,0,0,0,0,0,0,0,0,0,19.2228952697151,8.18713450292398,26.063829787234,0,0,0
70,3,62500,62500,62500,57325.3333333333,56561,57807,0,0,0,257,235,285,0,0,0,0,0,0,0,0,0,0,0,0,25.4805535818194,20.253164556962,30.6213906213906,0,0,0
80,3,62500,62500,62500,56128,55451,56625,0,0,0,302.333333333333,271,342,0,0,0,0,0,0,0,0,0,0,0,0,17.483541013252,15.3191489361702,20,0,0,0
90,3,62500,62500,62500,54979,53888,55823,0,0,0,366.333333333333,339,411,0,0,0,0,0,0,0,0,0,0,0,0,21.3250575040659,18.7074829931973,25.0922509225092,0,0,0
100,3,62500,62500,62500,53305,52137,53982,0,0,0,451.666666666667,422,503,0,0,0,0,0,0,0,0,0,0,0,0,23.359124363165,22.3844282238443,24.0589068922867,0,0,0
110,3,62500,62500,62500,51172.3333333333,49974,51789.3333333333,0,0,0,541.333333333333,511,602,0,0,0,0,0,0,0,0,0,0,0,0,19.8697217481328,18.8372093023256,21.0900473933649,0,0,0
120,3,62500,62500,62500,48930.3333333333,47439,49758,0,0,0,654,609,722,0,0,0,0,0,0,0,0,0,0,0,0,20.8650009860586,19.1780821917808,23.4833659491194,0,0,0
130,3,62500,62500,62500,46007.3333333333,44402,46946,0,0,0,801,743,903,0,0,0,0,0,0,0,0,0,0,0,0,22.3469468095781,19.9683042789223,25.0692520775623,0,0,0
140,3,62500,62500,62500,42404,41015,43993,0,0,0,956,893,1062,0,0,0,0,0,0,0,0,0,0,0,0,19.4846142206973,17.6079734219269,22.8802153432032,0,0,0
150,3,62500,62500,62500,38433.3333333333,35882,39997,0,0,0,1184,1123,1305,0,0,0,0,0,0,0,0,0,0,0,0,23.9167707882242,22.8813559322034,25.8678611422172,0,0,0
160,3,62500,62500,62500,32910,29976,34436,0,0,0,1439,1358,1599,0,0,0,0,0,0,0,0,0,0,0,0,21.4837559138205,20.9260908281389,22.5287356321839,0,0,0
170,3,62500,62500,62500,27013.3333333333,25097,28943,0,0,0,1704.33333333333,1597,1883,0,0,0,0,0,0,0,0,0,0,0,0,18.4793131548926,17.4264705882353,20.2503681885125,0,0,0
180,3,62500,62500,62500,21151.6666666667,17227,23581,0,0,0,2022.66666666667,1881,2219,0,0,0,0,0,0,0,0,0,0,0,0,18.7138668775165,17.7833437695679,20.514390691978,0,0,0
190,3,62500,62500,62500,15121.3333333333,12099,17244,0,0,0,2272.66666666667,2200,2385,0,0,0,0,0,0,0,0,0,0,0,0,12.6609718023526,7.4808472284813,18.7134502923977,0,0,0
200,3,62500,62500,62500,10367.6666666667,8986,11494,0,0,0,2537.33333333333,2487,2613,0,0,0,0,0,0,0,0,0,0,0,0,11.7054662246595,9.55974842767296,14.1818181818182,0,0,0
210,3,62500,62500,62500,8829.33333333333,7763,9777,0,0,0,2353.33333333333,2319,2397,0,0,0,35,31,39,70.6666666666667,70.3333333333333,71,0,0,0,-7.23312700051887,-8.26636050516647,-5.74989947728187,0,0,0
220,3,62500,62500,62500,10406.6666666667,9305,11434,0,0,0,2340.33333333333,2275,2427,0,0,0,19.3333333333333,19,20,65.6666666666667,64,68,0,0,0,-0.57078600043249,-1.89736955584304,1.25156445556946,-7.08249496981891,-8.57142857142857,-4.22535211267606
230,3,62500,62500,62500,10580,8937,11542,0,0,0,2407.66666666667,2358,2475,0,0,0,19.3333333333333,17,22,61.6666666666667,61,62,0,0,0,2.89592215598001,1.97775030902349,3.64835164835165,-6.0115007541478,-10.2941176470588,-3.125
240,3,62500,62500,62500,9606,8291,10967,0,0,0,2421,2346,2484,0,0,0,18,18,18,60.6666666666667,56,69,0,0,0,0.551297897045127,-0.508905852417303,1.79916317991632,-1.54239379517009,-9.67741935483871,13.1147540983607
250,3,62500,62500,62500,9792.33333333333,9092,10992,0,0,0,2389.66666666667,2377,2398,0,0,0,18.3333333333333,14,24,65,59,69,0,0,0,-1.23336195294867,-4.30756843800322,2.0460358056266,7.71720969089389,0,19.6428571428571
260,3,62500,62500,62500,10102.3333333333,9778,10302,0,0,0,2376.33333333333,2363,2385,0,0,0,18,18,18,59.3333333333333,55,64,0,0,0,-0.555736710200247,-1.45954962468724,0.16827934371056,-8.58334219347869,-14.4927536231884,-4.47761194029851
270,3,62500,62500,62500,9803.66666666667,9294,10060,0,0,0,2411.66666666667,2375,2432,0,0,0,20.3333333333333,17,23,58.3333333333333,56,62,0,0,0,1.48424040074396,0.507829030892933,2.14195716085678,-1.52446070878274,-5.08474576271186,3.63636363636364
280,3,62500,62500,62500,9635,8797,10528,0,0,0,2423,2375,2505,0,0,0,17,15,20,58.6666666666667,56,62,0,0,0,0.472352705280499,-2.34375,3.17133443163097,0.836095615382537,-6.45161290322581,10.7142857142857
290,3,62500,62500,62500,9612.33333333333,8429,10325,0,0,0,2409.33333333333,2373,2464,0,0,0,18,15,20,60,59,62,0,0,0,-0.545740012268356,-1.63672654690619,0.0837170364169108,2.36042692939245,0,5.35714285714286
300,3,62500,62500,62500,9750.66666666667,8614,10408,0,0,0,2378.33333333333,2344,2422,0,0,0,17,15,18,59.6666666666667,59,61,0,0,0,-1.2796043936743,-1.96570472605604,-0.168563000421408,-0.48295972298159,-4.83870967741935,3.38983050847458
310,3,62500,62500,62500,10231.3333333333,9541,10614,0,0,0,2438.33333333333,2407,2467,0,0,0,15.3333333333333,14,17,59.6666666666667,55,65,0,0,0,2.53341540656925,1.60405234276066,4.1382252559727,-0.0740946559229399,-6.77966101694915,6.55737704918033
320,3,62500,62500,62500,9500,8800,10155,0,0,0,2402.33333333333,2377,2436,0,0,0,16.6666666666667,14,19,65,59,69,0,0,0,-1.47008614678551,-2.38816131416908,-0.204834084391643,8.99529848682391,6.15384615384615,13.5593220338983
330,3,62500,62500,62500,9833,9394,10064,0,0,0,2397.33333333333,2369,2420,0,0,0,18.3333333333333,14,23,62.3333333333333,58,66,0,0,0,-0.202425358622029,-1.04427736006683,1.09381573411864,-3.42136040504918,-13.4328358208955,11.864406779661
340,3,62500,62500,62500,10403.3333333333,10125,10887,0,0,0,2366.33333333333,2333,2386,0,0,0,17.3333333333333,12,24,65.3333333333333,58,69,0,0,0,-1.27819195688018,-3.59504132231405,0.71760236386661,4.68975468975469,0,9.52380952380952
350,3,62500,62500,62500,10311,10020,10873,0,0,0,2377,2321,2433,0,0,0,17,16,18,61.3333333333333,54,67,0,0,0,0.445110408947579,-0.514359194170596,2.22689075630252,-6.16358487422955,-8.69565217391304,-2.89855072463768
360,3,62500,62500,62500,10353.6666666667,9340,11480,0,0,0,2401.33333333333,2378,2421,0,0,0,19.6666666666667,19,21,64.3333333333333,60,68,0,0,0,1.05599375744427,-0.493218249075216,2.42677640229615,5.35418147358446,-2.98507462686567,11.1111111111111
370,3,62500,62500,62500,9978.33333333333,9877,10129,0,0,0,2365.33333333333,2347,2399,0,0,0,17.6666666666667,15,20,62.3333333333333,59,66,0,0,0,-1.49974472606656,-2.28690228690229,-0.908715406856671,-3.07440925087984,-4.61538461538461,-1.66666666666667
380,3,62500,62500,62500,10528.6666666667,9918,11168,0,0,0,2388.66666666667,2357,2405,0,0,0,16,11,19,62.6666666666667,61,64,0,0,0,0.991350797337618,0.250104210087536,2.29787234042553,0.72264470842929,-6.06060606060606,4.83870967741935
390,3,62500,62500,62500,9975.66666666667,9547,10601,0,0,0,2399.33333333333,2384,2418,0,0,0,21,20,22,62.3333333333333,62,63,0,0,0,0.454413173746036,-0.831946755407654,1.65464573610522,-0.44556536359815,-4.61538461538461,3.27868852459016
400,3,62500,62500,62500,9901,9538,10083,0,0,0,2379.33333333333,2347,2396,0,0,0,20.3333333333333,19,21,69.3333333333333,56,79,0,0,0,-0.830972919602268,-2.04507512520868,0.503355704697987,11.204983785629,-9.67741935483871,27.4193548387097
410,3,62500,62500,62500,10254.6666666667,9553,11056,0,0,0,2354.66666666667,2283,2438,0,0,0,27.6666666666667,25,32,68.6666666666667,60,74,0,0,0,-1.04838460960955,-2.72688538559864,1.75292153589316,-0.18537326496404,-6.32911392405063,7.14285714285714
420,3,62500,62500,62500,10418.6666666667,9007,11511,0,0,0,2364,2300,2417.33333333333,0,0,0,17.6666666666667,16,19,73.6666666666667,62,80,0,0,0,0.392509894760061,-0.469483568075117,0.902378999179655,7.05455455455455,3.33333333333333,9.72222222222222
430,3,62500,62500,62500,10729.6666666667,9190,11929,0,0,0,2349.66666666667,2314,2371,0,0,0,21,18,25,76.3333333333333,63,84,0,0,0,-0.545659277906822,-3.61788617886179,1.37221269296741,3.48067238328569,1.61290322580645,6.32911392405063
440,3,62500,62500,62500,11050.6666666667,10701,11529,0,0,0,2347.33333333333,2284,2403,0,0,0,20.3333333333333,19,22,75.6666666666667,69,79,0,0,0,-0.109175170352812,-1.29645635263613,1.34964150147617,-0.0290360046457598,-5.95238095238095,9.52380952380952
450,3,62500,62500,62500,10886,10007,11761,0,0,0,2309.33333333333,2296.66666666667,2326,0,0,0,19,14,23,77.6666666666667,76,80,0,0,0,-1.57861780843497,-3.20432792342905,1.31348511383538,2.95970158380726,-2.53164556962025,10.1449275362319
460,3,62500,62500,62500,11477.3333333333,11262,11908,0,0,0,2306,2281,2351,0,0,0,25.6666666666667,20,34,76.3333333333333,73,79,0,0,0,-0.146236013496199,-1.42610198789974,1.07480653482373,-1.69998860788334,-3.94736842105263,2.5974025974026
470,3,62500,62500,62500,11891,10995,12374,0,0,0,2269.33333333333,2231,2295,0,0,0,19.3333333333333,17,22,71,67,76,0,0,0,-1.5757015580904,-2.7585972921682,0.613765892152565,-6.96469012751309,-12.987012987013,-3.79746835443038
480,3,62500,62500,62500,11838.3333333333,11637,12078,0,0,0,2301.66666666667,2236,2373,0,0,0,21.6666666666667,21,23,70,66,75,0,0,0,1.44347188962873,-2.57080610021786,3.98773006134969,-1.41229940522949,-1.49253731343284,-1.35338345864662
490,3,62500,62500,62500,11386.6666666667,10060,12579,0,0,0,2319,2266,2372,0,0,0,18,12,26,67.6666666666667,60,74,0,0,0,0.767094328137703,-0.0421407501053519,1.34168157423971,-3.47474747474747,-9.09090909090909,0
500,3,62500,62500,62500,11043.3333333333,10146,11548,0,0,0,2375,2327,2404,0,0,0,17,15,19,62,56,72,0,0,0,2.42506446353384,1.34907251264755,3.23415265200517,-7.98015406711058,-21.6216216216216,4.34782608695652
510,3,62500,62500,62500,10400.3333333333,10163,10541,0,0,0,2372.33333333333,2325,2414,0,0,0,18.3333333333333,17,19,64.6666666666667,56,73,0,0,0,-0.071935937708508,-3.28618968386023,2.26970041730406,4.4859514687101,0,12.0689655172414
520,3,62500,62500,62500,10226.3333333333,9958,10646,0,0,0,2389,2315,2448,0,0,0,19.6666666666667,14,24,62.6666666666667,60,66,0,0,0,0.69056631282915,-0.43010752688172,1.40845070422535,-2.18902102463747,-9.58904109589041,10.7142857142857
530,3,62500,62500,62500,9922.33333333333,9006,10649,0,0,0,2393.33333333333,2335,2441,0,0,0,19.3333333333333,15,23,61.3333333333333,58,65,0,0,0,0.27558383564609,-4.61601307189542,5.44276457883369,-2.10003258390355,-6.45161290322581,1.66666666666667
540,3,62500,62500,62500,10157,9215,11336,0,0,0,2398,2365,2423,0,0,0,17.6666666666667,17,18,62.6666666666667,59,66,0,0,0,0.213769133590524,-1.4338385907415,1.2847965738758,2.29348755634793,-3.27868852459016,8.62068965517241
550,3,62500,62500,62500,9824.33333333333,9384,10054,0,0,0,2421.66666666667,2382,2455,0,0,0,18.3333333333333,15,22,66.3333333333333,59,72,0,0,0,1.00478211722143,-0.997506234413965,3.80549682875264,5.67580567580568,0,9.09090909090909
560,3,62500,62500,62500,9694.33333333333,9205,10494,0,0,0,2382,2330,2413,0,0,0,22,22,22,65,52,80,0,0,0,-1.63965271909838,-2.18303946263644,-0.617792421746293,-2.70207894834016,-11.864406779661,11.1111111111111
570,3,62500,62500,62500,10304,9604,11294,0,0,0,2383,2340,2405,0,0,0,17.6666666666667,12,21,66.6666666666667,53,82,0,0,0,0.0464780509136193,-0.372979693327808,0.429184549356223,2.53256003256003,1.92307692307692,3.17460317460317
580,3,62500,62500,62500,10169.3333333333,9697,10940,0,0,0,2366.33333333333,2281,2423,0,0,0,16.3333333333333,14,20,63,54,74,0,0,0,-0.715767604286739,-2.52136752136752,0.748440748440748,-4.67438375399719,-9.75609756097561,1.88679245283019
590,3,62500,62500,62500,10199.6666666667,9280,11421,0,0,0,2382.33333333333,2351,2439,0,0,0,20.6666666666667,15,27,61.6666666666667,53,72,0,0,0,0.714176351102378,-1.5866388308977,3.06882946076282,-1.56878189665077,-13.1147540983607,11.1111111111111
