timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,62500,62500,0,100,0,0,0
10,62500,60014,0,84,0,0,0
20,62500,60405,0,90,0,0,0
30,62500,60305,0,103,0,0,0
40,62500,59903,0,133,0,0,0
50,62500,59127,0,167,0,0,0
60,62500,58383,0,207,0,0,0
70,62500,57390,0,243,0,0,0
80,62500,56490,0,287,0,0,0
90,62500,55139,0,356,0,0,0
100,62500,53625,0,445,0,0,0
110,62500,51312,0,526,0,0,0
120,62500,49257,0,626,0,0,0
130,62500,46950,0,788,0,0,0
140,62500,42628,0,928,0,0,0
150,62500,39271,0,1182,0,0,0
160,62500,33211,0,1356,0,0,0
170,62500,28779,0,1628,0,0,0
180,62500,22790,0,1952,0,0,0
190,62500,16419,0,2244,0,0,0
200,62500,11283,0,2460,0,0,0
210,62500,9659,0,2290,0,24,65
220,62500,11064,0,2324,0,23,56
230,62500,10698,0,2414,0,18,53
240,62500,9990,0,2442,0,12,56
250,62500,8746,0,2436,0,16,47
260,62500,9046,0,2448,0,17,47
270,62500,9427,0,2468,0,18,49
280,62500,9311,0,2478,0,15,49
290,62500,8679,0,2427,0,13,49
300,62500,9078,0,2427,0,21,50
310,62500,9340,0,2490,0,15,48
320,62500,8143,0,2476,0,11,50
330,62500,8186,0,2531,0,17,56
340,62500,7881,0,2513,0,16,58
350,62500,8029,0,2468,0,18,57
360,62500,8789,0,2411,0,8,64
370,62500,9510,0,2432,0,26,62
380,62500,9733,0,2429,0,16,68
390,62500,10118,0,2294,0,24,84
400,62500,12138,0,2333,0,20,68
410,62500,10473,0,2317,0,20,61
420,62500,10914,0,2367,0,22,61
430,62500,10543,0,2365,0,17,61
440,62500,10088,0,2411,0,25,72
450,62500,9743,0,2348,0,24,81
460,62500,10930,0,2319,0,24,76
470,62500,11767,0,2287,0,29,79
480,62500,12352,0,2281,0,14,78
490,62500,11864,0,2308,0,24,71
500,62500,11566,0,2267,0,18,78
510,62500,12514,0,2267,0,19,63
520,62500,12117,0,2268,0,13,63
530,62500,11896,0,2339,0,19,53
540,62500,10508,0,2397,0,13,59
550,62500,9616,0,2397,0,19,58
560,62500,9796,0,2433,0,22,56
570,62500,9419,0,2418,0,15,60
580,62500,9682,0,2392,0,15,56
590,62500,9454,0,2423,0,13,64
600,62500,8896,0,2496,0,14,50
610,62500,8500,0,2427,0,12,50
620,62500,8941,0,2504,0,14,54
630,62500,8010,0,2501,0,13,49
640,62500,8470,0,2457,0,13,48
650,62500,9186,0,2472,0,19,57
660,62500,9310,0,2433,0,21,68
670,62500,8960,0,2440,0,18,65
680,62500,9627,0,2363,0,18,63
690,62500,10450,0,2403,0,18,66
700,62500,9476,0,2407,0,14,70
710,62500,9839,0,2404,0,19,73
720,62500,9915,0,2366,0,26,65
730,62500,10498,0,2404,0,14,66
740,62500,9703,0,2381,0,25,67
750,62500,10327,0,2340,0,23,66
760,62500,10593,0,2344,0,21,68
770,62500,10637,0,2392,0,18,67
780,62500,9936,0,2358,0,21,65
790,62500,10667,0,2366,0,19,65
800,62500,10961,0,2373,0,17,63
810,62500,10606,0,2331,0,22,64
820,62500,10989,0,2387,0,16,65
830,62500,10327,0,2335,0,17,70
840,62500,10331,0,2341,0,22,69
850,62500,10351,0,2388,0,20,68
860,62500,10312,0,2382,0,15,66
870,62500,10336,0,2351,0,14,78
880,62500,10764,0,2368,0,21,76
890,62500,10982,0,2351,0,18,76
900,62500,10634,0,2330,0,24,66
910,62500,10673,0,2397,0,15,60
920,62500,9832,0,2393,0,21,58
930,62500,9860,0,2411,0,13,59
940,62500,9944,0,2389,0,17,60
950,62500,9677,0,2426,0,19,59
960,62500,9224,0,2437,0,15,71
970,62500,9156,0,2440,0,22,65
980,62500,9168,0,2406,0,19,64
990,62500,9747,0,2381,0,18,68
1000,62500,10611,0,2376,0,15,56
1010,60157,9974,75,2357,1,13,58
1020,60813,10288,73,2424,0,13,65
1030,60820,9436,88,2429,1,19,65
1040,60422,9811,97,2390,2,16,73
1050,60242,10644,117,2389,1,19,68
1060,59970,10226,106,2340,1,22,63
1070,60127,10478,124,2402,0,14,66
1080,59777,9437,154,2432,3,18,70
1090,58905,9725,151,2393,2,23,89
1100,59030,11157,152,2295,4,21,96
