timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,75000,62500,0,100,0,0,0
10,75000,59988,0,116,0,0,0
20,75000,59569,0,195,0,0,0
30,75000,57638,0,276,0,0,0
40,75000,55543,0,454,0,0,0
50,75000,51431,0,654,0,0,0
60,75000,46068,0,1019,0,0,0
70,75000,36933,0,1615,0,0,0
80,75000,23052,0,2464,0,0,0
90,75000,8347,0,3437,0,0,0
100,75000,1636,0,4039,0,0,0
110,75000,525,0,3981,0,0,0
120,75000,603,0,3947,0,0,0
130,75000,381,0,3815,0,0,0
140,75000,688,0,3966,0,0,0
150,75000,437,0,3824,0,0,0
160,75000,609,0,3842,0,0,0
170,75000,731,0,3871,0,0,0
180,75000,665,0,3925,0,0,0
190,75000,374,0,3901,0,0,0
200,75000,445,0,3854,0,0,0
210,75000,752,0,3597,0,37,105
220,75000,1680,0,3554,0,42,129
230,75000,1183,0,3518,0,41,153
240,75000,1463,0,3433,0,46,178
250,75000,2419,0,3374,0,60,217
260,75000,2479,0,3258,0,68,254
270,75000,3999,0,3034,0,90,294
280,75000,5775,0,2937,0,89,306
290,75000,6574,0,2833,0,81,311
300,75000,7466,0,2820,0,67,312
310,75000,8892,0,2718,0,77,319
320,75000,9912,0,2626,0,66,326
330,75000,11066,0,2487,0,82,305
340,75000,12340,0,2471,0,70,292
350,75000,12379,0,2535,0,68,271
360,75000,11879,0,2625,0,71,242
370,75000,10423,0,2725,0,83,244
380,75000,8918,0,2834,0,66,267
390,75000,7675,0,2830,0,72,258
400,75000,7914,0,2912,0,61,265
410,75000,6869,0,2854,0,82,289
420,75000,7700,0,2841,0,83,287
430,75000,7650,0,2792,0,82,286
440,75000,8345,0,2774,0,74,300
450,75000,8940,0,2715,0,81,306
460,75000,9866,0,2628,0,77,300
470,75000,10808,0,2674,0,73,280
480,75000,9394,0,2733,0,60,259
490,75000,8380,0,2845,0,56,265
500,75000,7114,0,2968,0,78,256
510,75000,5899,0,2918,0,74,271
520,75000,6188,0,2932,0,75,291
