"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup","prey1catchRateMean","prey1catchRateICinf","prey1catchRateICsup","prey2catchRateMean","prey2catchRateICinf","prey2catchRateICsup"
0,12,250000,250000,250000,250000,250000,250000,0,0,0,4000,4000,4000,0,0,0,0,0,0,300,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,26,250000,250000,250000,67451.1666666667,67015.75,67863,0,0,0,2790.08333333333,2773.83333333333,2807.66666666667,0,0,0,304.153846153846,177,430.692307692308,207.166666666667,202.916666666667,211.333333333333,0,0,0,-0.302479166666667,-0.306958333333333,-0.298270833333333,-0.309444444444445,-0.324444444444445,-0.295,0,0,0,0.0177583139833219,0.0174488388184444,0.0180828787030832
20,26,250000,250000,250000,117993.583333333,117166.166666667,118805.25,0,0,0,2618.91666666667,2600.16666666667,2639.08333333333,0,0,0,152.961538461538,88.5,215.884615384615,150.083333333333,147,153,0,0,0,-0.0613428834901722,-0.0655326914163474,-0.0572062080315442,-0.27495660739361,-0.290934581815329,-0.260905840030037,0,0,0,0.0125377461133799,0.0122421772224987,0.012860839621356
30,26,250000,250000,250000,124662,123427.083333333,125865.25,0,0,0,2942.25,2909.33333333333,2970.66666666667,0,0,0,109.615384615385,66.5384615384615,155.384615384615,114.25,110.25,118.166666666667,0,0,0,0.123434984863388,0.11679987085256,0.12994699570143,-0.238932534122481,-0.257098208791443,-0.21907135382806,0,0,0,0.00945816795560703,0.00914528321763714,0.009769906650114
40,26,250000,250000,250000,108386.083333333,106901.5,109810.25,0,0,0,3373.83333333333,3336.25,3417.83333333333,0,0,0,88.5384615384615,54.3846153846154,127.615384615385,101.833333333333,97.25,105.916666666667,0,0,0,0.146736907274925,0.137744014971867,0.154160532003501,-0.108087169184659,-0.138397915907807,-0.0807566884578327,0,0,0,0.00671534363659966,0.00646120620456463,0.0069655878742317
50,26,250000,250000,250000,88140,86042.75,89732.9166666667,0,0,0,3770.25,3720,3820.08333333333,0,0,0,89.5769230769231,53.1153846153846,128.423076923077,92.6666666666667,88.0833333333333,97.5,0,0,0,0.117531777273932,0.108911860638427,0.12562110476735,-0.0897286789003461,-0.116824198531761,-0.0618617009839437,0,0,0,0.00590797318743534,0.00566284021012994,0.00613554605422877
60,26,250000,250000,250000,71098.5,68890.75,73134.0833333333,0,0,0,4205.08333333333,4143.5,4265.75,0,0,0,87.8461538461538,51.5769230769231,123.461538461538,92.3333333333333,87.9166666666667,97.0833333333333,0,0,0,0.115395692229045,0.105946458926993,0.125287987953371,-0.000712233708468442,-0.0365825641853801,0.0393213090335397,0,0,0,0.00517079313434862,0.00496567009866114,0.00537782378749984
70,26,250000,250000,250000,54154.5,51645.5833333333,56487.25,0,0,0,4596.83333333333,4527.58333333333,4668.83333333333,0,0,0,97.7307692307692,57.0384615384615,138.307692307692,95.0833333333333,90.6666666666667,99.8333333333333,0,0,0,0.0931193241265753,0.088577005701464,0.0976035091770152,0.0303713069615869,0.0155814369261264,0.0441025833122125,0,0,0,0.00515857396944171,0.00495632847760327,0.00535116790038894
80,26,250000,250000,250000,41273.6666666667,38624.75,44047.0833333333,0,0,0,4905.33333333333,4842.5,4972.16666666667,0,0,0,103.115384615385,60.2692307692308,142.692307692308,100.5,95.25,106.166666666667,0,0,0,0.0673545580481173,0.0594212275845108,0.0751665916865485,0.0581438088018718,0.0216585973380587,0.0919794634184034,0,0,0,0.0049774025414833,0.00476709183611002,0.00518686717219685
90,26,250000,250000,250000,32278.5,30205.9166666667,34294,0,0,0,5091.33333333333,5040.08333333333,5139,0,0,0,110.153846153846,62.4230769230769,156.923076923077,116.416666666667,110.75,122.25,0,0,0,0.0380929471848641,0.0301912884056947,0.0448757803773921,0.160450608173977,0.124738860465669,0.200819776859339,0,0,0,0.0049798662245349,0.0047777194279455,0.00517672126881731
