"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup","prey1catchRateMean","prey1catchRateICinf","prey1catchRateICsup","prey2catchRateMean","prey2catchRateICinf","prey2catchRateICsup"
0,30,250000,250000,250000,250000,250000,250000,0,0,0,4000,4000,4000,0,0,0,0,0,0,300,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,250000,250000,250000,67530.6666666667,67289.8333333333,67770.7666666667,0,0,0,2794.8,2787.03333333333,2802.46666666667,0,0,0,644.7,640.2,649.333333333333,201.833333333333,199.5,204.166666666667,0,0,0,-0.3013,-0.303183333333333,-0.299366666666667,-0.327222222222222,-0.334666666666667,-0.319555555555556,0,0,0,0.017342064976499,0.0171456320891504,0.0175325994034615
20,30,250000,250000,250000,117679.766666667,117160.266666667,118124.4,0,0,0,2622.3,2608.06666666667,2636.1,0,0,0,325.366666666667,318.566666666667,331.966666666667,145.866666666667,142.933333333333,148.633333333333,0,0,0,-0.0617465943812364,-0.0655835026716699,-0.0582414982432088,-0.277270702809976,-0.287688624474646,-0.26621431926339,0,0,0,0.0122818356320928,0.012042563097185,0.0124936389379705
30,30,250000,250000,250000,124325.966666667,123504.7,125142.5,0,0,0,2939.9,2918.86666666667,2960.93333333333,0,0,0,224.566666666667,219.666666666667,230.4,110.033333333333,107.666666666667,112.333333333333,0,0,0,0.121091910422756,0.115708016964573,0.126261039344373,-0.245216632108973,-0.257665220058757,-0.234533428131179,0,0,0,0.00890647573420702,0.00869537076564817,0.00911063066450419
40,30,250000,250000,250000,108355.633333333,107208.366666667,109500.3,0,0,0,3372.56666666667,3337.2,3410.03333333333,0,0,0,183.9,178.8,189.133333333333,97.6,94.3666666666667,100.566666666667,0,0,0,0.1470745852132,0.14047353654521,0.153405340521197,-0.112319985036435,-0.135576390184757,-0.0866620869492764,0,0,0,0.00644240274073163,0.0062645658216709,0.00660360652413502
50,30,250000,250000,250000,88352.4666666667,86684.4333333333,89843.6333333333,0,0,0,3809.56666666667,3773.26666666667,3848.1,0,0,0,187.466666666667,180.5,195,86.9333333333333,83.7333333333333,89.9666666666667,0,0,0,0.129706342421059,0.124569125980216,0.134344240082627,-0.107881325857015,-0.131435587838007,-0.0871057754058105,0,0,0,0.00571022867240638,0.00555614366856202,0.00585769237499547
60,30,250000,250000,250000,69432.4666666667,67824.1,70930.9333333333,0,0,0,4224.3,4186.23333333333,4262.53333333333,0,0,0,183.333333333333,176.933333333333,189.466666666667,86.9,83.8,90.0333333333333,0,0,0,0.109018551088223,0.103811085631301,0.113606436178777,0.00108138864799231,-0.0159956595410433,0.0180671519695716,0,0,0,0.00492686891094348,0.00479973125303682,0.00505094097349411
70,30,250000,250000,250000,53361.0666666667,51614.3666666667,54916.8666666667,0,0,0,4622.03333333333,4577.23333333333,4664.1,0,0,0,194.266666666667,186.7,202.033333333333,91.7666666666667,88.3333333333333,95.1666666666667,0,0,0,0.0942161208984362,0.0898401834645987,0.0987447840978262,0.0572802216178519,0.0366861675866168,0.0766330858216158,0,0,0,0.00470183539222283,0.0045755171577913,0.00482294236619112
80,30,250000,250000,250000,40118.9,38640.5,41617.3,0,0,0,4935.2,4900.3,4971.56666666667,0,0,0,218.466666666667,209.533333333333,226.633333333333,97.1666666666667,94.1,100.4,0,0,0,0.0680439982103753,0.062102340083866,0.0739090785654725,0.0620307806106692,0.0362028925534175,0.0877992762005735,0,0,0,0.00483288796620516,0.00471186607512426,0.00495093206077367
90,30,250000,250000,250000,30790.9666666667,29553.4666666667,31905.8,0,0,0,5113.96666666667,5079.93333333333,5145.66666666667,0,0,0,230,222.466666666667,237.8,111.1,107.7,114.433333333333,0,0,0,0.0363408632314769,0.0319589891954608,0.0410963544432997,0.145756596308848,0.121028499490042,0.169832394182827,0,0,0,0.00476298101310935,0.00464144572419061,0.00488088933681199
100,30,250000,250000,250000,26100.0666666667,25175.6666666667,27058.3,0,0,0,5184.43333333333,5159.36666666667,5210.13333333333,0,0,0,276.533333333333,265.966666666667,287.1,121.133333333333,116.833333333333,125.633333333333,0,0,0,0.0139352787350454,0.00924100393716346,0.0187073698130238,0.0914076451043546,0.0700672941729452,0.112234426343303,0,0,0,0.00554344303118219,0.00541148214301458,0.00567610441180371
110,30,250000,250000,250000,24568.6666666667,23922.1666666667,25252.1666666667,0,0,0,5209.2,5183.7,5231.8,0,0,0,304.8,295.333333333333,314.766666666667,133.6,128.833333333333,138.166666666667,0,0,0,0.00491882429153601,-0.00135438506557461,0.0108024747775884,0.103559817654514,0.0837272385054928,0.12236898473333,0,0,0,0.00603963830304451,0.00587962263051841,0.00617838221970991
120,30,250000,250000,250000,24501.8,23757.0666666667,25163.2,0,0,0,5184.63333333333,5157.16666666667,5208.8,0,0,0,344.466666666667,328.933333333333,359.533333333333,148.766666666667,143.8,154.333333333333,0,0,0,-0.00461033413917804,-0.0105668025083785,0.000688329988671721,0.11490743071365,0.0993785930687925,0.1291314373011,0,0,0,0.00681537512150758,0.00664300657997807,0.00697807800904942
130,30,250000,250000,250000,25155.1666666667,24550.8333333333,25837.1,0,0,0,5157.86666666667,5135.53333333333,5179.9,0,0,0,360.433333333333,347.4,373.733333333333,167.333333333333,161.366666666667,173.2,0,0,0,-0.00508136558228488,-0.00894986666257507,-0.00116936054750363,0.12585888320786,0.111175458833429,0.140950173451153,0,0,0,0.00718115439432708,0.00700289829074111,0.00736559423285291
140,30,250000,250000,250000,26243.5,25566.6666666667,26922.1666666667,0,0,0,5106.23333333333,5079.6,5131.2,0,0,0,413.933333333333,399.3,429.533333333333,184.933333333333,178.6,190.733333333333,0,0,0,-0.00996462329054764,-0.014279213417658,-0.00606231791796278,0.106243808508589,0.093032600127509,0.119597077296453,0,0,0,0.00832581320337514,0.00812263311306944,0.00852605425066257
150,30,250000,250000,250000,28014.2,27211.4,28827,0,0,0,5054.83333333333,5029.36666666667,5079.2,0,0,0,454.6,439.233333333333,469.333333333333,202.6,196.166666666667,209.3,0,0,0,-0.0100327403644984,-0.0132650979001846,-0.00699065395183712,0.0956862728179039,0.0850026380378732,0.106710208906228,0,0,0,0.00927549669256608,0.00906348354475242,0.00948005233306421
