timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,250000,250000,0,4000,0,0,300
1,250000,229920,0,3936,0,69,300
2,250000,210016,0,3868,0,73,300
3,250000,190556,0,3804,0,68,300
4,250000,171677,0,3745,0,59,300
5,250000,153186,0,3679,0,73,300
6,250000,134831,0,3629,0,54,300
7,250000,116827,0,3573,0,59,300
8,250000,100007,0,3516,0,59,300
9,250000,83364,0,3443,0,79,300
10,250000,67893,0,2738,0,68,209
11,250000,236196,0,2714,0,24,209
12,250000,222364,0,2680,0,36,209
13,250000,208802,0,2644,0,36,209
14,250000,195506,0,2617,0,28,209
15,250000,182401,0,2581,0,38,209
16,250000,169703,0,2537,0,46,209
17,250000,157200,0,2506,0,32,209
18,250000,144702,0,2472,0,35,209
19,250000,132640,0,2446,0,26,209
20,250000,120650,0,2553,0,31,159
21,250000,237327,0,2529,0,24,159
22,250000,224419,0,2506,0,25,159
23,250000,212109,0,2477,0,29,159
24,250000,199811,0,2449,0,28,159
25,250000,187489,0,2431,0,18,159
26,250000,175240,0,2410,0,21,159
27,250000,163093,0,2386,0,24,159
28,250000,151391,0,2364,0,22,159
29,250000,139914,0,2345,0,19,159
30,250000,128320,0,2867,0,15,108
31,250000,235707,0,2849,0,18,108
32,250000,221307,0,2829,0,20,108
33,250000,207155,0,2808,0,22,108
34,250000,192735,0,2796,0,12,108
35,250000,178907,0,2781,0,15,108
36,250000,165013,0,2761,0,21,108
37,250000,151116,0,2745,0,17,108
38,250000,137220,0,2726,0,19,108
39,250000,124008,0,2714,0,12,108
40,250000,110778,0,3322,0,7,89
41,250000,233596,0,3308,0,14,89
42,250000,216862,0,3286,0,24,89
43,250000,200699,0,3270,0,16,89
44,250000,184086,0,3251,0,19,89
45,250000,167734,0,3235,0,16,89
46,250000,151623,0,3223,0,12,89
47,250000,135661,0,3210,0,13,89
48,250000,119862,0,3200,0,10,89
49,250000,104462,0,3182,0,18,89
50,250000,90143,0,3781,0,13,71
51,250000,231168,0,3761,0,20,71
52,250000,212628,0,3749,0,13,71
53,250000,193493,0,3732,0,17,71
54,250000,174776,0,3718,0,15,71
55,250000,155728,0,3707,0,11,71
56,250000,137410,0,3698,0,9,71
57,250000,119412,0,3685,0,13,71
58,250000,101895,0,3672,0,13,71
59,250000,85484,0,3658,0,14,71
60,250000,70232,0,4199,0,10,69
61,250000,228873,0,4186,0,13,69
62,250000,208013,0,4168,0,18,69
63,250000,187110,0,4147,0,22,69
64,250000,166612,0,4135,0,12,69
65,250000,145986,0,4115,0,20,69
66,250000,125590,0,4107,0,8,69
67,250000,106128,0,4088,0,19,69
68,250000,87459,0,4071,0,18,69
69,250000,69982,0,4053,0,18,69
70,250000,55079,0,4649,0,17,68
71,250000,226607,0,4633,0,16,68
72,250000,203319,0,4618,0,15,68
73,250000,180186,0,4601,0,17,68
74,250000,157450,0,4580,0,21,68
75,250000,134881,0,4565,0,15,68
76,250000,112669,0,4549,0,16,68
77,250000,91263,0,4537,0,12,68
78,250000,71546,0,4519,0,18,68
79,250000,53680,0,4505,0,14,68
80,250000,38452,0,5019,0,12,63
81,250000,225375,0,5003,0,16,63
82,250000,200206,0,4985,0,19,63
83,250000,175035,0,4971,0,14,63
84,250000,150197,0,4955,0,17,63
85,250000,125623,0,4945,0,10,63
86,250000,101660,0,4934,0,11,63
87,250000,78639,0,4922,0,12,63
88,250000,58073,0,4909,0,13,63
89,250000,41142,0,4895,0,14,63
90,250000,28463,0,5147,0,9,86
91,250000,224008,0,5121,0,27,86
92,250000,198604,0,5092,0,30,86
93,250000,173401,0,5073,0,19,86
94,250000,148009,0,5050,0,23,86
95,250000,123081,0,5024,0,26,86
96,250000,98348,0,4994,0,31,86
97,250000,75168,0,4981,0,13,86
98,250000,54572,0,4962,0,20,86
99,250000,37346,0,4942,0,20,86
100,250000,24805,0,5264,0,22,91
101,250000,223503,0,5241,0,25,91
102,250000,197166,0,5213,0,29,91
103,250000,170940,0,5188,0,26,91
104,250000,144651,0,5165,0,24,91
105,250000,119023,0,5145,0,20,91
106,250000,94205,0,5124,0,21,91
107,250000,71332,0,5102,0,23,91
108,250000,51041,0,5081,0,21,91
109,250000,34198,0,5058,0,23,91
110,250000,22279,0,5298,0,17,98
111,250000,223166,0,5270,0,29,98
112,250000,197164,0,5246,0,26,98
113,250000,171118,0,5218,0,29,98
114,250000,145254,0,5192,0,26,98
115,250000,119480,0,5166,0,27,98
116,250000,94687,0,5136,0,30,98
117,250000,70953,0,5117,0,20,98
118,250000,50129,0,5095,0,23,98
119,250000,34019,0,5074,0,21,98
120,250000,21516,0,5327,0,20,115
121,250000,223194,0,5287,0,40,115
122,250000,196684,0,5259,0,28,115
123,250000,170681,0,5224,0,35,115
124,250000,144536,0,5193,0,33,115
