"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup","prey1catchRateMean","prey1catchRateICinf","prey1catchRateICsup","prey2catchRateMean","prey2catchRateICinf","prey2catchRateICsup"
0,30,250000,250000,250000,250000,250000,250000,0,0,0,4000,4000,4000,0,0,0,0,0,0,300,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,250000,250000,250000,67747.7333333333,67467.3,68061.8,0,0,0,2782.36666666667,2771.56666666667,2793.8,0,0,0,650.966666666667,643.3,658.133333333333,202.2,199.1,204.966666666667,0,0,0,-0.304408333333333,-0.307133333333333,-0.301783333333333,-0.326,-0.335,-0.317111111111111,0,0,0,0.0175223005431234,0.0173039432755964,0.0177408903032922
20,30,250000,250000,250000,118402.766666667,117746.566666667,118992.066666667,0,0,0,2616.23333333333,2602.46666666667,2631.33333333333,0,0,0,323.266666666667,315.166666666667,331.666666666667,149.3,146,152.8,0,0,0,-0.0597261631297579,-0.0631017817508664,-0.0560159200090819,-0.261949760403081,-0.272640100171163,-0.250961965053979,0,0,0,0.0122567529068718,0.0120037676780332,0.012474882292
30,30,250000,250000,250000,124658.2,123753.5,125424.6,0,0,0,2911.7,2886.13333333333,2938.83333333333,0,0,0,236.033333333333,229.633333333333,242.233333333333,113.7,110.7,116.633333333333,0,0,0,0.1128850829668,0.105851069451238,0.119177502457455,-0.238178642288636,-0.250146583788423,-0.226086374214117,0,0,0,0.00941152439385385,0.00920951283188024,0.00960612288463356
40,30,250000,250000,250000,109679.033333333,108306.566666667,110990.333333333,0,0,0,3350.66666666667,3312.5,3389.23333333333,0,0,0,190.3,184.166666666667,197,100.366666666667,97,104.066666666667,0,0,0,0.150658837717857,0.145425097790284,0.155639486983708,-0.117375440578183,-0.136686893461745,-0.0977773937044966,0,0,0,0.00674400660903609,0.00656929208461922,0.00692818194337418
50,30,250000,250000,250000,89383.2,87501.8666666667,91192.3333333333,0,0,0,3758.5,3719.2,3798.9,0,0,0,186.733333333333,179.866666666667,193.1,89.1666666666667,86.1666666666667,91.8,0,0,0,0.121822055441911,0.116716524417185,0.126626463406906,-0.109554575418149,-0.126990081276404,-0.0908044854892462,0,0,0,0.00572570812797616,0.00556037215019734,0.00587399878441212
60,30,250000,250000,250000,71602.5333333333,69765.3333333333,73252.2666666667,0,0,0,4183.3,4141.03333333333,4227.5,0,0,0,185.633333333333,180.466666666667,190.733333333333,88.5666666666667,85.7333333333333,91.2666666666667,0,0,0,0.113189755633145,0.10817195336463,0.117871133809514,-0.00520814424931599,-0.0233661677700841,0.0145251607017302,0,0,0,0.0050587289506607,0.00492798675253007,0.00519070465038211
70,30,250000,250000,250000,55006.8,53495,56485.5,0,0,0,4586.13333333333,4552,4622.2,0,0,0,197.033333333333,188.6,204.5,92.6333333333333,89.6666666666667,95.6333333333333,0,0,0,0.096557401144125,0.0920903164699384,0.101431939721189,0.0463917594300154,0.0326052076574143,0.0612462397890567,0,0,0,0.00482054437906467,0.00468907736267004,0.00495758851571036
80,30,250000,250000,250000,41638.7,40243.6333333333,42868.0666666667,0,0,0,4895.3,4852.16666666667,4932.4,0,0,0,215.9,207.7,222.966666666667,97.4,94.3666666666667,99.8333333333333,0,0,0,0.0674763360780373,0.0632599569450079,0.0715850778724415,0.0541419306040772,0.0346649762423231,0.0723966628903666,0,0,0,0.00481590958382544,0.00468338145229448,0.00494345214019929
90,30,250000,250000,250000,31991.7666666667,30921.5333333333,33035.3666666667,0,0,0,5097.36666666667,5066.36666666667,5127.6,0,0,0,227.6,219.8,235.066666666667,110.3,107.2,113.533333333333,0,0,0,0.0415428327188487,0.0352947291175059,0.048220151898799,0.133316331919612,0.116546893446588,0.151517636616275,0,0,0,0.00475391834482643,0.00462808104100563,0.00487649372422926
100,30,250000,250000,250000,26606.8333333333,25816.4666666667,27451.0666666667,0,0,0,5176.56666666667,5156.96666666667,5193.96666666667,0,0,0,277.133333333333,270,284.333333333333,119.9,116.166666666667,123.6,0,0,0,0.0157621671964605,0.0105022850104219,0.0214846206422727,0.0876705511003441,0.0683154920445543,0.109492905928707,0,0,0,0.005575205166801,0.00544931508723069,0.00570283950265019
110,30,250000,250000,250000,24722.2666666667,24129.1333333333,25261.9666666667,0,0,0,5199.1,5178.03333333333,5221.3,0,0,0,300.5,290.1,310.5,131.866666666667,128.166666666667,135.633333333333,0,0,0,0.00439911571834029,0.000256643788185137,0.00837245101888899,0.102462673690663,0.0819266075814442,0.123261418963219,0,0,0,0.00596008482642723,0.00581924723498753,0.00610039292881246
120,30,250000,250000,250000,23932.6333333333,23278.6666666667,24541.7,0,0,0,5208.76666666667,5190.03333333333,5226.3,0,0,0,327.866666666667,317.3,338.3,144,140.433333333333,147.7,0,0,0,0.00193018568820602,-0.0022246025635278,0.00608864139637719,0.0937239241784554,0.0754995101269869,0.112332153013898,0,0,0,0.00648813121070726,0.00633864196430084,0.00662533936427264
130,30,250000,250000,250000,24179.3333333333,23578.9,24772.8333333333,0,0,0,5196.83333333333,5171.4,5220.3,0,0,0,345.666666666667,334.9,355.066666666667,160.866666666667,157.133333333333,164.8,0,0,0,-0.00221957280315704,-0.00799150448233051,0.00284364070971676,0.11911384443595,0.0997094158812197,0.139987312366315,0,0,0,0.00683860306259695,0.00667045909742659,0.0069926709152703
140,30,250000,250000,250000,25531.4333333333,24691.8,26394.6,0,0,0,5127.36666666667,5105.33333333333,5145.96666666667,0,0,0,395.666666666667,384.366666666667,407.666666666667,177.633333333333,173.4,182.466666666667,0,0,0,-0.0132676017126276,-0.0173388236405222,-0.00864950056372664,0.10459200706753,0.0892983084438418,0.120203404485618,0,0,0,0.00788011129466524,0.0077137211352853,0.00805411892503898
150,30,250000,250000,250000,27005.9333333333,26280.1666666667,27669.5,0,0,0,5082.96666666667,5057.53333333333,5106.73333333333,0,0,0,437.733333333333,423.533333333333,450.966666666667,196.033333333333,190.066666666667,202.466666666667,0,0,0,-0.00862431383938818,-0.0122052647637536,-0.00466475189033584,0.103316845073111,0.0877638571654458,0.119232854065383,0,0,0,0.00887081574802452,0.00866047108805606,0.00908047592031093
160,30,250000,250000,250000,28764.1,27888.2,29559.3333333333,0,0,0,5030.83333333333,5005.33333333333,5054.66666666667,0,0,0,476.2,459.6,490.633333333333,217.6,210.966666666667,224.433333333333,0,0,0,-0.0101914810662679,-0.0144228389834969,-0.00602183753054665,0.11110971882808,0.0957799615239123,0.127366074984175,0,0,0,0.00977718762850493,0.00954876863144083,0.00999390140705749
170,30,250000,250000,250000,30643.5666666667,29865.8,31418.5333333333,0,0,0,4951.86666666667,4925.3,4977.16666666667,0,0,0,524.666666666667,508.7,540.266666666667,238.366666666667,231.4,245.066666666667,0,0,0,-0.0156710295027619,-0.0191041637741135,-0.0119184289441567,0.0964837298494343,0.0818443608926816,0.111410140823385,0,0,0,0.0109344105410433,0.0107006612970008,0.0111659362939994
180,30,250000,250000,250000,33329.7666666667,32342.8,34288.1333333333,0,0,0,4886.3,4853.9,4917.63333333333,0,0,0,561.833333333333,543.6,579.133333333333,256.8,250.266666666667,264,0,0,0,-0.0132498156227345,-0.0164940710482513,-0.00988877028425133,0.0786715451842047,0.0646376009627282,0.093487374994236,0,0,0,0.0119497435767201,0.011693466850195,0.0121797309032397
190,30,250000,250000,250000,35807.6666666667,34661.3666666667,36866.1666666667,0,0,0,4806.8,4771.7,4838.5,0,0,0,603.333333333333,589.933333333333,617.4,277.866666666667,271.266666666667,283.9,0,0,0,-0.0162110085879785,-0.0203982311562524,-0.0122197612850722,0.0830853343093867,0.0720182467367036,0.0948420269469952,0,0,0,0.0130588357499558,0.0128082651004336,0.0133001884478496
200,30,250000,250000,250000,38742.4666666667,37541.6,39868.4,0,0,0,4691.23333333333,4657,4725.8,0,0,0,643.533333333333,627.666666666667,659.366666666667,297.9,290.866666666667,305.033333333333,0,0,0,-0.0239972128729576,-0.028085058241828,-0.0200659700001085,0.0727438624608004,0.0606058627727889,0.0839832932069176,0,0,0,0.0142249854766412,0.0139548719664185,0.0144793009836692
210,30,250000,250000,250000,43327.7,41904.4333333333,44618.8333333333,0,0,0,4575.36666666667,4531.13333333333,4614.13333333333,0,0,0,677.866666666667,662.566666666667,693.4,313.7,307.266666666667,320.066666666667,0,0,0,-0.0247076704818735,-0.0292068668363117,-0.0204400874004251,0.0539993722226231,0.0418752481236918,0.0649878289573817,0,0,0,0.0154265937654909,0.0151498181833315,0.0157023480633577
220,30,250000,250000,250000,47575.7333333333,45956.2,49286.5666666667,0,0,0,4474.9,4433.53333333333,4515.1,0,0,0,690.866666666667,678.333333333333,703.866666666667,327.3,321.466666666667,332.633333333333,0,0,0,-0.0219313169232868,-0.026189376481966,-0.0180972338358023,0.0444830706831719,0.0315728722980197,0.0564034323284726,0,0,0,0.0161740802104129,0.015907095132105,0.0164380687446506
230,30,250000,250000,250000,51759.0333333333,49995.9333333333,53736.6,0,0,0,4368.76666666667,4321.46666666667,4413.53333333333,0,0,0,715.7,704.366666666667,727.4,335.533333333333,329.8,340.566666666667,0,0,0,-0.0237167791713419,-0.0279670364171724,-0.019704815108597,0.0252685329759469,0.0179563479989148,0.0330589818055117,0,0,0,0.0171986434869935,0.016898596702494,0.017488325291492
240,30,250000,250000,250000,55744.4666666667,53889.3333333333,57574.8,0,0,0,4274.1,4224.33333333333,4330.1,0,0,0,720,708.066666666667,732.066666666667,344.533333333333,339,350.266666666667,0,0,0,-0.0217134064938556,-0.0267828721102055,-0.0159370432534361,0.0275773751472601,0.0155594823335662,0.0397347260417705,0,0,0,0.01776686139269,0.0174645761698237,0.0180489888020721
250,30,250000,250000,250000,59724.9,57383.2333333333,61728.9333333333,0,0,0,4184.53333333333,4135.33333333333,4232.13333333333,0,0,0,726.866666666667,716.6,738.4,348.8,343.1,354.5,0,0,0,-0.0208599182161186,-0.0248128035811698,-0.0169391467827869,0.0130053286128377,0.00184658870913407,0.0229695781366314,0,0,0,0.0183719662954054,0.0181068002587168,0.0186610329123326
260,30,250000,250000,250000,63012.7,61066.6333333333,64883.0666666667,0,0,0,4091.6,4047.56666666667,4142.96666666667,0,0,0,725.933333333333,713.433333333333,738.666666666667,351.533333333333,346.8,356.6,0,0,0,-0.0221945198863544,-0.0262405434878856,-0.0185172873168928,0.00870603378629157,-0.00357365153049136,0.0213706107234287,0,0,0,0.0187702933846975,0.0184649814326848,0.01906937022606
270,30,250000,250000,250000,66549.1,64305.9666666667,68431.5,0,0,0,4012.1,3961.36666666667,4068.96666666667,0,0,0,723.633333333333,713.9,733.5,350.866666666667,345.733333333333,355.566666666667,0,0,0,-0.0194133799230597,-0.0242027795988102,-0.0147008791672404,-0.0013297903425308,-0.0136391767320315,0.0102958377399542,0,0,0,0.0191678645152518,0.018868220270646,0.0194517030328582
