"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup","prey1catchRateMean","prey1catchRateICinf","prey1catchRateICsup","prey2catchRateMean","prey2catchRateICinf","prey2catchRateICsup"
0,30,250000,250000,250000,250000,250000,250000,0,0,0,4000,4000,4000,0,0,0,0,0,0,300,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,250000,250000,250000,67485.5,67262.4666666667,67742.4333333333,0,0,0,2786.83333333333,2776.53333333333,2796.63333333333,0,0,0,649.233333333333,643.266666666667,655.666666666667,202.7,200.566666666667,204.966666666667,0,0,0,-0.303291666666667,-0.305866666666667,-0.301108333333333,-0.324333333333333,-0.331777777777778,-0.317333333333333,0,0,0,0.0174704134243009,0.0172681295412349,0.0176682057305318
20,30,250000,250000,250000,118463.433333333,117861.266666667,119105.433333333,0,0,0,2605.86666666667,2588.66666666667,2622.83333333333,0,0,0,325.9,321.633333333333,330.166666666667,146.166666666667,143.9,148.366666666667,0,0,0,-0.0649712425222433,-0.0686485861901297,-0.0610721004160922,-0.278461944333029,-0.289895824752477,-0.266563712830287,0,0,0,0.0123382816328345,0.0121296122777286,0.012545010884646
30,30,250000,250000,250000,125129.066666667,124429.566666667,125923.566666667,0,0,0,2923.96666666667,2907.13333333333,2939.8,0,0,0,225.366666666667,220.2,230.7,112.966666666667,110.5,115.6,0,0,0,0.122180105912112,0.117291399717961,0.126791845650894,-0.226635398198539,-0.242793656969907,-0.210612604918226,0,0,0,0.00899754095854848,0.00880220838493973,0.00919393438986364
40,30,250000,250000,250000,109104.466666667,108222.733333333,109953.666666667,0,0,0,3367.86666666667,3345.63333333333,3389.23333333333,0,0,0,185.633333333333,180.733333333333,190.933333333333,98.4666666666667,95.9666666666667,101.066666666667,0,0,0,0.151825195312566,0.14751147337252,0.156650353801572,-0.12739651164394,-0.146483377991076,-0.108007217974534,0,0,0,0.00653507647706995,0.00636086450966897,0.00671092439426793
50,30,250000,250000,250000,88574.5,87623.5,89569.2333333333,0,0,0,3771.96666666667,3748.53333333333,3796.16666666667,0,0,0,190.4,185,196.133333333333,89.1,86.4333333333333,91.9333333333333,0,0,0,0.120103743039956,0.115369834540348,0.124854853562564,-0.0941583182332718,-0.113301227423316,-0.0762452145943648,0,0,0,0.00580152633795314,0.00564992202607187,0.00595581545667382
60,30,250000,250000,250000,70982.4666666667,70012.8333333333,71883.7,0,0,0,4203.6,4181.13333333333,4226.96666666667,0,0,0,183.466666666667,178.133333333333,189.1,87,84.3333333333333,89.8666666666667,0,0,0,0.114588178882896,0.109086367801177,0.119695116544718,-0.0226801851196402,-0.0427131154866208,-0.00391273014498588,0,0,0,0.00497281395946409,0.00484976466988059,0.00509212849321816
70,30,250000,250000,250000,54312.4,53297.3333333333,55189.6666666667,0,0,0,4596.93333333333,4569.63333333333,4626.8,0,0,0,193.166666666667,185.5,201.6,90.3333333333333,87.5666666666667,93.1,0,0,0,0.093592635075215,0.089381044832796,0.0981762390927157,0.0414582377350781,0.0171084109299911,0.0662018760278036,0,0,0,0.00469604281569671,0.00456716213271432,0.00482635406855214
80,30,250000,250000,250000,40856.4333333333,39697.8666666667,41901.9,0,0,0,4901.8,4871.1,4930.8,0,0,0,212.933333333333,205.433333333333,220.366666666667,94.9666666666667,91.5333333333333,98.5666666666667,0,0,0,0.0663840688072436,0.0621105692863187,0.0703488814997504,0.0508343514488923,0.0300813283896552,0.0721190158435419,0,0,0,0.00473284234015614,0.00460754633815191,0.00485861461289486
90,30,250000,250000,250000,31649.1333333333,30791.1333333333,32489.0333333333,0,0,0,5116.33333333333,5095.7,5136.8,0,0,0,220.033333333333,210.3,230.066666666667,106.666666666667,102.5,110.9,0,0,0,0.0439804131609314,0.0378523743191546,0.0497934740673125,0.124240920100903,0.0984892320869578,0.14915205399915,0,0,0,0.0045842512865588,0.00445115445404126,0.00470628270504013
100,30,250000,250000,250000,25817.7666666667,25044.3333333333,26635.3666666667,0,0,0,5203.3,5179.63333333333,5226.23333333333,0,0,0,263.333333333333,252.066666666667,275.566666666667,115.666666666667,111.7,120.033333333333,0,0,0,0.0170571871631528,0.0127000588270957,0.0212448786287746,0.0865871733640018,0.0708988143615131,0.10175295188968,0,0,0,0.00527213452589411,0.00512870437415952,0.00541362599046066
110,30,250000,250000,250000,24163.5666666667,23398.8333333333,24952.4,0,0,0,5222.46666666667,5195.33333333333,5249.96666666667,0,0,0,293.333333333333,283.666666666667,304.3,130.133333333333,125.966666666667,134.533333333333,0,0,0,0.00372221123871551,-2.82138377967149e-05,0.00723350008218705,0.127339871424356,0.105986837672813,0.147853103682637,0,0,0,0.00578904006205561,0.00563943504126548,0.0059344571045543
120,30,250000,250000,250000,23494.9666666667,22749,24275.8666666667,0,0,0,5210.56666666667,5186.86666666667,5230.06666666667,0,0,0,327.5,317.666666666667,338.933333333333,142.966666666667,138.933333333333,147.266666666667,0,0,0,-0.00218327126118256,-0.00657634505609083,0.00182148904958811,0.101347467480917,0.0824270407015424,0.118822409219237,0,0,0,0.00645411913250469,0.0063035178853577,0.00660274330794533
130,30,250000,250000,250000,24500.7,23861.6,25109.9333333333,0,0,0,5192.83333333333,5175.53333333333,5209.66666666667,0,0,0,352.933333333333,341.133333333333,364.8,161.6,156.766666666667,166.666666666667,0,0,0,-0.00330831695749672,-0.00729944828091866,0.000670078234654951,0.130898705628193,0.115050357503516,0.148443602499021,0,0,0,0.00698411857123965,0.0068250701937992,0.00714251005523966
140,30,250000,250000,250000,24941.7666666667,24266.6666666667,25546.1333333333,0,0,0,5142.9,5119.53333333333,5164.3,0,0,0,397.933333333333,383.833333333333,410.966666666667,176.466666666667,171.533333333333,181.2,0,0,0,-0.00959286589740991,-0.0133178259678874,-0.00577880016905136,0.0935514709449653,0.0792632761135059,0.108797066685226,0,0,0,0.00793271732535565,0.00775111229242232,0.00810948493347288
150,30,250000,250000,250000,26765.9333333333,26116.2,27462.5333333333,0,0,0,5093.56666666667,5069.4,5114.76666666667,0,0,0,427.766666666667,416.433333333333,440.433333333333,195.366666666667,189.466666666667,201.8,0,0,0,-0.00954784929511623,-0.0127500568750204,-0.00610601786260071,0.107504564076561,0.0891368979441391,0.125163111872496,0,0,0,0.0086400950205376,0.00844450493569982,0.00881566399084185
