"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup","prey1catchRateMean","prey1catchRateICinf","prey1catchRateICsup","prey2catchRateMean","prey2catchRateICinf","prey2catchRateICsup"
0,30,250000,250000,250000,250000,250000,250000,0,0,0,4000,4000,4000,0,0,0,0,0,0,300,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,250000,250000,250000,67654.3333333333,67348.8333333333,67939.6333333333,0,0,0,2789.83333333333,2779.3,2799.6,0,0,0,649.566666666667,642.333333333333,656.333333333333,202.233333333333,199.066666666667,205.2,0,0,0,-0.302541666666667,-0.305058333333333,-0.300075,-0.325888888888889,-0.336444444444444,-0.315777777777778,0,0,0,0.0174791214257729,0.0172780772872183,0.0176766740049213
20,30,250000,250000,250000,117980.966666667,117389.766666667,118508.533333333,0,0,0,2624.9,2606.5,2640.23333333333,0,0,0,317.6,309.366666666667,325.733333333333,146.133333333333,142.633333333333,149.533333333333,0,0,0,-0.0591354187880924,-0.0633620557298519,-0.0550941894089107,-0.277299822345447,-0.290754513744661,-0.264267582182235,0,0,0,0.0119955092279495,0.0117519658121326,0.0122245928020403
30,30,250000,250000,250000,124158.933333333,123294.4,124955.133333333,0,0,0,2951.8,2925.96666666667,2974.8,0,0,0,227.9,221.2,234.666666666667,109.8,106.566666666667,112.7,0,0,0,0.124518821509608,0.118207384667421,0.130944104220698,-0.247773809120838,-0.262267212900182,-0.233554991156023,0,0,0,0.00904102630449355,0.00882926150787848,0.00922892584058396
40,30,250000,250000,250000,107577.733333333,106427.566666667,108808.566666667,0,0,0,3384.13333333333,3351.7,3415.36666666667,0,0,0,184.933333333333,179.166666666667,190.9,98.1,95.4,100.833333333333,0,0,0,0.1464819321927,0.141054571926247,0.151766817033601,-0.105748232538073,-0.120987490476388,-0.0885019542563082,0,0,0,0.00645478522308163,0.00628976383291742,0.00663308860920382
50,30,250000,250000,250000,87623.0666666667,86096.5666666667,89136.5,0,0,0,3811.03333333333,3778.33333333333,3842.8,0,0,0,185.633333333333,179.3,191.866666666667,88.7666666666667,85.4333333333333,92,0,0,0,0.12627218266728,0.122525220956255,0.130318586037878,-0.0952440153123338,-0.118028567239409,-0.0730287477849786,0,0,0,0.00563086024512973,0.00549392125288439,0.00577378228593038
60,30,250000,250000,250000,69521,68192.1666666667,70808.2,0,0,0,4233.96666666667,4192.46666666667,4270.43333333333,0,0,0,188.233333333333,180.533333333333,195.866666666667,89.6333333333333,86.5666666666667,93.3666666666667,0,0,0,0.11098920039229,0.106834514955179,0.115362776202563,0.0115739342065331,-0.0115298062341621,0.0334389860941131,0,0,0,0.00505667275232826,0.00491975551024302,0.00520138695003409
70,30,250000,250000,250000,53263.1666666667,51742.4,54702,0,0,0,4605.8,4570.23333333333,4639.7,0,0,0,205.466666666667,196.3,214.933333333333,91.6333333333333,88.2666666666667,95.1666666666667,0,0,0,0.0880245619595609,0.0828038893291727,0.0930836869991057,0.0252223400470564,0.000120312914497534,0.0482057313645352,0,0,0,0.00496750081954211,0.00484048136226945,0.00509164260379264
80,30,250000,250000,250000,40994.6333333333,39751.6333333333,42205.8,0,0,0,4894.76666666667,4857.16666666667,4928.6,0,0,0,219.433333333333,211.3,228.033333333333,97.8,94.1333333333333,101.466666666667,0,0,0,0.0628524566886828,0.0576340424829171,0.0681666820866103,0.0675834135552854,0.0502763736212834,0.0831418814781759,0,0,0,0.00487302747135548,0.00474785982713492,0.00500147509910625
90,30,250000,250000,250000,31964.3666666667,30866.6666666667,33102,0,0,0,5110.43333333333,5080.86666666667,5137.36666666667,0,0,0,227.233333333333,215.6,237.166666666667,108.066666666667,104.166666666667,112.033333333333,0,0,0,0.0442830716386448,0.0385850134272111,0.0499117295125582,0.107032507418862,0.0865207605898438,0.12825090548072,0,0,0,0.00474683019164725,0.00459138807902878,0.00488973958881516
