timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,250000,250000,0,4000,0,0,300
1,250000,230027,0,3936,0,66,300
2,250000,210660,0,3872,0,68,300
3,250000,191128,0,3811,0,65,300
4,250000,171949,0,3755,0,65,300
5,250000,153115,0,3694,0,63,300
6,250000,134534,0,3626,0,72,300
7,250000,116331,0,3562,0,69,300
8,250000,98854,0,3489,0,78,300
9,250000,82449,0,3436,0,61,300
10,250000,67243,0,2792,0,59,207
11,250000,235938,0,2759,0,33,207
12,250000,222191,0,2722,0,39,207
13,250000,208315,0,2691,0,34,207
14,250000,194964,0,2660,0,31,207
15,250000,181680,0,2626,0,34,207
16,250000,168597,0,2590,0,37,207
17,250000,155596,0,2563,0,29,207
18,250000,142579,0,2533,0,30,207
19,250000,130219,0,2503,0,32,207
20,250000,118048,0,2588,0,33,151
21,250000,237123,0,2568,0,20,151
22,250000,224447,0,2537,0,32,151
23,250000,211843,0,2513,0,25,151
24,250000,199289,0,2492,0,22,151
25,250000,186899,0,2465,0,28,151
26,250000,174707,0,2444,0,22,151
27,250000,162726,0,2421,0,25,151
28,250000,150780,0,2403,0,18,151
29,250000,138929,0,2382,0,22,151
30,250000,127538,0,2875,0,19,116
31,250000,235639,0,2853,0,23,116
32,250000,221548,0,2831,0,22,116
33,250000,207373,0,2812,0,22,116
34,250000,192990,0,2798,0,15,116
35,250000,179072,0,2782,0,16,116
36,250000,165195,0,2764,0,19,116
37,250000,151243,0,2744,0,20,116
38,250000,137905,0,2731,0,13,116
39,250000,124459,0,2716,0,17,116
40,250000,111405,0,3287,0,21,97
41,250000,233792,0,3274,0,13,97
42,250000,217183,0,3256,0,18,97
43,250000,201037,0,3241,0,15,97
44,250000,184907,0,3220,0,21,97
45,250000,168590,0,3199,0,21,97
46,250000,152966,0,3173,0,26,97
47,250000,137148,0,3155,0,18,97
48,250000,121957,0,3136,0,19,97
49,250000,107032,0,3115,0,21,97
50,250000,92667,0,3649,0,17,88
51,250000,231722,0,3627,0,24,88
52,250000,213752,0,3613,0,14,88
53,250000,195696,0,3593,0,20,88
54,250000,177753,0,3578,0,15,88
55,250000,159727,0,3561,0,17,88
56,250000,141965,0,3544,0,17,88
57,250000,124210,0,3527,0,17,88
58,250000,106996,0,3513,0,14,88
59,250000,90470,0,3497,0,16,88
60,250000,75295,0,4173,0,14,85
61,250000,229177,0,4157,0,17,85
62,250000,208487,0,4134,0,23,85
63,250000,187665,0,4114,0,22,85
64,250000,166831,0,4097,0,17,85
65,250000,145982,0,4073,0,25,85
66,250000,125594,0,4055,0,18,85
67,250000,106013,0,4038,0,19,85
68,250000,87268,0,4015,0,24,85
69,250000,69904,0,3996,0,19,85
70,250000,54863,0,4581,0,16,89
71,250000,226942,0,4560,0,23,89
72,250000,204224,0,4533,0,27,89
73,250000,181121,0,4508,0,25,89
74,250000,158960,0,4488,0,21,89
75,250000,136820,0,4469,0,19,89
76,250000,114398,0,4449,0,20,89
77,250000,93019,0,4427,0,23,89
78,250000,72784,0,4415,0,12,89
79,250000,54869,0,4397,0,19,89
80,250000,39406,0,4802,0,17,96
81,250000,226003,0,4777,0,25,96
82,250000,202199,0,4750,0,29,96
83,250000,178311,0,4720,0,30,96
84,250000,154911,0,4695,0,25,96
85,250000,130913,0,4675,0,20,96
86,250000,108333,0,4654,0,21,96
87,250000,86446,0,4637,0,17,96
88,250000,65951,0,4617,0,20,96
89,250000,47234,0,4600,0,18,96
90,250000,32130,0,5150,0,14,101
91,250000,224420,0,5124,0,27,101
92,250000,198925,0,5099,0,27,101
93,250000,173177,0,5076,0,23,101
94,250000,148156,0,5051,0,25,101
95,250000,122982,0,5030,0,22,101
96,250000,98368,0,5003,0,27,101
97,250000,75670,0,4978,0,25,101
98,250000,55480,0,4961,0,17,101
99,250000,38404,0,4940,0,22,101
100,250000,25926,0,5334,0,21,115
101,250000,223656,0,5305,0,31,115
102,250000,196913,0,5268,0,38,115
