"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup","prey1catchRateMean","prey1catchRateICinf","prey1catchRateICsup","prey2catchRateMean","prey2catchRateICinf","prey2catchRateICsup"
0,30,250000,250000,250000,250000,250000,250000,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,250000,250000,250000,244995.8,244963.866666667,245027.533333333,0,0,0,85.7666666666667,84.2333333333333,87.3,0,0,0,0,0,0,0,0,0,0,0,0,-0.142333333333333,-0.156666666666667,-0.128,0,0,0,0,0,0,0,0,0
20,30,250000,250000,250000,245732.666666667,245641.433333333,245808.433333333,0,0,0,90.5333333333333,88.2666666666667,92.7,0,0,0,0,0,0,0,0,0,0,0,0,0.0553649809406418,0.0388160491453779,0.0735318036659064,0,0,0,0,0,0,0,0,0
30,30,250000,250000,250000,245488.733333333,245375.9,245596.3,0,0,0,112.866666666667,110.3,115.566666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.249909285017214,0.219014660589533,0.278296927412803,0,0,0,0,0,0,0,0,0
40,30,250000,250000,250000,244379.733333333,244238.433333333,244517.833333333,0,0,0,139.266666666667,135.666666666667,142.9,0,0,0,0,0,0,0,0,0,0,0,0,0.235128633082194,0.213374808972569,0.258762618625678,0,0,0,0,0,0,0,0,0
50,30,250000,250000,250000,243052.333333333,242847.6,243242.5,0,0,0,166.7,162.933333333333,170.966666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.19845992158323,0.179368867326265,0.217233018411908,0,0,0,0,0,0,0,0,0
60,30,250000,250000,250000,241672.933333333,241458.066666667,241871.7,0,0,0,201.666666666667,196.733333333333,206.8,0,0,0,0,0,0,0,0,0,0,0,0,0.210607124172446,0.191025395133352,0.228760268219569,0,0,0,0,0,0,0,0,0
70,30,250000,250000,250000,239936.3,239674.366666667,240194.033333333,0,0,0,242.733333333333,236.7,249.3,0,0,0,0,0,0,0,0,0,0,0,0,0.204804994098156,0.184527748540034,0.226820800451613,0,0,0,0,0,0,0,0,0
80,30,250000,250000,250000,237864.533333333,237523.7,238193.833333333,0,0,0,294.366666666667,285.733333333333,302.666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.213781044388007,0.194373382270125,0.234156692246874,0,0,0,0,0,0,0,0,0
90,30,250000,250000,250000,235238.466666667,234820.6,235626.3,0,0,0,358.066666666667,348.966666666667,367.566666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.218041966995597,0.201632546071301,0.235450627926974,0,0,0,0,0,0,0,0,0
100,30,250000,250000,250000,232033.733333333,231539.066666667,232470.6,0,0,0,433.5,422.633333333333,445.566666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.210948962869509,0.198733984092687,0.224215216271211,0,0,0,0,0,0,0,0,0
110,30,250000,250000,250000,228333.433333333,227751.2,228892,0,0,0,528.1,514.266666666667,541.733333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.218533001045913,0.208776236466736,0.229318014685093,0,0,0,0,0,0,0,0,0
120,30,250000,250000,250000,223626.8,222923,224286.5,0,0,0,636.166666666667,619.333333333333,652.533333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.20528578470973,0.194073331737061,0.217250979228001,0,0,0,0,0,0,0,0,0
130,30,250000,250000,250000,218231.466666667,217465.966666667,219036.266666667,0,0,0,776.6,758,795.766666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.221271301490841,0.209566489881693,0.233097292433149,0,0,0,0,0,0,0,0,0
140,30,250000,250000,250000,211275.266666667,210271,212219.533333333,0,0,0,930.833333333333,909.066666666667,954.833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.198680123723112,0.192083820989076,0.205426384124346,0,0,0,0,0,0,0,0,0
150,30,250000,250000,250000,203495.833333333,202313.166666667,204672,0,0,0,1129.16666666667,1100.53333333333,1157.4,0,0,0,0,0,0,0,0,0,0,0,0,0.213356827132204,0.206045771392413,0.221743132341079,0,0,0,0,0,0,0,0,0
160,30,250000,250000,250000,193598.066666667,191991.133333333,194957.4,0,0,0,1370.9,1336.66666666667,1404.53333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.214394014704102,0.205633258953084,0.223030656984544,0,0,0,0,0,0,0,0,0
170,30,250000,250000,250000,181395.8,179519.9,182968.733333333,0,0,0,1660.33333333333,1621,1700.9,0,0,0,0,0,0,0,0,0,0,0,0,0.211200075540309,0.202991456005032,0.218851556295542,0,0,0,0,0,0,0,0,0
180,30,250000,250000,250000,166959.433333333,164793.666666667,168922.9,0,0,0,2009.5,1960.1,2059.4,0,0,0,0,0,0,0,0,0,0,0,0,0.210610001105405,0.204863200962368,0.21647839576068,0,0,0,0,0,0,0,0,0
190,30,250000,250000,250000,149675,147192.1,152139.366666667,0,0,0,2436.4,2379.56666666667,2499.2,0,0,0,0,0,0,0,0,0,0,0,0,0.21245690790247,0.206667015675839,0.218036828803903,0,0,0,0,0,0,0,0,0
200,30,250000,250000,250000,128587.5,125788.133333333,131324.866666667,0,0,0,2933.26666666667,2864.8,2998.56666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.204241718203307,0.198173070244351,0.210136195143219,0,0,0,0,0,0,0,0,0
