timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,250000,250000,0,100,0,0,0
1,250000,249546,0,100,0,0,0
2,250000,249064,0,100,0,0,0
3,250000,248526,0,100,0,0,0
4,250000,248016,0,100,0,0,0
5,250000,247563,0,100,0,0,0
6,250000,247076,0,100,0,0,0
7,250000,246588,0,100,0,0,0
8,250000,246069,0,100,0,0,0
9,250000,245521,0,100,0,0,0
10,250000,245045,0,84,0,0,0
11,250000,249600,0,84,0,0,0
12,250000,249220,0,84,0,0,0
13,250000,248787,0,84,0,0,0
14,250000,248384,0,84,0,0,0
15,250000,248003,0,84,0,0,0
16,250000,247595,0,84,0,0,0
17,250000,247132,0,84,0,0,0
18,250000,246703,0,84,0,0,0
19,250000,246307,0,84,0,0,0
20,250000,245885,0,89,0,0,0
21,250000,249536,0,89,0,0,0
22,250000,249084,0,89,0,0,0
23,250000,248611,0,89,0,0,0
24,250000,248186,0,89,0,0,0
25,250000,247733,0,89,0,0,0
26,250000,247274,0,89,0,0,0
27,250000,246840,0,89,0,0,0
28,250000,246423,0,89,0,0,0
29,250000,246000,0,89,0,0,0
30,250000,245560,0,107,0,0,0
31,250000,249498,0,107,0,0,0
32,250000,248930,0,107,0,0,0
33,250000,248379,0,107,0,0,0
34,250000,247827,0,107,0,0,0
35,250000,247368,0,107,0,0,0
36,250000,246863,0,107,0,0,0
37,250000,246329,0,107,0,0,0
38,250000,245862,0,107,0,0,0
39,250000,245301,0,107,0,0,0
40,250000,244698,0,133,0,0,0
41,250000,249300,0,133,0,0,0
42,250000,248608,0,133,0,0,0
43,250000,247920,0,133,0,0,0
44,250000,247272,0,133,0,0,0
45,250000,246647,0,133,0,0,0
46,250000,245941,0,133,0,0,0
47,250000,245295,0,133,0,0,0
48,250000,244683,0,133,0,0,0
49,250000,244045,0,133,0,0,0
50,250000,243411,0,158,0,0,0
51,250000,249192,0,158,0,0,0
52,250000,248453,0,158,0,0,0
53,250000,247685,0,158,0,0,0
