timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,250000,250000,0,100,0,0,0
1,250000,249490,0,100,0,0,0
2,250000,248974,0,100,0,0,0
3,250000,248500,0,100,0,0,0
4,250000,247977,0,100,0,0,0
5,250000,247377,0,100,0,0,0
6,250000,246829,0,100,0,0,0
7,250000,246289,0,100,0,0,0
8,250000,245820,0,100,0,0,0
9,250000,245342,0,100,0,0,0
10,250000,244831,0,85,0,0,0
11,250000,249569,0,85,0,0,0
12,250000,249150,0,85,0,0,0
13,250000,248768,0,85,0,0,0
14,250000,248350,0,85,0,0,0
15,250000,247927,0,85,0,0,0
16,250000,247474,0,85,0,0,0
17,250000,247020,0,85,0,0,0
18,250000,246576,0,85,0,0,0
19,250000,246124,0,85,0,0,0
20,250000,245732,0,94,0,0,0
21,250000,249506,0,94,0,0,0
22,250000,249028,0,94,0,0,0
23,250000,248533,0,94,0,0,0
24,250000,248054,0,94,0,0,0
25,250000,247554,0,94,0,0,0
26,250000,247088,0,94,0,0,0
27,250000,246624,0,94,0,0,0
28,250000,246114,0,94,0,0,0
29,250000,245644,0,94,0,0,0
30,250000,245192,0,109,0,0,0
31,250000,249467,0,109,0,0,0
32,250000,248904,0,109,0,0,0
33,250000,248276,0,109,0,0,0
34,250000,247764,0,109,0,0,0
35,250000,247239,0,109,0,0,0
36,250000,246620,0,109,0,0,0
37,250000,246067,0,109,0,0,0
38,250000,245492,0,109,0,0,0
39,250000,244989,0,109,0,0,0
40,250000,244437,0,146,0,0,0
41,250000,249338,0,146,0,0,0
42,250000,248535,0,146,0,0,0
43,250000,247799,0,146,0,0,0
44,250000,247020,0,146,0,0,0
45,250000,246236,0,146,0,0,0
46,250000,245480,0,146,0,0,0
47,250000,244767,0,146,0,0,0
48,250000,244023,0,146,0,0,0
49,250000,243231,0,146,0,0,0
50,250000,242496,0,179,0,0,0
51,250000,249208,0,179,0,0,0
52,250000,248384,0,179,0,0,0
53,250000,247416,0,179,0,0,0
54,250000,246562,0,179,0,0,0
55,250000,245623,0,179,0,0,0
56,250000,244716,0,179,0,0,0
57,250000,243880,0,179,0,0,0
58,250000,243063,0,179,0,0,0
59,250000,242172,0,179,0,0,0
60,250000,241339,0,209,0,0,0
61,250000,248989,0,209,0,0,0
62,250000,247954,0,209,0,0,0
63,250000,246872,0,209,0,0,0
64,250000,245899,0,209,0,0,0
65,250000,244750,0,209,0,0,0
66,250000,243668,0,209,0,0,0
67,250000,242579,0,209,0,0,0
68,250000,241479,0,209,0,0,0
69,250000,240477,0,209,0,0,0
70,250000,239399,0,258,0,0,0
71,250000,248672,0,258,0,0,0
72,250000,247311,0,258,0,0,0
73,250000,246145,0,258,0,0,0
74,250000,244926,0,258,0,0,0
75,250000,243570,0,258,0,0,0
76,250000,242361,0,258,0,0,0
77,250000,241108,0,258,0,0,0
78,250000,239759,0,258,0,0,0
79,250000,238462,0,258,0,0,0
80,250000,237156,0,314,0,0,0
81,250000,248390,0,314,0,0,0
82,250000,246818,0,314,0,0,0
83,250000,245215,0,314,0,0,0
84,250000,243669,0,314,0,0,0
85,250000,242012,0,314,0,0,0
86,250000,240421,0,314,0,0,0
87,250000,238953,0,314,0,0,0
88,250000,237324,0,314,0,0,0
89,250000,235788,0,314,0,0,0
90,250000,234268,0,380,0,0,0
91,250000,247988,0,380,0,0,0
92,250000,246041,0,380,0,0,0
93,250000,244256,0,380,0,0,0
94,250000,242329,0,380,0,0,0
95,250000,240461,0,380,0,0,0
96,250000,238577,0,380,0,0,0
97,250000,236768,0,380,0,0,0
98,250000,234883,0,380,0,0,0
99,250000,232938,0,380,0,0,0
100,250000,231135,0,468,0,0,0
101,250000,247682,0,468,0,0,0
102,250000,245452,0,468,0,0,0
103,250000,243163,0,468,0,0,0
104,250000,240863,0,468,0,0,0
105,250000,238529,0,468,0,0,0
106,250000,236095,0,468,0,0,0
107,250000,233793,0,468,0,0,0
108,250000,231506,0,468,0,0,0
109,250000,229146,0,468,0,0,0
110,250000,226743,0,554,0,0,0
111,250000,247248,0,554,0,0,0
112,250000,244521,0,554,0,0,0
113,250000,241860,0,554,0,0,0
114,250000,239116,0,554,0,0,0
115,250000,236208,0,554,0,0,0
116,250000,233531,0,554,0,0,0
117,250000,230621,0,554,0,0,0
118,250000,227878,0,554,0,0,0
119,250000,225204,0,554,0,0,0
120,250000,222484,0,658,0,0,0
121,250000,246747,0,658,0,0,0
122,250000,243389,0,658,0,0,0
123,250000,240124,0,658,0,0,0
124,250000,237008,0,658,0,0,0
125,250000,233676,0,658,0,0,0
126,250000,230380,0,658,0,0,0
127,250000,227038,0,658,0,0,0
128,250000,223781,0,658,0,0,0
129,250000,220576,0,658,0,0,0
130,250000,217262,0,806,0,0,0
131,250000,245950,0,806,0,0,0
132,250000,241897,0,806,0,0,0
133,250000,238033,0,806,0,0,0
134,250000,233980,0,806,0,0,0
135,250000,230157,0,806,0,0,0
136,250000,225989,0,806,0,0,0
137,250000,221988,0,806,0,0,0
138,250000,217959,0,806,0,0,0
139,250000,213954,0,806,0,0,0
140,250000,209748,0,962,0,0,0
141,250000,245161,0,962,0,0,0
142,250000,240293,0,962,0,0,0
143,250000,235447,0,962,0,0,0
144,250000,230810,0,962,0,0,0
145,250000,225932,0,962,0,0,0
146,250000,221066,0,962,0,0,0
147,250000,216169,0,962,0,0,0
148,250000,211474,0,962,0,0,0
149,250000,206608,0,962,0,0,0
150,250000,201909,0,1172,0,0,0
151,250000,244338,0,1172,0,0,0
