timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,250000,250000,0,100,0,0,0
1,250000,249527,0,100,0,0,0
2,250000,249017,0,100,0,0,0
3,250000,248531,0,100,0,0,0
4,250000,248042,0,100,0,0,0
5,250000,247539,0,100,0,0,0
6,250000,247087,0,100,0,0,0
7,250000,246551,0,100,0,0,0
8,250000,246061,0,100,0,0,0
9,250000,245589,0,100,0,0,0
10,250000,245049,0,85,0,0,0
11,250000,249552,0,85,0,0,0
12,250000,249155,0,85,0,0,0
13,250000,248739,0,85,0,0,0
14,250000,248338,0,85,0,0,0
15,250000,247963,0,85,0,0,0
16,250000,247541,0,85,0,0,0
17,250000,247149,0,85,0,0,0
18,250000,246753,0,85,0,0,0
19,250000,246332,0,85,0,0,0
20,250000,245921,0,84,0,0,0
21,250000,249548,0,84,0,0,0
22,250000,249159,0,84,0,0,0
23,250000,248730,0,84,0,0,0
24,250000,248329,0,84,0,0,0
25,250000,247887,0,84,0,0,0
26,250000,247474,0,84,0,0,0
27,250000,247038,0,84,0,0,0
28,250000,246622,0,84,0,0,0
29,250000,246215,0,84,0,0,0
30,250000,245752,0,110,0,0,0
31,250000,249475,0,110,0,0,0
32,250000,248939,0,110,0,0,0
33,250000,248408,0,110,0,0,0
34,250000,247861,0,110,0,0,0
35,250000,247313,0,110,0,0,0
36,250000,246726,0,110,0,0,0
37,250000,246236,0,110,0,0,0
38,250000,245693,0,110,0,0,0
39,250000,245158,0,110,0,0,0
40,250000,244599,0,131,0,0,0
41,250000,249260,0,131,0,0,0
42,250000,248687,0,131,0,0,0
43,250000,247997,0,131,0,0,0
44,250000,247373,0,131,0,0,0
45,250000,246669,0,131,0,0,0
46,250000,246002,0,131,0,0,0
47,250000,245326,0,131,0,0,0
48,250000,244669,0,131,0,0,0
49,250000,243999,0,131,0,0,0
50,250000,243310,0,150,0,0,0
51,250000,249264,0,150,0,0,0
52,250000,248475,0,150,0,0,0
53,250000,247732,0,150,0,0,0
54,250000,246984,0,150,0,0,0
55,250000,246242,0,150,0,0,0
56,250000,245474,0,150,0,0,0
57,250000,244651,0,150,0,0,0
58,250000,243932,0,150,0,0,0
59,250000,243220,0,150,0,0,0
60,250000,242458,0,175,0,0,0
61,250000,249092,0,175,0,0,0
62,250000,248169,0,175,0,0,0
63,250000,247255,0,175,0,0,0
64,250000,246360,0,175,0,0,0
65,250000,245438,0,175,0,0,0
66,250000,244604,0,175,0,0,0
67,250000,243706,0,175,0,0,0
68,250000,242876,0,175,0,0,0
69,250000,241913,0,175,0,0,0
70,250000,241036,0,246,0,0,0
71,250000,248741,0,246,0,0,0
72,250000,247552,0,246,0,0,0
73,250000,246374,0,246,0,0,0
74,250000,245191,0,246,0,0,0
75,250000,243991,0,246,0,0,0
76,250000,242730,0,246,0,0,0
77,250000,241545,0,246,0,0,0
78,250000,240263,0,246,0,0,0
79,250000,239017,0,246,0,0,0
80,250000,237786,0,288,0,0,0
81,250000,248589,0,288,0,0,0
82,250000,247141,0,288,0,0,0
83,250000,245717,0,288,0,0,0
84,250000,244230,0,288,0,0,0
85,250000,242776,0,288,0,0,0
86,250000,241398,0,288,0,0,0
87,250000,239893,0,288,0,0,0
88,250000,238540,0,288,0,0,0
89,250000,237198,0,288,0,0,0
90,250000,235784,0,346,0,0,0
91,250000,248267,0,346,0,0,0
92,250000,246507,0,346,0,0,0
93,250000,244687,0,346,0,0,0
94,250000,242907,0,346,0,0,0
95,250000,241163,0,346,0,0,0
96,250000,239418,0,346,0,0,0
97,250000,237828,0,346,0,0,0
98,250000,236143,0,346,0,0,0
99,250000,234434,0,346,0,0,0
100,250000,232642,0,430,0,0,0
101,250000,247769,0,430,0,0,0
102,250000,245607,0,430,0,0,0
103,250000,243436,0,430,0,0,0
104,250000,241233,0,430,0,0,0
105,250000,238987,0,430,0,0,0
106,250000,236859,0,430,0,0,0
107,250000,234625,0,430,0,0,0
108,250000,232427,0,430,0,0,0
109,250000,230289,0,430,0,0,0
110,250000,228072,0,519,0,0,0
111,250000,247198,0,519,0,0,0
112,250000,244636,0,519,0,0,0
113,250000,241938,0,519,0,0,0
114,250000,239238,0,519,0,0,0
115,250000,236672,0,519,0,0,0
116,250000,233978,0,519,0,0,0
117,250000,231370,0,519,0,0,0
118,250000,228796,0,519,0,0,0
119,250000,226190,0,519,0,0,0
120,250000,223547,0,674,0,0,0
121,250000,246571,0,674,0,0,0
122,250000,243133,0,674,0,0,0
123,250000,239751,0,674,0,0,0
124,250000,236390,0,674,0,0,0
125,250000,232958,0,674,0,0,0
126,250000,229619,0,674,0,0,0
127,250000,226182,0,674,0,0,0
128,250000,222952,0,674,0,0,0
129,250000,219449,0,674,0,0,0
130,250000,216179,0,808,0,0,0
131,250000,245952,0,808,0,0,0
132,250000,241944,0,808,0,0,0
133,250000,237897,0,808,0,0,0
134,250000,233900,0,808,0,0,0
135,250000,229848,0,808,0,0,0
136,250000,225699,0,808,0,0,0
137,250000,221414,0,808,0,0,0
138,250000,217323,0,808,0,0,0
139,250000,213344,0,808,0,0,0
140,250000,209373,0,980,0,0,0
141,250000,245206,0,980,0,0,0
142,250000,240318,0,980,0,0,0
143,250000,235547,0,980,0,0,0
144,250000,230632,0,980,0,0,0
145,250000,225635,0,980,0,0,0
146,250000,220728,0,980,0,0,0
147,250000,215900,0,980,0,0,0
148,250000,211050,0,980,0,0,0
149,250000,206126,0,980,0,0,0
150,250000,201277,0,1134,0,0,0
151,250000,244099,0,1134,0,0,0
152,250000,238377,0,1134,0,0,0
153,250000,232809,0,1134,0,0,0
154,250000,227098,0,1134,0,0,0
155,250000,221323,0,1134,0,0,0
156,250000,215847,0,1134,0,0,0
157,250000,210291,0,1134,0,0,0
158,250000,204444,0,1134,0,0,0
159,250000,198637,0,1134,0,0,0
160,250000,193037,0,1400,0,0,0
161,250000,242960,0,1400,0,0,0
162,250000,236129,0,1400,0,0,0
163,250000,229138,0,1400,0,0,0
164,250000,222331,0,1400,0,0,0
165,250000,215345,0,1400,0,0,0
166,250000,208186,0,1400,0,0,0
167,250000,201113,0,1400,0,0,0
168,250000,194020,0,1400,0,0,0
169,250000,187050,0,1400,0,0,0
170,250000,180101,0,1697,0,0,0
171,250000,241645,0,1697,0,0,0
172,250000,233076,0,1697,0,0,0
173,250000,224433,0,1697,0,0,0
174,250000,216192,0,1697,0,0,0
175,250000,207541,0,1697,0,0,0
176,250000,198967,0,1697,0,0,0
177,250000,190411,0,1697,0,0,0
178,250000,181943,0,1697,0,0,0
179,250000,173423,0,1697,0,0,0
180,250000,165025,0,2032,0,0,0
181,250000,240214,0,2032,0,0,0
182,250000,230103,0,2032,0,0,0
183,250000,220125,0,2032,0,0,0
184,250000,210156,0,2032,0,0,0
185,250000,199821,0,2032,0,0,0
186,250000,189684,0,2032,0,0,0
187,250000,179485,0,2032,0,0,0
188,250000,169244,0,2032,0,0,0
189,250000,159264,0,2032,0,0,0
190,250000,149139,0,2488,0,0,0
191,250000,237485,0,2488,0,0,0
192,250000,225353,0,2488,0,0,0
193,250000,212795,0,2488,0,0,0
194,250000,200390,0,2488,0,0,0
195,250000,187924,0,2488,0,0,0
196,250000,175358,0,2488,0,0,0
197,250000,162813,0,2488,0,0,0
198,250000,150198,0,2488,0,0,0
199,250000,137588,0,2488,0,0,0
200,250000,125323,0,2988,0,0,0
201,250000,235053,0,2967,0,22,100
202,250000,220345,0,2948,0,19,100
203,250000,205691,0,2937,0,11,100
204,250000,190923,0,2926,0,11,100
205,250000,176453,0,2902,0,24,100
206,250000,161763,0,2882,0,20,100
207,250000,147190,0,2864,0,18,100
208,250000,132887,0,2841,0,23,100
209,250000,119187,0,2823,0,19,100
210,250000,105586,0,3366,0,18,64
211,250000,232970,0,3355,0,11,64
212,250000,216037,0,3343,0,12,64
213,250000,199224,0,3330,0,13,64
214,250000,182496,0,3321,0,9,64
215,250000,166039,0,3306,0,15,64
216,250000,149622,0,3286,0,20,64
217,250000,133460,0,3274,0,12,64
218,250000,117417,0,3258,0,17,64
219,250000,101824,0,3245,0,13,64
220,250000,87382,0,3836,0,13,53
221,250000,230624,0,3823,0,13,53
222,250000,210909,0,3814,0,9,53
223,250000,192032,0,3803,0,13,53
224,250000,173184,0,3789,0,14,53
225,250000,154243,0,3776,0,14,53
226,250000,135140,0,3763,0,13,53
227,250000,116494,0,3752,0,11,53
228,250000,98400,0,3737,0,15,53
229,250000,80958,0,3721,0,16,53
230,250000,65452,0,4388,0,7,49
231,250000,228219,0,4373,0,16,49
232,250000,206105,0,4363,0,10,49
233,250000,183860,0,4352,0,11,49
234,250000,162083,0,4337,0,15,49
235,250000,140440,0,4328,0,9,49
236,250000,118888,0,4319,0,9,49
237,250000,98386,0,4307,0,12,49
238,250000,79619,0,4298,0,9,49
239,250000,62461,0,4292,0,6,49
240,250000,48124,0,4834,0,6,57
241,250000,225910,0,4820,0,16,57
242,250000,201667,0,4800,0,20,57
243,250000,177852,0,4778,0,22,57
244,250000,153963,0,4761,0,17,57
245,250000,130371,0,4746,0,15,57
246,250000,107017,0,4733,0,13,57
247,250000,84908,0,4725,0,9,57
