timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,250000,250000,0,100,0,0,0
1,250000,249475,0,100,0,0,0
2,250000,248981,0,100,0,0,0
3,250000,248426,0,100,0,0,0
4,250000,247917,0,100,0,0,0
5,250000,247421,0,100,0,0,0
6,250000,246931,0,100,0,0,0
7,250000,246479,0,100,0,0,0
8,250000,245973,0,100,0,0,0
9,250000,245434,0,100,0,0,0
10,250000,244966,0,87,0,0,0
11,250000,249602,0,87,0,0,0
12,250000,249201,0,87,0,0,0
13,250000,248714,0,87,0,0,0
14,250000,248257,0,87,0,0,0
15,250000,247786,0,87,0,0,0
16,250000,247353,0,87,0,0,0
17,250000,246915,0,87,0,0,0
18,250000,246469,0,87,0,0,0
19,250000,246041,0,87,0,0,0
20,250000,245645,0,89,0,0,0
21,250000,249568,0,89,0,0,0
22,250000,249140,0,89,0,0,0
23,250000,248664,0,89,0,0,0
24,250000,248252,0,89,0,0,0
25,250000,247794,0,89,0,0,0
26,250000,247324,0,89,0,0,0
27,250000,246817,0,89,0,0,0
28,250000,246373,0,89,0,0,0
29,250000,245891,0,89,0,0,0
30,250000,245396,0,107,0,0,0
31,250000,249507,0,107,0,0,0
32,250000,248978,0,107,0,0,0
33,250000,248478,0,107,0,0,0
34,250000,247922,0,107,0,0,0
35,250000,247328,0,107,0,0,0
36,250000,246772,0,107,0,0,0
37,250000,246211,0,107,0,0,0
38,250000,245663,0,107,0,0,0
39,250000,245097,0,107,0,0,0
40,250000,244617,0,136,0,0,0
41,250000,249361,0,136,0,0,0
42,250000,248656,0,136,0,0,0
43,250000,247911,0,136,0,0,0
44,250000,247267,0,136,0,0,0
45,250000,246604,0,136,0,0,0
46,250000,245860,0,136,0,0,0
47,250000,245177,0,136,0,0,0
48,250000,244498,0,136,0,0,0
49,250000,243753,0,136,0,0,0
50,250000,243026,0,178,0,0,0
51,250000,249049,0,178,0,0,0
52,250000,248168,0,178,0,0,0
53,250000,247278,0,178,0,0,0
54,250000,246377,0,178,0,0,0
55,250000,245459,0,178,0,0,0
56,250000,244588,0,178,0,0,0
57,250000,243683,0,178,0,0,0
58,250000,242708,0,178,0,0,0
59,250000,241797,0,178,0,0,0
60,250000,240927,0,228,0,0,0
61,250000,248908,0,228,0,0,0
62,250000,247786,0,228,0,0,0
63,250000,246668,0,228,0,0,0
64,250000,245583,0,228,0,0,0
65,250000,244489,0,228,0,0,0
66,250000,243415,0,228,0,0,0
67,250000,242301,0,228,0,0,0
68,250000,241191,0,228,0,0,0
69,250000,240000,0,228,0,0,0
70,250000,238864,0,242,0,0,0
71,250000,248829,0,242,0,0,0
72,250000,247738,0,242,0,0,0
73,250000,246472,0,242,0,0,0
74,250000,245319,0,242,0,0,0
75,250000,244037,0,242,0,0,0
76,250000,242867,0,242,0,0,0
77,250000,241653,0,242,0,0,0
78,250000,240392,0,242,0,0,0
79,250000,239220,0,242,0,0,0
80,250000,237952,0,313,0,0,0
81,250000,248386,0,313,0,0,0
82,250000,246798,0,313,0,0,0
83,250000,245297,0,313,0,0,0
84,250000,243700,0,313,0,0,0
85,250000,242134,0,313,0,0,0
86,250000,240578,0,313,0,0,0
87,250000,239009,0,313,0,0,0
88,250000,237504,0,313,0,0,0
89,250000,235920,0,313,0,0,0
90,250000,234363,0,359,0,0,0
91,250000,248135,0,359,0,0,0
92,250000,246310,0,359,0,0,0
93,250000,244477,0,359,0,0,0
94,250000,242708,0,359,0,0,0
95,250000,240980,0,359,0,0,0
96,250000,239249,0,359,0,0,0
97,250000,237384,0,359,0,0,0
98,250000,235558,0,359,0,0,0
99,250000,233807,0,359,0,0,0
100,250000,232076,0,457,0,0,0
101,250000,247564,0,457,0,0,0
102,250000,245255,0,457,0,0,0
103,250000,242869,0,457,0,0,0
104,250000,240459,0,457,0,0,0
105,250000,238074,0,457,0,0,0
106,250000,235871,0,457,0,0,0
107,250000,233556,0,457,0,0,0
108,250000,231331,0,457,0,0,0
109,250000,229084,0,457,0,0,0
110,250000,226796,0,540,0,0,0
111,250000,247220,0,540,0,0,0
112,250000,244659,0,540,0,0,0
113,250000,241855,0,540,0,0,0
114,250000,239120,0,540,0,0,0
115,250000,236463,0,540,0,0,0
116,250000,233716,0,540,0,0,0
117,250000,231060,0,540,0,0,0
118,250000,228279,0,540,0,0,0
119,250000,225643,0,540,0,0,0
120,250000,222850,0,666,0,0,0
121,250000,246679,0,666,0,0,0
122,250000,243473,0,666,0,0,0
123,250000,240133,0,666,0,0,0
124,250000,236821,0,666,0,0,0
125,250000,233379,0,666,0,0,0
126,250000,230048,0,666,0,0,0
127,250000,226667,0,666,0,0,0
128,250000,223319,0,666,0,0,0
129,250000,219937,0,666,0,0,0
130,250000,216719,0,794,0,0,0
131,250000,246082,0,794,0,0,0
132,250000,242179,0,794,0,0,0
133,250000,238219,0,794,0,0,0
134,250000,234323,0,794,0,0,0
135,250000,230307,0,794,0,0,0
136,250000,226187,0,794,0,0,0
137,250000,222114,0,794,0,0,0
138,250000,218125,0,794,0,0,0
139,250000,214087,0,794,0,0,0
140,250000,210007,0,994,0,0,0
141,250000,244994,0,994,0,0,0
142,250000,240146,0,994,0,0,0
143,250000,235237,0,994,0,0,0
144,250000,230417,0,994,0,0,0
145,250000,225290,0,994,0,0,0
146,250000,220360,0,994,0,0,0
147,250000,215484,0,994,0,0,0
148,250000,210428,0,994,0,0,0
149,250000,205582,0,994,0,0,0
150,250000,200756,0,1174,0,0,0
151,250000,244145,0,1174,0,0,0
152,250000,238157,0,1174,0,0,0
153,250000,232290,0,1174,0,0,0
154,250000,226403,0,1174,0,0,0
155,250000,220429,0,1174,0,0,0
156,250000,214787,0,1174,0,0,0
157,250000,208878,0,1174,0,0,0
158,250000,203094,0,1174,0,0,0
159,250000,197217,0,1174,0,0,0
160,250000,191100,0,1445,0,0,0
