"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup","prey1catchRateMean","prey1catchRateICinf","prey1catchRateICsup","prey2catchRateMean","prey2catchRateICinf","prey2catchRateICsup"
0,30,250000,250000,250000,250000,250000,250000,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,250000,250000,250000,245023.466666667,244990.166666667,245056.066666667,0,0,0,85.2333333333333,84.3,86.1,0,0,0,0,0,0,0,0,0,0,0,0,-0.147666666666667,-0.157333333333333,-0.139666666666667,0,0,0,0,0,0,0,0,0
20,30,250000,250000,250000,245734.7,245683.2,245792.633333333,0,0,0,89.9333333333333,88.0666666666667,91.4666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.0549091626356133,0.0402910376895916,0.0702177853902006,0,0,0,0,0,0,0,0,0
30,30,250000,250000,250000,245498.533333333,245407.533333333,245599.2,0,0,0,111.633333333333,109.2,114.266666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.242745373808301,0.218413938568753,0.269141365888866,0,0,0,0,0,0,0,0,0
40,30,250000,250000,250000,244426.466666667,244297.833333333,244560.366666667,0,0,0,138.266666666667,134.8,142.033333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.239396280039695,0.219071217928676,0.260105192551475,0,0,0,0,0,0,0,0,0
50,30,250000,250000,250000,243106.033333333,242931.966666667,243288.333333333,0,0,0,164.3,160.566666666667,168.166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.190078519096853,0.169471366159616,0.20931716991455,0,0,0,0,0,0,0,0,0
60,30,250000,250000,250000,241805.366666667,241588.366666667,242009.8,0,0,0,199.8,194.5,205.366666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.216560393774572,0.191230040483343,0.240203723690703,0,0,0,0,0,0,0,0,0
70,30,250000,250000,250000,240016.2,239752.033333333,240269.666666667,0,0,0,240.033333333333,233.133333333333,247.066666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.202598997725907,0.179533386874511,0.227171826727438,0,0,0,0,0,0,0,0,0
80,30,250000,250000,250000,237990.766666667,237634.366666667,238338.566666667,0,0,0,291.333333333333,283.233333333333,299.333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.215331542905965,0.195857115489758,0.233972771657861,0,0,0,0,0,0,0,0,0
90,30,250000,250000,250000,235465.133333333,235076.3,235863.266666667,0,0,0,350.9,339.433333333333,361.066666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.204616477206339,0.186905269625515,0.221690800121913,0,0,0,0,0,0,0,0,0
100,30,250000,250000,250000,232461.133333333,231852.7,232984.2,0,0,0,423.033333333333,410.933333333333,434.866666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.207124105625069,0.192882075556899,0.222907796289207,0,0,0,0,0,0,0,0,0
110,30,250000,250000,250000,228837.1,228276.433333333,229460.8,0,0,0,512.833333333333,499.6,525.9,0,0,0,0,0,0,0,0,0,0,0,0,0.213268867840994,0.199868756463556,0.225214320683611,0,0,0,0,0,0,0,0,0
120,30,250000,250000,250000,224371,223702.733333333,225061,0,0,0,623.5,607.966666666667,640.133333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.216092084739723,0.208410144717374,0.224394351828789,0,0,0,0,0,0,0,0,0
130,30,250000,250000,250000,218840.733333333,218117.966666667,219614.133333333,0,0,0,758.866666666667,739.233333333333,778.7,0,0,0,0,0,0,0,0,0,0,0,0,0.21734741686005,0.209548242038272,0.225230422618985,0,0,0,0,0,0,0,0,0
140,30,250000,250000,250000,212081.4,211116.466666667,212959.466666667,0,0,0,914.433333333333,890.933333333333,938.733333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.204885333967252,0.196041876230739,0.213816739653507,0,0,0,0,0,0,0,0,0
150,30,250000,250000,250000,204209.3,202887.466666667,205411.066666667,0,0,0,1102.9,1072.93333333333,1131.46666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.206427030739226,0.198359388784925,0.214720243784953,0,0,0,0,0,0,0,0,0
