"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,3,62500,62500,62500,62500,62500,62500,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,62500,62500,62500,60043.3333333333,59943,60181,0,0,0,123.333333333333,104,135,0,0,0,0,0,0,0,0,0,0,0,0,23.3333333333333,13,35,0,0,0
20,3,62500,62500,62500,59366.3333333333,59037,59854,0,0,0,192.333333333333,169,214,0,0,0,0,0,0,0,0,0,0,0,0,56.3700405239845,48.0916030534351,62.5,0,0,0
30,3,62500,62500,62500,57576.6666666667,57102,58135,0,0,0,311,277,330,0,0,0,0,0,0,0,0,0,0,0,0,62.1149556084743,52.3364485981308,70.1030927835052,0,0,0
40,3,62500,62500,62500,54742.6666666667,54262,55598,0,0,0,477.333333333333,414,519,0,0,0,0,0,0,0,0,0,0,0,0,53.2910196514546,49.4584837545126,59.2024539877301,0,0,0
50,3,62500,62500,62500,50578,49499,52100,0,0,0,761,698,803,0,0,0,0,0,0,0,0,0,0,0,0,60.01102574682,54.7206165703276,68.5990338164251,0,0,0
60,3,62500,62500,62500,43445.6666666667,42308,45147,0,0,0,1200.66666666667,1108,1278,0,0,0,0,0,0,0,0,0,0,0,0,57.79705061116,55.4987212276215,59.1531755915318,0,0,0
70,3,62500,62500,62500,32659,31285,34608,0,0,0,1915.66666666667,1819,1969,0,0,0,0,0,0,0,0,0,0,0,0,59.7801687881492,54.0688575899843,64.1696750902527,0,0,0
80,3,62500,62500,62500,16787.6666666667,15302,18720,0,0,0,2873,2733,2959,0,0,0,0,0,0,0,0,0,0,0,0,49.9826600345319,48.6541391569325,51.0464522715671,0,0,0
90,3,62500,62500,62500,4738.33333333333,3912,6113,0,0,0,3580.66666666667,3479,3653,0,0,0,0,0,0,0,0,0,0,0,0,24.7000802462781,22.0006759040216,27.296011708745,0,0,0
