"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,3,62500,62500,62500,62500,62500,62500,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,62500,62500,62500,60037,59991,60064,0,0,0,71,61,81,0,0,0,0,0,0,0,0,0,0,0,0,-29,-39,-19,0,0,0
20,3,62500,62500,62500,60724.6666666667,60423,60996,0,0,0,75,64,91,0,0,0,0,0,0,0,0,0,0,0,0,5.74687414780798,-9.85915492957746,14.7540983606557,0,0,0
30,3,62500,62500,62500,60613.6666666667,60247,60889,0,0,0,76.6666666666667,71,83,0,0,0,0,0,0,0,0,0,0,0,0,3.57257326007326,-8.79120879120879,10.9375,0,0,0
40,3,62500,62500,62500,60612,60388,60847,0,0,0,79,60,95,0,0,0,0,0,0,0,0,0,0,0,0,2.28653680697585,-7.69705955028418,14.4578313253012,0,0,0
50,3,62500,62500,62500,60500.6666666667,60078,61001,0,0,0,91.6666666666667,66,112,0,0,0,0,0,0,0,0,0,0,0,0,15.3958065896449,10,18.2926829268293,0,0,0
60,3,62500,62500,62500,60185.6666666667,59722,60778,0,0,0,98.3333333333333,72,122,0,0,0,0,0,0,0,0,0,0,0,0,7.3810639532289,4.12371134020619,9.09090909090909,0,0,0
70,3,62500,62500,62500,60017.6666666667,59414,60455.6666666667,0,0,0,106.666666666667,71,125,0,0,0,0,0,0,0,0,0,0,0,0,7.94746824409218,-1.38888888888889,22.7722772277228,0,0,0
80,3,62500,62500,62500,59809,59350,60626,0,0,0,108,83,125,0,0,0,0,0,0,0,0,0,0,0,0,3.50262002120248,-7.2,16.9014084507042,0,0,0
90,3,62500,62500,62500,59849,59423,60456,0,0,0,117,98,132,0,0,0,0,0,0,0,0,0,0,0,0,9.32754466140424,4.31034482758621,18.0722891566265,0,0,0
100,3,62500,62500,62500,59577,59241,59999,0,0,0,118.666666666667,107,129,0,0,0,0,0,0,0,0,0,0,0,0,2.02816663855625,-2.27272727272727,9.18367346938776,0,0,0
110,3,62500,62500,62500,59558.6666666667,59309,59856,0,0,0,120.666666666667,105,138,0,0,0,0,0,0,0,0,0,0,0,0,1.4247506580695,-1.86915887850467,6.97674418604651,0,0,0
120,3,62500,62500,62500,59452.6666666667,59012,59889,0,0,0,124.333333333333,108,138,0,0,0,0,0,0,0,0,0,0,0,0,3.19327731092437,0,6.72268907563025,0,0,0
130,3,62500,62500,62500,59426,59085,59884,0,0,0,126.666666666667,93,149,0,0,0,0,0,0,0,0,0,0,0,0,0.91451430889979,-13.8888888888889,8.66141732283465,0,0,0
140,3,62500,62500,62500,59379,58895,60215,0,0,0,128.333333333333,90,149,0,0,0,0,0,0,0,0,0,0,0,0,0.910595074116257,-3.2258064516129,7.97101449275362,0,0,0
150,3,62500,62500,62500,59279,58803,60192,0,0,0,133.333333333333,96,158,0,0,0,0,0,0,0,0,0,0,0,0,4.23564504101417,0,6.66666666666667,0,0,0
160,3,62500,62500,62500,59114.6666666667,58538,60043,0,0,0,144.666666666667,111,166,0,0,0,0,0,0,0,0,0,0,0,0,9.40751257152766,5.06329113924051,15.625,0,0,0
170,3,62500,62500,62500,58842.6666666667,58224,59359.3333333333,0,0,0,158,132,182,0,0,0,0,0,0,0,0,0,0,0,0,10.156100387088,1.91082802547771,18.9189189189189,0,0,0
180,3,62500,62500,62500,58536.6666666667,57913,59172,0,0,0,180.666666666667,151,218,0,0,0,0,0,0,0,0,0,0,0,0,14.0997197247197,8.125,19.7802197802198,0,0,0
