"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,62500,62500,0,100,0,0,0,0,0,0
1,10,62500,59977,0,101,0,0,0,0,1,0
1,20,62500,60002,0,167,0,0,0,0,65.3465346534653,0
1,30,62500,58355,0,237,0,0,0,0,41.9161676646707,0
1,40,62500,56460,0,398,0,0,0,0,67.9324894514768,0
1,50,62500,52650,0,594,0,0,0,0,49.2462311557789,0
1,60,62500,47448,0,911,0,0,0,0,53.3670033670034,0
1,70,62500,39990,0,1339,0,0,0,0,46.9813391877058,0
1,80,62500,29528,0,2035,0,0,0,0,51.9790888722928,0
1,90,62500,14757,0,2952,0,0,0,0,45.0614250614251,0
1,100,62500,4002,0,4095,0,0,0,0,38.719512195122,0
1,110,62500,681,0,4928,0,0,0,0,20.3418803418803,0
1,120,62500,92,0,5340,0,0,0,0,8.36038961038961,0
1,130,62500,20,0,5475,0,0,0,0,2.52808988764045,0
1,140,62500,35,0,5547,0,0,0,0,1.31506849315068,0
1,150,62500,44,0,5575,0,0,0,0,0.50477735712998,0
1,160,62500,1,0,5656,0,0,0,0,1.45291479820628,0
1,170,62500,0,0,5631,0,0,0,0,-0.442008486562942,0
1,180,62500,7,0,5644,0,0,0,0,0.230864855265495,0
1,190,62500,0,0,5631,0,0,0,0,-0.230333097094259,0
1,200,62500,6,0,5618,0,0,0,0,-0.230864855265495,0
1,210,62500,0,0,5706,0,0,0,0,1.56639373442506,0
1,220,62500,0,0,5654,0,0,0,0,-0.911321416053277,0
1,230,62500,16,0,5638,0,0,0,0,-0.282985496993279,0
1,240,62500,36,0,5597,0,0,0,0,-0.727208229868748,0
1,250,62500,19,0,5635,0,0,0,0,0.67893514382705,0
1,260,62500,5,0,5652,0,0,0,0,0.301685891748004,0
1,270,62500,26,0,5682,0,0,0,0,0.530785562632696,0
1,280,62500,7,0,5692,0,0,0,0,0.175994368180218,0
1,290,62500,31,0,5702,0,0,0,0,0.175685172171469,0
1,300,62500,31,0,5634,0,0,0,0,-1.19256401262715,0
1,310,62500,27,0,5118,0,61,130,0,-9.15867944621938,0
1,320,62500,108,0,4759,0,60,177,0,-7.01445877295819,36.1538461538462
1,330,62500,197,0,4472,0,53,222,0,-6.03067871401555,25.4237288135593
1,340,62500,470,0,4131,0,73,282,0,-7.62522361359571,27.027027027027
1,350,62500,693,0,3814,0,87,370,0,-7.67368675865408,31.2056737588652
1,360,62500,2217,0,3314,0,109,439,0,-13.1095962244363,18.6486486486486
1,370,62500,5602,0,2730,0,111,490,0,-17.6222088111044,11.6173120728929
1,380,62500,12402,0,2203,0,99,480,0,-19.3040293040293,-2.04081632653061
1,390,62500,20829,0,1829,0,76,388,0,-16.9768497503404,-19.1666666666667
1,400,62500,26508,0,1590,0,59,270,0,-13.0672498633133,-30.4123711340206
1,410,62500,28742,0,1687,0,37,154,0,6.10062893081761,-42.962962962963
1,420,62500,24146,0,2127,0,28,90,0,26.081802015412,-41.5584415584416
1,430,62500,14887,0,2722,0,35,84,0,27.9736718382699,-6.66666666666667
1,440,62500,6589,0,3445,0,22,90,0,26.5613519470977,7.14285714285714
1,450,62500,1872,0,4080,0,30,111,0,18.4325108853411,23.3333333333333
1,460,62500,530,0,4392,0,48,141,0,7.64705882352941,27.027027027027
1,470,62500,383,0,4494,0,50,171,0,2.3224043715847,21.2765957446809
1,480,62500,280,0,4285,0,59,227,0,-4.65064530485091,32.7485380116959
1,490,62500,676,0,4016,0,78,279,0,-6.27771295215869,22.9074889867841
1,500,62500,1007,0,3670,0,93,355,0,-8.61553784860558,27.2401433691756
1,510,62500,3105,0,3344,0,83,446,0,-8.88283378746594,25.6338028169014
1,520,62500,5357,0,2768,0,116,488,0,-17.2248803827751,9.41704035874439
1,530,62500,12162,0,2161,0,118,478,0,-21.9291907514451,-2.04918032786885
1,540,62500,21325,0,1764,0,87,385,0,-18.3711244794077,-19.4560669456067
1,550,62500,27309,0,1580,0,57,263,0,-10.4308390022676,-31.6883116883117
1,560,62500,29478,0,1612,0,39,169,0,2.0253164556962,-35.7414448669202
1,570,62500,26803,0,1876,0,34,107,0,16.3771712158809,-36.6863905325444
1,580,62500,20087,0,2341,0,32,97,0,24.7867803837953,-9.34579439252336
1,590,62500,11235,0,3057,0,30,83,0,30.5852199914566,-14.4329896907216
1,600,62500,4380,0,3794,0,31,95,0,24.1086032057573,14.4578313253012
1,610,62500,1178,0,4157,0,34,109,0,9.5677385345282,14.7368421052632
1,620,62500,686,0,4362,0,48,153,0,4.93144094298773,40.3669724770642
1,630,62500,589,0,4416,0,56,195,0,1.23796423658872,27.4509803921569
1,640,62500,511,0,4234,0,63,258,0,-4.1213768115942,32.3076923076923
1,650,62500,711,0,3866,0,79,337,0,-8.69154463863958,30.6201550387597
1,660,62500,1664,0,3443,0,116,434,0,-10.9415416451112,28.7833827893175
1,670,62500,3947,0,2853,0,125,481,0,-17.1362184141737,10.8294930875576
1,680,62500,10059,0,2259,0,111,508,0,-20.8201892744479,5.61330561330561
1,690,62500,21220,0,1665,0,108,436,0,-26.2948207171315,-14.1732283464567
1,700,62500,30217,0,1372,0,60,282,0,-17.5975975975976,-35.3211009174312
1,710,62500,33717,0,1409,0,51,163,0,2.69679300291545,-42.1985815602837
1,720,62500,31082,0,1623,0,30,86,0,15.1880766501065,-47.239263803681
1,730,62500,24405,0,2234,0,19,53,0,37.6463339494763,-38.3720930232558
1,740,62500,12464,0,2989,0,18,51,0,33.7958818263205,-3.77358490566038
1,750,62500,3807,0,3842,0,15,60,0,28.5379725660756,17.6470588235294
1,760,62500,1034,0,4505,0,24,74,0,17.2566371681416,23.3333333333333
1,770,62500,227,0,4775,0,32,105,0,5.99334073251942,41.8918918918919
1,780,62500,234,0,4852,0,41,147,0,1.61256544502618,40
1,790,62500,179,0,4664,0,57,195,0,-3.87469084913438,32.6530612244898
1,800,62500,348,0,4322,0,66,260,0,-7.3327615780446,33.3333333333333
1,810,62500,633,0,3872,0,88,340,0,-10.4118463674225,30.7692307692308
1,820,62500,1761,0,3477,0,110,417,0,-10.2014462809917,22.6470588235294
1,830,62500,3301,0,2937,0,111,496,0,-15.5306298533218,18.9448441247002
1,840,62500,9015,0,2376,0,113,511,0,-19.1011235955056,3.0241935483871
1,850,62500,17615,0,1896,0,87,440,0,-20.2020202020202,-13.894324853229
1,860,62500,25550,0,1606,0,71,317,0,-15.295358649789,-27.9545454545455
1,870,62500,30008,0,1492,0,49,197,0,-7.09838107098381,-37.8548895899054
1,880,62500,29706,0,1687,0,32,121,0,13.0697050938338,-38.5786802030457
1,890,62500,23743,0,2149,0,24,87,0,27.3858921161826,-28.099173553719
1,900,62500,14157,0,2863,0,16,74,0,33.2247557003257,-14.9425287356322
1,910,62500,5272,0,3630,0,29,80,0,26.7900803353126,8.10810810810811
1,920,62500,1617,0,4300,0,29,89,0,18.4573002754821,11.25
1,930,62500,539,0,4555,0,39,116,0,5.93023255813953,30.3370786516854
1,940,62500,297,0,4507,0,41,149,0,-1.05378704720088,28.448275862069
1,950,62500,399,0,4476,0,51,223,0,-0.68781894830264,49.6644295302013
1,960,62500,411,0,4122,0,79,305,0,-7.9088471849866,36.7713004484305
1,970,62500,1098,0,3709,0,97,380,0,-10.0194080543426,24.5901639344262
1,980,62500,2751,0,3082,0,114,445,0,-16.9048260986789,17.1052631578947
1,990,62500,7020,0,2635,0,109,459,0,-14.5035691109669,3.14606741573034
1,1000,62500,13466,0,2173,0,87,443,0,-17.5332068311195,-3.48583877995643
2,0,62500,62500,0,100,0,0,0,0,0,0
2,10,62500,59970,0,107,0,0,0,0,7,0
2,20,62500,59821,0,200,0,0,0,0,86.9158878504673,0
2,30,62500,57435,0,270,0,0,0,0,35,0
2,40,62500,55682,0,440,0,0,0,0,62.962962962963,0
2,50,62500,51484,0,654,0,0,0,0,48.6363636363636,0
2,60,62500,46119,0,1007,0,0,0,0,53.9755351681957,0
2,70,62500,37665,0,1485,0,0,0,0,47.46772591857,0
2,80,62500,26024,0,2296,0,0,0,0,54.6127946127946,0
2,90,62500,11088,0,3236,0,0,0,0,40.9407665505226,0
2,100,62500,2652,0,4299,0,0,0,0,32.849196538937,0
2,110,62500,313,0,5048,0,0,0,0,17.4226564317283,0
2,120,62500,17,0,5406,0,0,0,0,7.0919175911252,0
2,130,62500,34,0,5498,0,0,0,0,1.70181280059193,0
2,140,62500,18,0,5475,0,0,0,0,-0.418333939614405,0
2,150,62500,48,0,5544,0,0,0,0,1.26027397260274,0
2,160,62500,15,0,5587,0,0,0,0,0.775613275613276,0
2,170,62500,22,0,5620,0,0,0,0,0.590656882047611,0
