"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,3,62500,62500,62500,62500,62500,62500,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,62500,62500,62500,60018,59965,60065,0,0,0,96.3333333333333,95,98,0,0,0,0,0,0,0,0,0,0,0,0,-3.66666666666667,-5,-2,0,0,0
20,3,62500,62500,62500,60127.6666666667,60080.3333333333,60196,0,0,0,120.666666666667,116,124,0,0,0,0,0,0,0,0,0,0,0,0,25.2397362453753,22.1052631578947,27.0833333333333,0,0,0
30,3,62500,62500,62500,59483.3333333333,59376,59612,0,0,0,166,160,178,0,0,0,0,0,0,0,0,0,0,0,0,37.5423208543798,31.1475409836066,41.6759362254357,0,0,0
40,3,62500,62500,62500,58316.6666666667,58073,58507,0,0,0,224,217,234,0,0,0,0,0,0,0,0,0,0,0,0,35.0702247191011,31.4606741573034,38.125,0,0,0
50,3,62500,62500,62500,56927,56633,57105,0,0,0,310.666666666667,292,330,0,0,0,0,0,0,0,0,0,0,0,0,38.669826905121,32.1266968325792,42.8571428571429,0,0,0
60,3,62500,62500,62500,54727,54181,55297,0,0,0,425.333333333333,396,464,0,0,0,0,0,0,0,0,0,0,0,0,36.8053491164406,34.1935483870968,40.6060606060606,0,0,0
70,3,62500,62500,62500,51834.3333333333,50878,52472,0,0,0,577.333333333333,554,623,0,0,0,0,0,0,0,0,0,0,0,0,35.8639444846341,33.1730769230769,40.1515151515151,0,0,0
80,3,62500,62500,62500,48134,46951,48833,0,0,0,776.333333333333,739,842,0,0,0,0,0,0,0,0,0,0,0,0,34.4412305520487,33.1531531531532,35.1524879614767,0,0,0
90,3,62500,62500,62500,43119.3333333333,41327,44182,0,0,0,1054.33333333333,1008,1129,0,0,0,0,0,0,0,0,0,0,0,0,35.8839424539649,34.0855106888361,37.1657754010695,0,0,0
100,3,62500,62500,62500,36143.6666666667,34185,37493,0,0,0,1447,1354,1578,0,0,0,0,0,0,0,0,0,0,0,0,37.1415130763957,34.3253968253968,39.7697077059345,0,0,0
110,3,62500,62500,62500,26837.3333333333,23967,28959,0,0,0,1931.33333333333,1790,2081,0,0,0,0,0,0,0,0,0,0,0,0,33.5188170978167,31.8757921419518,36.4797728885735,0,0,0
120,3,62500,62500,62500,17002,14767,19073,0,0,0,2569,2476,2691,0,0,0,0,0,0,0,0,0,0,0,0,33.2407120425732,29.3128303700144,38.3240223463687,0,0,0
130,3,62500,62500,62500,7797,6494,8888,0,0,0,3116.66666666667,3029,3218,0,0,0,0,0,0,0,0,0,0,0,0,21.3611875048777,19.5837978446674,22.3344103392569,0,0,0
140,3,62500,62500,62500,2905.66666666667,2746,3163,0,0,0,3578.33333333333,3525,3661,0,0,0,0,0,0,0,0,0,0,0,0,14.8381809956486,13.7663144810441,16.3750412677451,0,0,0
150,3,62500,62500,62500,1077,890,1389,0,0,0,3724.66666666667,3705.66666666667,3760,0,0,0,0,0,0,0,0,0,0,0,0,4.12024305609407,1.36574706364381,5.94533671456748,0,0,0
160,3,62500,62500,62500,809.333333333333,699,1017,0,0,0,3781.33333333333,3760,3799,0,0,0,0,0,0,0,0,0,0,0,0,1.52401786560985,1.03723404255319,2.21442073994059,0,0,0
170,3,62500,62500,62500,628.333333333333,552,719,0,0,0,3835.66666666667,3817,3846.66666666667,0,0,0,0,0,0,0,0,0,0,0,0,1.43959120782058,0.473808897078178,2.12765957446809,0,0,0
180,3,62500,62500,62500,772.666666666667,646,854,0,0,0,3780.66666666667,3763,3797,0,0,0,0,0,0,0,0,0,0,0,0,-1.43392121607179,-1.51041666666667,-1.37662337662338,0,0,0
190,3,62500,62500,62500,655,506,868,0,0,0,3759.66666666667,3748,3767,0,0,0,0,0,0,0,0,0,0,0,0,-0.554884741994768,-0.790097445351593,-0.398618123837364,0,0,0
200,3,62500,62500,62500,763,719,810,0,0,0,3783,3777,3794,0,0,0,0,0,0,0,0,0,0,0,0,0.62156935096864,0.2920095566764,1.2273212379936,0,0,0
210,3,62500,62500,62500,745,704,783,0,0,0,3814,3788,3838,0,0,0,0,0,0,0,0,0,0,0,0,0.818928500291466,0.291236431029918,1.15972588297312,0,0,0
220,3,62500,62500,62500,686.666666666667,578,795,0,0,0,3803.33333333333,3790,3823,0,0,0,0,0,0,0,0,0,0,0,0,-0.274861503974241,-1.25065138092757,0.923970432946146,0,0,0
230,3,62500,62500,62500,727.333333333333,487,881,0,0,0,3818,3777,3853,0,0,0,0,0,0,0,0,0,0,0,0,0.385030011269491,-0.526731630234396,0.897097625329815,0,0,0
240,3,62500,62500,62500,655,569,770,0,0,0,3799,3764,3838,0,0,0,0,0,0,0,0,0,0,0,0,-0.494466750748562,-1.50532052945757,0.366108786610879,0,0,0
