timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,62500,62500,0,100,0,0,0
10,62500,59937,0,150,0,0,0
20,62500,58685,0,238,0,0,0
30,62500,56582,0,372,0,0,0
40,62500,53282,0,608,0,0,0
50,62500,47217,0,979,0,0,0
60,62500,37867,0,1632,0,0,0
70,62500,23158,0,2574,0,0,0
80,62500,7552,0,3266,0,0,0
90,62500,2165,0,3054,0,0,0
100,62500,2251,0,3173,0,0,0
110,62500,2078,0,3090,0,0,0
120,62500,2670,0,3055,0,0,0
130,62500,2471,0,3140,0,0,0
140,62500,2056,0,3129,0,0,0
150,62500,2032,0,3110,0,0,0
160,62500,1832,0,3069,0,0,0
170,62500,2206,0,3118,0,0,0
180,62500,1730,0,3106,0,0,0
190,62500,2191,0,3183,0,0,0
200,62500,1623,0,2977,0,0,0
210,62500,3198,0,3139,0,0,0
220,62500,2153,0,3000,0,0,0
230,62500,2421,0,3208,0,0,0
240,62500,1687,0,3053,0,0,0
250,62500,2019,0,3108,0,0,0
260,62500,2703,0,3075,0,0,0
270,62500,2109,0,3120,0,0,0
280,62500,2187,0,2975,0,0,0
290,62500,2644,0,3214,0,0,0
300,62500,2124,0,2937,0,0,0
310,62500,3940,0,2957,0,36,81
320,62500,4608,0,2961,0,29,80
330,62500,3307,0,3157,0,27,95
340,62500,2620,0,2919,0,36,105
350,62500,4671,0,3014,0,36,119
360,62500,3660,0,2934,0,31,132
370,62500,4342,0,3054,0,39,143
380,62500,3823,0,2934,0,47,151
390,62500,4854,0,2884,0,51,171
400,62500,5441,0,2896,0,53,194
410,62500,5392,0,2872,0,59,217
420,62500,5931,0,2791,0,70,238
430,62500,7505,0,2736,0,67,238
440,62500,7752,0,2861,0,71,245
450,62500,6105,0,2812,0,76,238
460,62500,7042,0,2794,0,69,266
470,62500,7513,0,2789,0,61,257
480,62500,8130,0,2735,0,64,267
490,62500,8096,0,2718,0,75,278
500,62500,8524,0,2701,0,73,266
510,62500,9143,0,2649,0,60,262
520,62500,9684,0,2641,0,76,262
530,62500,9394,0,2643,0,71,267
540,62500,9357,0,2715,0,74,256
550,62500,8747,0,2770,0,63,247
560,62500,8003,0,2693,0,72,240
570,62500,9102,0,2676,0,80,248
580,62500,8804,0,2779,0,70,239
590,62500,8512,0,2672,0,82,248
600,62500,9963,0,2643,0,63,243
610,62500,9703,0,2694,0,68,230
620,62500,8230,0,2724,0,62,218
630,62500,8183,0,2777,0,66,247
640,62500,8358,0,2672,0,76,240
650,62500,8314,0,2743,0,71,249
660,62500,8309,0,2761,0,77,274
670,62500,8368,0,2697,0,79,287
680,62500,9175,0,2614,0,81,288
690,62500,10868,0,2531,0,68,292
700,62500,12172,0,2600,0,72,274
710,62500,10069,0,2620,0,69,265
720,62500,10209,0,2638,0,56,253
730,62500,10018,0,2648,0,62,266
740,62500,9578,0,2720,0,72,270
750,62500,8645,0,2742,0,80,273
760,62500,8292,0,2615,0,82,267
770,62500,10288,0,2704,0,65,280
780,62500,9140,0,2630,0,84,272
790,62500,9984,0,2692,0,75,269
800,62500,8928,0,2672,0,63,253
810,62500,9294,0,2735,0,64,253
820,62500,8617,0,2705,0,79,235
830,62500,8515,0,2758,0,73,236
840,62500,7667,0,2761,0,64,236
850,62500,7805,0,2807,0,69,250
860,62500,7710,0,2589,0,81,272
870,62500,11307,0,2608,0,76,259
880,62500,10758,0,2586,0,73,255
890,62500,10382,0,2722,0,72,252
900,62500,8804,0,2710,0,75,254
910,62500,8104,0,2751,0,66,257
920,62500,8363,0,2746,0,71,271
930,62500,8136,0,2677,0,70,258
940,62500,9231,0,2726,0,55,266
950,62500,8906,0,2712,0,77,266
960,62500,8849,0,2688,0,78,267
970,62500,8820,0,2732,0,78,275
980,62500,8544,0,2674,0,71,272
990,62500,9007,0,2691,0,68,265
1000,62500,8508,0,2749,0,86,255
