"replicate","timeStep","resource1amount","resource2amount","prey1PopulationSize","prey2PopulationSize","prey1catches","prey2catches","predator1PopulationSize","prey1growthRate","prey2growthRate","predatorGrowthRate"
1,0,62500,62500,0,100,0,0,0,0,0,0
1,10,62500,59998,0,159,0,0,0,0,59,0
1,20,62500,58574,0,243,0,0,0,0,52.8301886792453,0
1,30,62500,56491,0,446,0,0,0,0,83.5390946502058,0
1,40,62500,51530,0,751,0,0,0,0,68.3856502242152,0
1,50,62500,43573,0,1327,0,0,0,0,76.6977363515313,0
1,60,62500,29249,0,2266,0,0,0,0,70.7611152976639,0
1,70,62500,10942,0,3640,0,0,0,0,60.6354810238305,0
1,80,62500,880,0,3844,0,0,0,0,5.6043956043956,0
1,90,62500,386,0,3825,0,0,0,0,-0.494276795005203,0
1,100,62500,442,0,3619,0,0,0,0,-5.38562091503268,0
1,110,62500,678,0,3726,0,0,0,0,2.95661785023487,0
1,120,62500,434,0,3581,0,0,0,0,-3.89157273215244,0
1,130,62500,946,0,3620,0,0,0,0,1.08908126221726,0
1,140,62500,950,0,3569,0,0,0,0,-1.40883977900552,0
1,150,62500,1037,0,3634,0,0,0,0,1.82123844214066,0
1,160,62500,995,0,3496,0,0,0,0,-3.79746835443038,0
1,170,62500,961,0,3660,0,0,0,0,4.69107551487414,0
1,180,62500,907,0,3615,0,0,0,0,-1.22950819672131,0
1,190,62500,509,0,3608,0,0,0,0,-0.193637621023513,0
1,200,62500,715,0,3643,0,0,0,0,0.970066518847007,0
1,210,62500,622,0,3621,0,0,0,0,-0.603897886357398,0
1,220,62500,824,0,3550,0,0,0,0,-1.96078431372549,0
1,230,62500,848,0,3719,0,0,0,0,4.76056338028169,0
1,240,62500,626,0,3549,0,0,0,0,-4.57112126915838,0
1,250,62500,877,0,3656,0,0,0,0,3.01493378416455,0
1,260,62500,694,0,3591,0,0,0,0,-1.77789934354486,0
1,270,62500,758,0,3617,0,0,0,0,0.724032302979671,0
1,280,62500,872,0,3572,0,0,0,0,-1.24412496544097,0
1,290,62500,1001,0,3653,0,0,0,0,2.26763717805151,0
1,300,62500,606,0,3549,0,0,0,0,-2.84697508896797,0
1,310,62500,1311,0,3433,0,36,90,0,-3.26852634544942,0
1,320,62500,1568,0,3517,0,42,106,0,2.44683949898048,17.7777777777778
1,330,62500,1284,0,3505,0,37,129,0,-0.341199886266705,21.6981132075472
1,340,62500,1797,0,3485,0,39,157,0,-0.570613409415121,21.7054263565891
1,350,62500,1642,0,3395,0,49,195,0,-2.58249641319943,24.203821656051
1,360,62500,2299,0,3347,0,56,232,0,-1.41384388807069,18.974358974359
1,370,62500,2727,0,3314,0,76,258,0,-0.985957573946818,11.2068965517241
