"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,3,62500,62500,62500,62500,62500,62500,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,62500,62500,62500,59975.3333333333,59915,60023,0,0,0,141.666666666667,130,149,0,0,0,0,0,0,0,0,0,0,0,0,41.6666666666667,30,49,0,0,0
20,3,62500,62500,62500,58965.6666666667,58779,59295,0,0,0,237.666666666667,219,248,0,0,0,0,0,0,0,0,0,0,0,0,67.8084077670361,65.1006711409396,69.8630136986301,0,0,0
30,3,62500,62500,62500,56558.3333333333,56274,57118,0,0,0,394.666666666667,336,427,0,0,0,0,0,0,0,0,0,0,0,0,65.5800960903997,53.4246575342466,72.1774193548387,0,0,0
40,3,62500,62500,62500,52608.3333333333,51625,54160,0,0,0,642.666666666667,534,698,0,0,0,0,0,0,0,0,0,0,0,0,62.5739846579183,58.9285714285714,64.8630356702472,0,0,0
50,3,62500,62500,62500,46330,44958,48941,0,0,0,1071.33333333333,915,1166,0,0,0,0,0,0,0,0,0,0,0,0,67.0659890481232,62.3209169054441,71.3483146067416,0,0,0
60,3,62500,62500,62500,35773,33225,39769,0,0,0,1782,1483,1987,0,0,0,0,0,0,0,0,0,0,0,0,66.0220925831033,62.0765027322404,70.4116638078902,0,0,0
70,3,62500,62500,62500,19475.3333333333,14903,25654,0,0,0,2835.33333333333,2363,3180,0,0,0,0,0,0,0,0,0,0,0,0,59.1072899159683,57.9424307036247,60.0402617010569,0,0,0
80,3,62500,62500,62500,5700.33333333333,2603,9842,0,0,0,3665.66666666667,3561,3763,0,0,0,0,0,0,0,0,0,0,0,0,30.9979329077684,18.3333333333333,50.6982649174778,0,0,0
90,3,62500,62500,62500,858.333333333333,535,1254,0,0,0,3658.66666666667,3617,3686,0,0,0,0,0,0,0,0,0,0,0,0,-0.126921673705753,-3.87988307201701,3.14518393709632,0,0,0
100,3,62500,62500,62500,769.333333333333,668,898,0,0,0,3611.33333333333,3565,3650,0,0,0,0,0,0,0,0,0,0,0,0,-1.28452931525202,-3.28269126424308,0.0552944429084877,0,0,0
110,3,62500,62500,62500,743,658,845,0,0,0,3556.66666666667,3527,3578,0,0,0,0,0,0,0,0,0,0,0,0,-1.50491381735917,-2.54213871235148,0,0,0,0
120,3,62500,62500,62500,928.333333333333,797,997,0,0,0,3560.33333333333,3520,3581,0,0,0,0,0,0,0,0,0,0,0,0,0.10207868319925,-0.198468953785086,0.448807854137447,0,0,0
130,3,62500,62500,62500,791,651,1068,0,0,0,3572.66666666667,3553,3612,0,0,0,0,0,0,0,0,0,0,0,0,0.35918064118381,-0.781904495950852,2.61363636363636,0,0,0
140,3,62500,62500,62500,892.666666666667,761,995,0,0,0,3515.66666666667,3477,3567,0,0,0,0,0,0,0,0,0,0,0,0,-1.58757431239251,-3.01771871539313,0.394033211370673,0,0,0
150,3,62500,62500,62500,741.666666666667,706,782,0,0,0,3569,3495,3618,0,0,0,0,0,0,0,0,0,0,0,0,1.54483013691524,-2.01850294365013,4.05522001725626,0,0,0
160,3,62500,62500,62500,743,622,962,0,0,0,3511.33333333333,3487,3533,0,0,0,0,0,0,0,0,0,0,0,0,-1.58648318270115,-3.62078496406855,1.08726752503577,0,0,0
170,3,62500,62500,62500,1032.33333333333,940,1190,0,0,0,3546.33333333333,3479,3601,0,0,0,0,0,0,0,0,0,0,0,0,1.00714391911715,-1.52844607981885,3.26928591912819,0,0,0
180,3,62500,62500,62500,992,853,1197,0,0,0,3482.33333333333,3439.66666666667,3547,0,0,0,0,0,0,0,0,0,0,0,0,-1.77050408410869,-3.93368923855015,1.95458465076171,0,0,0
190,3,62500,62500,62500,917,729,1070,0,0,0,3605.66666666667,3535,3661,0,0,0,0,0,0,0,0,0,0,0,0,3.58025803561348,-0.33831406822667,5.90816028078386,0,0,0
200,3,62500,62500,62500,857.333333333333,752,960,0,0,0,3451.66666666667,3330,3513,0,0,0,0,0,0,0,0,0,0,0,0,-4.22460389405947,-9.04124556132204,-0.622347949080622,0,0,0
