"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,3,62500,62500,62500,62500,62500,62500,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,62500,62500,62500,59944.3333333333,59901,59975,0,0,0,89.3333333333333,87,93,0,0,0,0,0,0,0,0,0,0,0,0,-10.6666666666667,-13,-7,0,0,0
20,3,62500,62500,62500,60236.3333333333,60183,60272,0,0,0,98,93,101,0,0,0,0,0,0,0,0,0,0,0,0,9.7668846417456,5.68181818181818,16.0919540229885,0,0,0
30,3,62500,62500,62500,60046.6666666667,59907,60187,0,0,0,118.333333333333,110,126,0,0,0,0,0,0,0,0,0,0,0,0,20.9559601121402,8.91089108910891,27.9569892473118,0,0,0
40,3,62500,62500,62500,59556.3333333333,59357,59778,0,0,0,146.333333333333,134,154,0,0,0,0,0,0,0,0,0,0,0,0,23.6437201143083,21.8181818181818,26.890756302521,0,0,0
50,3,62500,62500,62500,58820.3333333333,58629,59094,0,0,0,189.333333333333,179,205,0,0,0,0,0,0,0,0,0,0,0,0,29.5177591016278,21.8543046357616,33.5820895522388,0,0,0
60,3,62500,62500,62500,57775.6666666667,57399,57969,0,0,0,222.333333333333,211,235,0,0,0,0,0,0,0,0,0,0,0,0,17.5399789885681,14.6341463414634,20.1086956521739,0,0,0
70,3,62500,62500,62500,56851,56503,57167,0,0,0,269,266,271,0,0,0,0,0,0,0,0,0,0,0,0,21.1948007071058,14.8936170212766,26.0663507109005,0,0,0
80,3,62500,62500,62500,55727,55714,55748,0,0,0,335,322,353,0,0,0,0,0,0,0,0,0,0,0,0,24.5215300106217,21.0526315789474,30.7407407407407,0,0,0
90,3,62500,62500,62500,54188.6666666667,53720,54464,0,0,0,393.666666666667,384,412,0,0,0,0,0,0,0,0,0,0,0,0,17.54506869053,16.6666666666667,18.4077325966721,0,0,0
100,3,62500,62500,62500,52577,52230,52832,0,0,0,470,453,490,0,0,0,0,0,0,0,0,0,0,0,0,19.3998300445509,17.96875,21.2987012987013,0,0,0
110,3,62500,62500,62500,50783,50415,51149,0,0,0,571.333333333333,560,582.333333333333,0,0,0,0,0,0,0,0,0,0,0,0,21.5897322904752,20.1284796573876,23.6203090507726,0,0,0
120,3,62500,62500,62500,48201.6666666667,47561,48603,0,0,0,681.666666666667,662,695,0,0,0,0,0,0,0,0,0,0,0,0,19.3734799351802,16.0202360876897,23.8859180035651,0,0,0
130,3,62500,62500,62500,45380.6666666667,44957,45980,0,0,0,836.333333333333,802,861,0,0,0,0,0,0,0,0,0,0,0,0,22.666014873059,21.1480362537764,23.8848920863309,0,0,0
140,3,62500,62500,62500,41629.3333333333,41116,42520,0,0,0,1006.66666666667,968,1042,0,0,0,0,0,0,0,0,0,0,0,0,20.3905206109089,17.3054587688734,23.1678486997636,0,0,0
150,3,62500,62500,62500,37439.6666666667,36757,38015,0,0,0,1211.33333333333,1155,1272,0,0,0,0,0,0,0,0,0,0,0,0,20.2986896578333,19.3181818181818,22.0729366602687,0,0,0
160,3,62500,62500,62500,32496.3333333333,31161,33934,0,0,0,1466,1432,1499,0,0,0,0,0,0,0,0,0,0,0,0,21.1232022342916,17.8459119496855,23.982683982684,0,0,0
170,3,62500,62500,62500,26185.3333333333,25368,27089,0,0,0,1752.66666666667,1708,1795,0,0,0,0,0,0,0,0,0,0,0,0,19.5507141741202,19.2737430167598,19.7464976651101,0,0,0
180,3,62500,62500,62500,19962,19098,20783,0,0,0,2048.33333333333,2029,2072,0,0,0,0,0,0,0,0,0,0,0,0,16.9054738782428,15.4317548746518,19.672131147541,0,0,0
