"timeStep","repNb","resource1amountMean","resource1amountICinf","resource1amountICsup","resource2amountMean","resource2amountICinf","resource2amountICsup","prey1PopulationSizeMean","prey1PopulationSizeICinf","prey1PopulationSizeICsup","prey2PopulationSizeMean","prey2PopulationSizeICinf","prey2PopulationSizeICsup","prey1catchesMean","prey1catchesICinf","prey1catchesICsup","prey2catchesMean","prey2catchesICinf","prey2catchesICsup","predator1PopulationSizeMean","predator1PopulationSizeICinf","predator1PopulationSizeICsup","prey1growthRateMean","prey1growthRateICinf","prey1growthRateICsup","prey2growthRateMean","prey2growthRateICinf","prey2growthRateICsup","predatorGrowthRateMean","predatorGrowthRateICinf","predatorGrowthRateICsup"
0,3,62500,62500,62500,62500,62500,62500,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,62500,62500,62500,60021.3333333333,59998,60042,0,0,0,177,172,181,0,0,0,0,0,0,0,0,0,0,0,0,77,72,81,0,0,0
20,3,62500,62500,62500,58155,57938,58309,0,0,0,342,327,362,0,0,0,0,0,0,0,0,0,0,0,0,93.1473739221322,89.3258426966292,100,0,0,0
30,3,62500,62500,62500,53924.3333333333,53296,54450,0,0,0,656.333333333333,626,689,0,0,0,0,0,0,0,0,0,0,0,0,91.9446941601062,90.3314917127072,94.0652818991098,0,0,0
40,3,62500,62500,62500,46132.6666666667,45501,46683,0,0,0,1261,1162,1332,0,0,0,0,0,0,0,0,0,0,0,0,92.0138206309102,88.1898879547924,97.0948012232416,0,0,0
50,3,62500,62500,62500,31170.3333333333,29280,33651,0,0,0,2421.33333333333,2254,2568,0,0,0,0,0,0,0,0,0,0,0,0,92.0726272741003,89.4491854150504,93.9759036144578,0,0,0
60,3,62500,62500,62500,9357.33333333333,7703,11014,0,0,0,4388.66666666667,4164,4587,0,0,0,0,0,0,0,0,0,0,0,0,81.3847230816233,78.6214953271028,84.7382431233363,0,0,0
70,3,62500,62500,62500,382,339,442,0,0,0,6035,5908,6139,0,0,0,0,0,0,0,0,0,0,0,0,37.6438661372725,33.834750381513,41.8828049951969,0,0,0
80,3,62500,62500,62500,3.66666666666667,0,8,0,0,0,6515.33333333333,6479,6582,0,0,0,0,0,0,0,0,0,0,0,0,7.99838405045349,5.53836129662812,11.408259986459,0,0,0
90,3,62500,62500,62500,1,0,3,0,0,0,6253.66666666667,6190,6312,0,0,0,0,0,0,0,0,0,0,0,0,-4.01554716739122,-4.54895913646877,-3.3955857385399,0,0,0
100,3,62500,62500,62500,0.666666666666667,0,2,0,0,0,6130.66666666667,6123,6145,0,0,0,0,0,0,0,0,0,0,0,0,-1.95943460098665,-2.97845373891001,-0.726978998384491,0,0,0
110,3,62500,62500,62500,2.66666666666667,0,5,0,0,0,5978,5931,6003,0,0,0,0,0,0,0,0,0,0,0,0,-2.49045332352776,-3.13571778539931,-2.02482037883736,0,0,0
120,3,62500,62500,62500,1.33333333333333,0,3,0,0,0,5974,5946,6005,0,0,0,0,0,0,0,0,0,0,0,0,-0.061725632715594,-0.949525237381309,1.24768167256786,0,0,0
130,3,62500,62500,62500,15.6666666666667,9,21,0,0,0,5949.66666666667,5910,5974,0,0,0,0,0,0,0,0,0,0,0,0,-0.406595165876193,-1.02160442136995,0.168180289270098,0,0,0
140,3,62500,62500,62500,13.3333333333333,0,39,0,0,0,5936,5826,6095,0,0,0,0,0,0,0,0,0,0,0,0,-0.217436535953407,-2.62410162126024,3.13028764805415,0,0,0
150,3,62500,62500,62500,0.333333333333333,0,1,0,0,0,5913,5791,6022,0,0,0,0,0,0,0,0,0,0,0,0,-0.320329623840739,-4.98769483182937,3.36422931685548,0,0,0
160,3,62500,62500,62500,12,1,29,0,0,0,5835.66666666667,5778,5881,0,0,0,0,0,0,0,0,0,0,0,0,-1.28812665148838,-3.43739621388243,-0.20249746878164,0,0,0
170,3,62500,62500,62500,4.33333333333333,0,7,0,0,0,5920.66666666667,5888,5975,0,0,0,0,0,0,0,0,0,0,0,0,1.47146315614812,-0.439634764964491,3.40948425060575,0,0,0
180,3,62500,62500,62500,5.33333333333333,0,11,0,0,0,5863,5804,5927,0,0,0,0,0,0,0,0,0,0,0,0,-0.974433532590822,-1.61044244787252,-0.509510869565217,0,0,0
190,3,62500,62500,62500,6.66666666666667,2,16,0,0,0,5903.66666666667,5866,5953,0,0,0,0,0,0,0,0,0,0,0,0,0.69714386624476,0.136565380675999,1.51619572708477,0,0,0
200,3,62500,62500,62500,8,0,21,0,0,0,5877.66666666667,5864,5887,0,0,0,0,0,0,0,0,0,0,0,0,-0.435715691875695,-1.4950445153704,0.272758267984998,0,0,0
210,3,62500,62500,62500,0.333333333333333,0,1,0,0,0,5924,5899,5944,0,0,0,0,0,0,0,0,0,0,0,0,0.789047796770251,0.203838967215899,1.17585363443771,0,0,0
220,3,62500,62500,62500,5,0,14,0,0,0,5863.33333333333,5849,5891,0,0,0,0,0,0,0,0,0,0,0,0,-1.02327237436502,-1.59825033647376,-0.640917524034407,0,0,0
230,3,62500,62500,62500,1.66666666666667,0,3,0,0,0,5858.66666666667,5815,5890,0,0,0,0,0,0,0,0,0,0,0,0,-0.0797109909067698,-0.598290598290598,0.376132672251667,0,0,0
240,3,62500,62500,62500,5.66666666666667,0,9,0,0,0,5879.66666666667,5845,5930,0,0,0,0,0,0,0,0,0,0,0,0,0.364454389491992,-0.442854709589508,1.97764402407567,0,0,0
250,3,62500,62500,62500,9.66666666666667,0,27,0,0,0,5837.66666666667,5786,5868,0,0,0,0,0,0,0,0,0,0,0,0,-0.713402326413408,-1.04553119730186,-0.0852660300136426,0,0,0
260,3,62500,62500,62500,1.66666666666667,0,4,0,0,0,5895.66666666667,5855,5953,0,0,0,0,0,0,0,0,0,0,0,0,1.00182119363712,-0.0682710360129715,2.88627722087798,0,0,0
270,3,62500,62500,62500,13,0,23,0,0,0,5867.66666666667,5814,5895,0,0,0,0,0,0,0,0,0,0,0,0,-0.473065996262,-0.991096925919704,0.272155128423201,0,0,0
280,3,62500,62500,62500,0.333333333333333,0,1,0,0,0,5922.33333333333,5899,5956,0,0,0,0,0,0,0,0,0,0,0,0,0.938543297294584,0.0678541136556404,2.44238046095631,0,0,0
290,3,62500,62500,62500,13.6666666666667,4,19,0,0,0,5884.33333333333,5787,5934,0,0,0,0,0,0,0,0,0,0,0,0,-0.641325936407772,-2.11434370771313,0.593320901847771,0,0,0
300,3,62500,62500,62500,6.66666666666667,3,12,0,0,0,5848.33333333333,5823,5891,0,0,0,0,0,0,0,0,0,0,0,0,-0.592040032153743,-1.83749157113958,1.79713150164161,0,0,0
310,3,62500,62500,62500,22.3333333333333,4,36,0,0,0,5558.33333333333,5546,5573,0,0,0,37.6666666666667,30,46,87.6666666666667,86,89,0,0,0,-4.95707837959223,-5.39806484467832,-4.71617218315898,0,0,0
