timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,62500,62500,0,100,0,0,0
10,62500,59901,0,93,0,0,0
20,62500,60183,0,100,0,0,0
30,62500,59907,0,126,0,0,0
40,62500,59357,0,154,0,0,0
50,62500,58629,0,205,0,0,0
60,62500,57399,0,235,0,0,0
70,62500,56503,0,270,0,0,0
80,62500,55714,0,353,0,0,0
90,62500,53720,0,412,0,0,0
100,62500,52230,0,490,0,0,0
110,62500,50415,0,593,0,0,0
120,62500,47561,0,688,0,0,0
130,62500,45205,0,846,0,0,0
140,62500,41252,0,1042,0,0,0
150,62500,36757,0,1272,0,0,0
160,62500,31161,0,1499,0,0,0
170,62500,25368,0,1795,0,0,0
180,62500,19098,0,2072,0,0,0
190,62500,13751,0,2398,0,0,0
200,62500,8836,0,2516,0,0,0
210,62500,7482,0,2626,0,0,0
220,62500,6379,0,2697,0,0,0
230,62500,5433,0,2707,0,0,0
240,62500,5275,0,2678,0,0,0
250,62500,4891,0,2648,0,0,0
260,62500,5845,0,2738,0,0,0
270,62500,4793,0,2735,0,0,0
280,62500,4891,0,2722,0,0,0
290,62500,5134,0,2708,0,0,0
300,62500,5151,0,2716,0,0,0
310,62500,6538,0,2414,0,30,76
320,62500,9954,0,2334,0,29,76
330,62500,10900,0,2371,0,20,81
340,62500,10164,0,2389,0,21,71
350,62500,10204,0,2389,0,19,62
360,62500,10097,0,2398,0,14,65
370,62500,9785,0,2378,0,12,63
380,62500,9795,0,2376,0,22,59
390,62500,10598,0,2421,0,15,58
400,62500,9560,0,2414,0,17,61
410,62500,10221,0,2389,0,16,60
420,62500,10141,0,2363,0,15,60
430,62500,10590,0,2320,0,14,52
440,62500,11182,0,2334,0,12,53
450,62500,9945,0,2456,0,12,55
460,62500,9439,0,2435,0,14,54
470,62500,9119,0,2440,0,21,63
480,62500,9206,0,2415,0,16,57
490,62500,9553,0,2387,0,14,68
500,62500,10238,0,2418,0,17,57
510,62500,9642,0,2414,0,14,68
520,62500,9868,0,2365,0,24,70
530,62500,10395,0,2380,0,24,71
540,62500,9417,0,2449,0,14,69
550,62500,9712,0,2399,0,30,72
560,62500,9978,0,2371,0,17,69
570,62500,10349,0,2297,0,20,65
580,62500,12332,0,2292,0,17,63
590,62500,11672,0,2345,0,19,65
600,62500,10415,0,2360,0,19,60
610,62500,10603,0,2418,0,24,62
620,62500,9747,0,2325,0,17,63
630,62500,10290,0,2394,0,22,62
640,62500,9936,0,2428,0,16,64
650,62500,9730,0,2389,0,23,66
660,62500,10121,0,2382,0,22,69
670,62500,10109,0,2381,0,30,68
680,62500,10703,0,2332,0,16,80
690,62500,10945,0,2295,0,23,82
700,62500,11297,0,2329,0,25,60
710,62500,10730,0,2387,0,20,69
720,62500,10077,0,2340,0,21,65
730,62500,10728,0,2383,0,15,60
740,62500,10311,0,2405,0,12,61
750,62500,9458,0,2397,0,14,56
760,62500,9245,0,2445,0,23,59
770,62500,8834,0,2471,0,21,53
780,62500,9110,0,2427,0,12,55
790,62500,9209,0,2462,0,10,59
800,62500,9325,0,2463,0,16,64
810,62500,9168,0,2398,0,17,63
820,62500,9652,0,2422,0,17,62
830,62500,9779,0,2407,0,24,64
840,62500,9799,0,2369,0,20,64
850,62500,10572,0,2363,0,19,70
860,62500,10122,0,2356,0,29,72
870,62500,10426,0,2335,0,19,76
880,62500,11565,0,2342,0,21,69
890,62500,11338,0,2385,0,15,64
900,62500,9798,0,2358,0,17,63
910,62500,10244,0,2389,0,15,64
920,62500,10439,0,2334,0,17,62
930,62500,10694,0,2402,0,23,60
940,62500,9875,0,2391,0,16,69
950,62500,9849,0,2373,0,16,69
960,62500,10661,0,2341,0,20,62
970,62500,10861,0,2388,0,20,59
980,62500,10161,0,2366,0,21,59
990,62500,10404,0,2426,0,17,63
1000,62500,9716,0,2389,0,22,63
