timeStep,resource1amount,resource2amount,prey1PopulationSize,prey2PopulationSize,prey1catches,prey2catches,predator1PopulationSize
0,62500,62500,0,100,0,0,0
10,62500,60100,0,146,0,0,0
20,62500,58745,0,274,0,0,0
30,62500,55565,0,479,0,0,0
40,62500,50370,0,873,0,0,0
50,62500,40690,0,1555,0,0,0
60,62500,24100,0,2718,0,0,0
70,62500,6295,0,4024,0,0,0
80,62500,500,0,3739,0,0,0
90,62500,501,0,3832,0,0,0
100,62500,420,0,3814,0,0,0
110,62500,1026,0,3435,0,38,93
120,62500,1501,0,3702,0,31,117
130,62500,874,0,3413,0,40,134
140,62500,2092,0,3530,0,38,151
150,62500,1711,0,3553,0,44,170
160,62500,1513,0,3515,0,50,206
170,62500,1744,0,3470,0,71,244
180,62500,2388,0,3293,0,81,284
190,62500,3748,0,3245,0,81,307
200,62500,4087,0,3243,0,75,348
210,62500,4672,0,3097,0,105,404
220,62500,6503,0,2865,0,94,431
230,62500,9658,0,2664,0,93,434
240,62500,12493,0,2598,0,93,420
250,62500,12867,0,2635,0,86,370
260,62500,11997,0,2727,0,86,343
270,62500,10197,0,2876,0,110,344
280,62500,8185,0,2983,0,89,337
290,62500,7198,0,3015,0,81,345
300,62500,6727,0,3057,0,102,354
310,62500,6232,0,3102,0,82,367
320,62500,5883,0,3085,0,107,390
330,62500,6106,0,3033,0,87,418
340,62500,7232,0,2924,0,101,430
350,62500,8649,0,2758,0,107,414
360,62500,10360,0,2762,0,98,411
370,62500,10135,0,2670,0,102,365
380,62500,10815,0,2861,0,75,357
390,62500,8217,0,2896,0,81,346
400,62500,8030,0,2993,0,84,337
410,62500,6688,0,3129,0,106,355
420,62500,5240,0,3115,0,93,370
430,62500,6489,0,3021,0,105,389
440,62500,6908,0,2909,0,98,406
450,62500,8797,0,2851,0,101,418
460,62500,9879,0,2779,0,104,421
470,62500,11166,0,2667,0,93,410
480,62500,11798,0,2675,0,94,382
490,62500,11580,0,2718,0,89,353
500,62500,10572,0,2925,0,79,341
510,62500,7076,0,3071,0,82,327
520,62500,4958,0,3209,0,96,327
530,62500,4522,0,3177,0,100,370
540,62500,5977,0,2948,0,102,390
550,62500,7507,0,2933,0,96,400
560,62500,7638,0,2992,0,92,414
570,62500,7982,0,2851,0,99,411
580,62500,9627,0,2749,0,97,400
590,62500,10599,0,2637,0,100,387
600,62500,11668,0,2730,0,100,375
610,62500,10822,0,2782,0,98,351
620,62500,9392,0,2888,0,96,336
630,62500,8543,0,2953,0,88,353
640,62500,7215,0,3026,0,109,355
650,62500,6199,0,3079,0,102,387
660,62500,6647,0,2924,0,98,391
670,62500,8139,0,2901,0,110,421
680,62500,9066,0,2761,0,107,426
690,62500,10614,0,2786,0,116,393
700,62500,9396,0,2808,0,91,342
710,62500,8829,0,3004,0,79,317
720,62500,6126,0,3132,0,89,346
730,62500,5706,0,3048,0,96,349
740,62500,7042,0,3108,0,88,365
750,62500,5806,0,3076,0,95,378
760,62500,6378,0,2976,0,106,393
770,62500,7981,0,2883,0,112,431
780,62500,9056,0,2734,0,108,426
790,62500,10750,0,2772,0,88,385
800,62500,9720,0,2833,0,94,381
810,62500,9554,0,2861,0,94,385
820,62500,8736,0,2959,0,108,368
830,62500,7602,0,3005,0,102,382
840,62500,6942,0,2927,0,96,395
850,62500,8436,0,2871,0,109,386
860,62500,8924,0,2900,0,86,377
870,62500,7983,0,2985,0,106,369
880,62500,7047,0,3007,0,96,369
890,62500,7144,0,2947,0,94,374
900,62500,7153,0,3029,0,86,388
910,62500,6358,0,3044,0,100,412
920,62500,6870,0,2868,0,113,423
930,62500,9424,0,2764,0,99,404
940,62500,9751,0,2853,0,95,392
950,62500,8419,0,2850,0,107,375
960,62500,8879,0,2875,0,96,346
970,62500,8150,0,3033,0,97,342
980,62500,6531,0,3042,0,85,356
990,62500,6593,0,2979,0,94,376
1000,62500,7148,0,3001,0,100,385
